id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_main_31_05_1,d_main_31_05,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_05_1,True,CrystalField_2,1,1,1.0,bgm_chapter31_field_beast,,rapi,5,idle,neon,3,idle,anis,1,idle,eunhwa,13,idle,,emma,15,idle,vesti,17,idle,shifty_r,OP_rightup,idle,,,,,
d_main_31_05_2,d_main_31_05,Speech,shifty_r,shifty_r,Locale_MainScenario:d_main_31_05_2,True,,1,1,1.0,,,,5,idle,,3,idle,,1,idle,,13,idle,,,15,idle,,17,idle,,OP_rightup,idle,,,,,
d_main_31_05_3,d_main_31_05,Speech,anis,anis,Locale_MainScenario:d_main_31_05_3,True,,1,1,1.0,,,,5,idle,,3,idle,,1,idle,,13,idle,,,15,idle,,17,idle,,OP_rightup,idle,shifty_r,,,,
d_main_31_05_4,d_main_31_05,Speech,anis,anis,Locale_MainScenario:d_main_31_05_4,True,,1,12,1.0,,,,5,idle,,3,idle,,1,idle,,13,idle,,,15,idle,,17,idle,,,,,,,,
d_main_31_05_5,d_main_31_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_05_5,True,,12,12,1.0,,,,5,idle,,3,idle,,1,idle,,13,surprise,,,15,idle,,17,idle,,,,,,,,
d_main_31_05_6,d_main_31_05,Speech,anis,anis,Locale_MainScenario:d_main_31_05_6,True,,12,12,1.0,,,,5,idle,,3,idle,,1,delight,,13,surprise,,,15,idle,,17,idle,,,,,,,,
d_main_31_05_7,d_main_31_05,Speech,vesti,vesti,Locale_MainScenario:d_main_31_05_7,True,,XS_170,XS_170,1.0,,,,5,idle,,3,idle,,1,delight,,13,surprise,,,15,idle,,17,delight,,,,,,,,
d_main_31_05_8,d_main_31_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_05_8,True,,13,130,0.6,,,,5,idle,,3,idle,,1,delight,,13,angry,,,15,idle,,17,delight,,,,,,,,
d_main_31_05_9,d_main_31_05,Speech,anis,anis,Locale_MainScenario:d_main_31_05_9,True,,130,12,1.0,,,,5,idle,,3,idle,,1,worry,,13,angry,,,15,idle,,17,delight,,,,,,,,
d_main_31_05_10,d_main_31_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_05_10,True,,12,12,1.0,,,,5,idle,,3,idle,,1,worry,,13,angry,,,15,idle,,17,delight,,,,,,,,
d_main_31_05_11,d_main_31_05,Speech,anis,anis,Locale_MainScenario:d_main_31_05_11,True,,12,10,0.6,,,,5,idle,,3,idle,,1,delight,,13,angry,,,15,idle,,17,delight,,,,,,,,
d_main_31_05_12,d_main_31_05,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_31_05_12,False,,10,130,1.5,,,,5,idle,,3,idle,,1,delight,,13,angry,,,15,idle,,17,delight,,,,,,,,
d_main_31_05_13,d_main_31_05,Speech,emma,emma,Locale_MainScenario:d_main_31_05_13,True,,130,14,1.0,,,,5,idle,,3,idle,,1,delight,,13,angry,,,15,surprise,,17,delight,,,,,,,,
d_main_31_05_14,d_main_31_05,Speech,neon,neon,Locale_MainScenario:d_main_31_05_14,True,,4,4,1.0,,,,5,idle,,3,surprise,,1,delight,,13,angry,,,15,surprise,,17,delight,,,,,,,,
d_main_31_05_15,d_main_31_05,Speech,rapi,rapi,Locale_MainScenario:d_main_31_05_15,True,,4,4,1.0,,,,5,think,,3,surprise,,1,delight,,13,angry,,,15,surprise,,17,delight,,,,,,,,
d_main_31_05_16,d_main_31_05,Monologue,anis,,Locale_MainScenario:d_main_31_05_16,False,LostSector,1,1,1.0,none,black,,5,idle,,3,idle,,1,idle,,13,idle,,,15,idle,,17,idle,,,,,,,,
