id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_police_02_1,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_1,True,Police,10,10,1.0,bgm_story_whosdumber,,drake,1,idle,,miranda,15,idle,poli,13,idle
d_ex_police_02_2,d_ex_police_02,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_02_2,True,,S_150,S_150,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_3,d_ex_police_02,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_02_3,True,,S_150,S_150,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_4,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_4,True,,S_150,XS_130,0.5,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_5,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_5,True,,XS_130,XS_130,1.0,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_6,d_ex_police_02,Self,,,Locale_SuddenStory:d_ex_police_02_6,True,,XS_130,113,0.5,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_7,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_7,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_8,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_8,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_9,d_ex_police_02,Speech,poli,poli,Locale_SuddenStory:d_ex_police_02_9,True,,113,113,1.0,,,,1,idle,,,15,idle,,13,angry
d_ex_police_02_10,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_10,True,,113,10,0.5,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_11,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_11,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_12,d_ex_police_02,Choice,,,Locale_SuddenStory:d_ex_police_02_12,True,,10,10,1.0,,d_ex_police_02_14,,1,idle,,,15,idle,,13,idle
d_ex_police_02_13,d_ex_police_02,Choice,,,Locale_SuddenStory:d_ex_police_02_13,True,,10,10,1.0,,d_ex_police_02_20,,1,idle,,,15,idle,,13,idle
d_ex_police_02_14,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_14,True,,10,10,0.5,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_15,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_15,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
d_ex_police_02_16,d_ex_police_02,Speech,drake,drake,Locale_SuddenStory:d_ex_police_02_16,True,,10,10,1.0,,,,1,idle,,,15,idle,,13,idle
