id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_06_06_1,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_1,True,IceLand_01,3,3,1.0,bgm_frostpillar_a,,,,anis,5,idle,rapi,3,idle,neon,1,idle,,,
d_main_06_06_2,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_2,True,,3,3,1.0,,,,,,5,idle,,3,idle,,1,idle,,,
d_main_06_06_3,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_3,True,,3,3,1.0,,,,,,5,idle,,3,idle,,1,idle,,,
d_main_06_06_4,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_4,True,,3,1,1.0,,,,,,5,idle,,3,idle,,1,idle,,,
d_main_06_06_5,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_5,True,,1,19,2.0,,,,,,5,idle,,3,idle,,1,idle,,,
d_main_06_06_6,d_main_06_06,Monologue,neon,,Locale_MainScenario:d_main_06_06_6,True,,19,19,1.0,,,,,,5,idle,,3,idle,,1,idle,,,
d_main_06_06_7,d_main_06_06,Monologue,neon,,Locale_MainScenario:d_main_06_06_7,True,,19,19,1.0,,,,,,5,idle,,3,idle,,1,idle,,,
d_main_06_06_8,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_8,True,,50,50,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_9,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_9,True,,S_10,S_10,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_10,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_10,True,,50,50,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_11,d_main_06_06,Choice,anis,,Locale_MainScenario:d_main_06_06_11,True,,50,50,1.0,,d_main_06_06_13,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_12,d_main_06_06,Choice,anis,,Locale_MainScenario:d_main_06_06_12,True,,50,50,1.0,,d_main_06_06_14,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_13,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_13,True,,50,50,1.0,,d_main_06_06_16,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_14,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_14,True,,50,50,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_15,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_15,True,,50,50,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_16,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_16,True,,50,30,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_17,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_17,True,,30,300,1.0,,,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_18,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_18,True,,S_10,S_100,1.0,,,,,,5,void,,3,idle,,1,no,,,
d_main_06_06_19,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_19,True,,S_100,S_100,1.0,,,,,,5,void,,3,idle,,1,no,,,
d_main_06_06_20,d_main_06_06,Speech,rapi,rapi,Locale_MainScenario:d_main_06_06_20,True,,S_100,19,1.0,,,,,,5,void,,3,idle,,1,no,,,
d_main_06_06_21,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_21,True,,19,19,1.0,,,,,,5,void,,3,idle,,1,no,,,
d_main_06_06_22,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_22,True,,19,19,1.0,,,,,,5,void,,3,idle,,1,no,,,
d_main_06_06_23,d_main_06_06,Choice,anis,,Locale_MainScenario:d_main_06_06_23,True,,19,19,1.0,,d_main_06_06_25,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_24,d_main_06_06,Choice,anis,,Locale_MainScenario:d_main_06_06_24,True,,19,19,1.0,,d_main_06_06_31,,,,5,void,,3,idle,,1,idle,,,
d_main_06_06_25,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_25,True,,150,S_100,1.0,,,,,,5,void,,3,idle,,1,no,,,
d_main_06_06_26,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_26,True,,50,50,1.0,,,,,,5,angry,,3,idle,,1,no,,,
d_main_06_06_27,d_main_06_06,Speech,neon,neon,Locale_MainScenario:d_main_06_06_27,True,,S_100,S_100,1.0,,,,,,5,angry,,3,idle,,1,no,,,
d_main_06_06_28,d_main_06_06,Speech,anis,anis,Locale_MainScenario:d_main_06_06_28,False,,50,500,1.0,,,,,,5,angry,,3,idle,,1,no,,,
