id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_subquest_1101_e_1,d_subquest_1101_e,Speech,unknown,Locale_SubScenario:d_subquest_1101_e_1,False,CityForest_01,raptilion_5,raptilion_50,1.0,bgm_story_whosdumber,,,,rapi,1,idle,,anis,13,idle,,neon,15,idle,,raptilion,5,idle,
d_subquest_1101_e_2,d_subquest_1101_e,Speech,unknown,Locale_SubScenario:d_subquest_1101_e_2,False,,raptilion_50,raptilion_50,1.0,,,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_3,d_subquest_1101_e,Speech,rapi,Locale_SubScenario:d_subquest_1101_e_3,False,,12,12,1.0,,rapi,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_4,d_subquest_1101_e,Speech,anis,Locale_SubScenario:d_subquest_1101_e_4,True,,12,12,0.5,,anis,,,,1,idle,,,13,angry,,,15,idle,,,5,idle,
d_subquest_1101_e_5,d_subquest_1101_e,Speech,neon,Locale_SubScenario:d_subquest_1101_e_5,True,,12,14,0.5,,neon,,,,1,idle,,,13,angry,,,15,surprise,,,5,idle,
d_subquest_1101_e_6,d_subquest_1101_e,Speech,neon,Locale_SubScenario:d_subquest_1101_e_6,True,,14,S_150,0.5,,neon,,,,1,idle,,,13,angry,,,15,surprise,,,5,idle,
d_subquest_1101_e_7,d_subquest_1101_e,Speech,rapi,Locale_SubScenario:d_subquest_1101_e_7,True,,S_150,10,1.0,,rapi,,,,1,think,,,13,idle,,,15,surprise,,,5,idle,
d_subquest_1101_e_8,d_subquest_1101_e,Speech,unknown,Locale_SubScenario:d_subquest_1101_e_8,False,,raptilion_5,raptilion_5,1.0,,rapi,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_9,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_9,False,,raptilion_5,raptilion_5,1.0,,rapi,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_10,d_subquest_1101_e,Speech,anis,Locale_SubScenario:d_subquest_1101_e_10,False,,130,130,1.0,,anis,,,,1,idle,,,13,worry,,,15,surprise,,,5,idle,
d_subquest_1101_e_11,d_subquest_1101_e,Speech,neon,Locale_SubScenario:d_subquest_1101_e_11,False,,150,150,1.0,,neon,,,,1,idle,,,13,worry,,,15,surprise,,,5,idle,
d_subquest_1101_e_12,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_12,False,,raptilion_5,raptilion_5,1.0,,neon,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_13,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_13,False,,raptilion_5,raptilion_5,1.0,,neon,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_14,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_14,False,,raptilion_5,raptilion_5,1.0,,neon,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_15,d_subquest_1101_e,Speech,raptilion,Locale_SubScenario:d_subquest_1101_e_15,False,,raptilion_5,raptilion_5,1.0,,neon,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
d_subquest_1101_e_16,d_subquest_1101_e,Speech,neon,Locale_SubScenario:d_subquest_1101_e_16,True,,14,14,1.0,,neon,,,,1,idle,,,13,idle,,,15,idle,,,5,idle,
