id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_police_03_1,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_1,True,Police,30,10,2.0,bgm_story_languor,,,harran,1,idle,,,,,
d_ex_police_03_2,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_2,True,,10,10,1.0,,,,,1,idle,,,,,
d_ex_police_03_3,d_ex_police_03,Self,harran,,Locale_SuddenStory:d_ex_police_03_3,True,,10,10,1.0,,,,,1,idle,,,,,
d_ex_police_03_4,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_4,True,,10,1,2.0,,,,,1,idle,,,,,
d_ex_police_03_5,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_5,True,,1,1,1.0,,,,,1,idle,,,,,
d_ex_police_03_6,d_ex_police_03,Monologue,harran,,Locale_SuddenStory:d_ex_police_03_6,True,MachineRoom,1,19,2.0,,,,,1,idle,harran,,,,
d_ex_police_03_7,d_ex_police_03,Monologue,harran,,Locale_SuddenStory:d_ex_police_03_7,True,,19,S_190,1.0,,,,,,,,miranda,19,think,
d_ex_police_03_8,d_ex_police_03,Self,harran,,Locale_SuddenStory:d_ex_police_03_8,True,,S_190,S_190,1.0,,,,,,,,,19,think,
d_ex_police_03_9,d_ex_police_03,Speech,miranda,miranda,Locale_SuddenStory:d_ex_police_03_9,True,,S_190,S_1900,0.5,,,,,,,,,19,shy,
d_ex_police_03_10,d_ex_police_03,Self,miranda,,Locale_SuddenStory:d_ex_police_03_10,False,,S_1900,S_1900,1.0,,,,,,,,,19,shy,
d_ex_police_03_11,d_ex_police_03,Speech,harran,harran,Locale_SuddenStory:d_ex_police_03_11,True,Police,S_1900,12,2.0,,,,harran,1,idle,,,13,shy,
