id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_ex_court_07_1,d_ex_court_07,Narration,Locale_SuddenStory:d_ex_court_07_1,False,Office,12,12,1.0,sfx_scn_tablet,bgm_story_backtonormal,,,,,,,,admi,1,idle,yulha,13,idle
d_ex_court_07_2,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_2,True,,12,12,1.0,,,yulha,yulha,,,,,,,1,idle,,13,idle
d_ex_court_07_3,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_3,True,,12,12,1.0,,,admi,admi,,,,,,,1,idle,,13,idle
d_ex_court_07_4,d_ex_court_07,Narration,Locale_SuddenStory:d_ex_court_07_4,False,,12,12,1.0,sfx_scn_tablet,,,,,,,,,,1,idle,,13,idle
d_ex_court_07_5,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_5,True,,12,13,1.0,,,yulha,yulha,,,,,,,1,idle,,13,idle
d_ex_court_07_6,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_6,True,,13,13,1.0,,,yulha,yulha,,,,,,,1,idle,,13,idle
d_ex_court_07_7,d_ex_court_07,Self,Locale_SuddenStory:d_ex_court_07_7,False,,13,13,1.0,,,yulha,,,,,,,,1,idle,,13,idle
d_ex_court_07_8,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_8,True,,13,13,1.0,,,yulha,yulha,,,,,,,1,idle,,13,idle
d_ex_court_07_9,d_ex_court_07,Narration,Locale_SuddenStory:d_ex_court_07_9,False,,13,13,1.0,sfx_scn_dooropenfast,,,,,,,,,,1,idle,,13,idle
d_ex_court_07_10,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_10,True,,13,2,1.0,,,privaty_m,privaty_m,,privaty_m,3,angry,,,1,idle,,13,idle
d_ex_court_07_11,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_11,True,,2,2,1.0,,,privaty_m,privaty_m,,,3,angry,,,1,idle,,13,idle
d_ex_court_07_12,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_12,True,,13,L_130,1.0,,,yulha,yulha,,,3,angry,,,1,idle,,13,angry
d_ex_court_07_13,d_ex_court_07,Speech,Locale_SuddenStory:d_ex_court_07_13,True,,3,30,1.0,,,privaty_m,privaty_m,,,3,angry,,,1,idle,,13,angry
