id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,conversation_id
d_main_30_af_02_1,d_main_30_af_02,Narration,Locale_MainScenario:d_main_30_af_02_1,False,NikkeRoom,2,2,1.0,bgm_inark,,,,,,,,,,
d_main_30_af_02_2,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_2,False,,2,12,1.0,,elegg,elegg,elegg,1,think,trony,13,sad,,
d_main_30_af_02_3,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_3,False,,12,12,1.0,,trony,trony,,1,think,,13,sad,,
d_main_30_af_02_4,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_4,True,,12,12,1.0,,elegg,elegg,,1,think,,13,sad,,
d_main_30_af_02_5,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_5,True,,12,12,1.0,,trony,trony,,1,think,,13,sad,,
d_main_30_af_02_6,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_6,True,,12,12,1.0,,elegg,elegg,,1,think,,13,sad,,
d_main_30_af_02_7,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_7,True,,12,12,1.0,,trony,trony,,1,think,,13,sad,,
d_main_30_af_02_8,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_8,False,,12,12,1.0,,elegg,elegg,,1,think,,13,sad,,
d_main_30_af_02_9,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_9,True,,12,12,1.0,,elegg,elegg,,1,think,,13,sad,,
d_main_30_af_02_10,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_10,True,,12,12,1.0,,elegg,elegg,,1,think,,13,sad,,
d_main_30_af_02_11,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_11,True,,12,12,1.0,,trony,trony,,1,think,,13,idle,,
d_main_30_af_02_12,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_12,True,,12,12,1.0,,trony,trony,,1,think,,13,idle,,
d_main_30_af_02_13,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_13,True,,12,12,1.0,,elegg,elegg,,1,think,,13,idle,,
d_main_30_af_02_14,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_14,True,,12,12,1.0,,trony,trony,,1,think,,13,idle,,
d_main_30_af_02_15,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_15,True,,12,12,1.0,,elegg,elegg,,1,think,,13,idle,,
d_main_30_af_02_16,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_16,True,,12,12,1.0,,elegg,elegg,,1,think,,13,idle,,
d_main_30_af_02_17,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_17,True,,12,12,1.0,,elegg,elegg,,1,think,,13,idle,,
d_main_30_af_02_18,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_18,True,,12,12,1.0,,trony,trony,,1,think,,13,shy,,
d_main_30_af_02_19,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_19,True,,12,12,1.0,,trony,trony,,1,think,,13,shy,,
d_main_30_af_02_20,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_20,True,,12,12,1.0,,trony,trony,,1,think,,13,shy,,
d_main_30_af_02_21,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_21,False,,12,S_10,1.0,,elegg,elegg,,1,think,,13,shy,,
d_main_30_af_02_22,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_22,True,,S_10,S_10,1.0,,elegg,elegg,,1,think,,13,shy,,
d_main_30_af_02_23,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_23,True,,S_10,S_10,1.0,,elegg,elegg,,1,think,,13,shy,,
d_main_30_af_02_24,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_24,True,,S_10,S_10,1.0,,elegg,elegg,,1,think,,13,shy,,
d_main_30_af_02_25,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_25,True,,S_10,130,1.0,,trony,trony,,1,think,,13,delight,,
d_main_30_af_02_26,d_main_30_af_02,Narration,Locale_MainScenario:d_main_30_af_02_26,False,,130,130,1.0,,elegg,,,1,think,,13,delight,sfx_scn_phonevibration,
d_main_30_af_02_27,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_27,True,,130,S_10,1.0,,elegg,elegg,,1,worry,,13,idle,,m_main_30_af_02
d_main_30_af_02_28,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_28,True,,S_10,12,1.0,,trony,trony,,1,idle,,13,idle,,
d_main_30_af_02_29,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_29,True,,12,12,1.0,,elegg,elegg,,1,idle,,13,idle,,
d_main_30_af_02_30,d_main_30_af_02,Speech,Locale_MainScenario:d_main_30_af_02_30,True,,12,12,1.0,,elegg,elegg,,1,idle,,13,idle,,
