id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,play_sound,set_camera_shake,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,characters/3/hide_char_id
d_main_38_08_1,d_main_38_08,Speech,anchor_op_r,anchor_op_r,Locale_MainScenario:d_main_38_08_1,True,anchor_op_r,OP_right,angry,helm_op_l,OP_left,angry,mast_op_c,OP_center,angry,SilverBog,1,1,1.0,bgm_story_confront,,,,,,,,,,
d_main_38_08_2,d_main_38_08,Speech,helm_op_l,helm_op_l,Locale_MainScenario:d_main_38_08_2,True,,OP_right,angry,,OP_left,angry,,OP_center,angry,,1,1,1.0,,,,,,,,,,,
d_main_38_08_3,d_main_38_08,Speech,mast_op_c,mast_op_c,Locale_MainScenario:d_main_38_08_3,True,,OP_right,angry,,OP_left,angry,,OP_center,angry,,1,1,1.0,,,,,,,,,,,
d_main_38_08_4,d_main_38_08,Monologue,,,Locale_MainScenario:d_main_38_08_4,False,,OP_right,angry,,OP_left,angry,,OP_center,angry,,black,black,1.0,,anchor_op_r,helm_op_l,mast_op_c,sfx_scn_missilelauncherfires,,,,,,
d_main_38_08_5,d_main_38_08,Monologue,,,Locale_MainScenario:d_main_38_08_5,False,,,,,,,,,,,black,black,1.0,,,,,,,,,,,
d_main_38_08_6,d_main_38_08,Monologue,,,Locale_MainScenario:d_main_38_08_6,False,,,,,,,,,,,black,black,1.0,,,,,,,,,,,
d_main_38_08_7,d_main_38_08,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_08_7,True,rapi_red,1,angry,laplace,13,angry,drake,15,angry,,12,12,1.0,,,,,,,,,,,
d_main_38_08_8,d_main_38_08,Speech,laplace,laplace,Locale_MainScenario:d_main_38_08_8,True,,1,angry,,13,angry,,15,angry,,12,S_130,0.7,,,,,,Low_2,,,,,
d_main_38_08_9,d_main_38_08,Monologue,laplace,,Locale_MainScenario:d_main_38_08_9,False,,1,angry,,13,angry,,15,angry,,S_130,S_130,1.0,,,,,sfx_scn_c100ultfire,,,,,,
d_main_38_08_10,d_main_38_08,Speech,ziz,ziz,Locale_MainScenario:d_main_38_08_10,True,,1,angry,,13,angry,,15,angry,,S_130,13,1.0,,,,,,,,,,,
d_main_38_08_11,d_main_38_08,Monologue,laplace,,Locale_MainScenario:d_main_38_08_11,False,,1,angry,,13,angry,,15,angry,,13,13,1.0,,,,,,,,,,,
d_main_38_08_12,d_main_38_08,Monologue,laplace,,Locale_MainScenario:d_main_38_08_12,False,,1,angry,,13,angry,,15,angry,,13,13,1.0,,,,,,,,,,,
d_main_38_08_13,d_main_38_08,Monologue,laplace,,Locale_MainScenario:d_main_38_08_13,False,,1,angry,,13,angry,,15,angry,,13,13,1.0,,,,,,,,,,,
d_main_38_08_14,d_main_38_08,Monologue,laplace,,Locale_MainScenario:d_main_38_08_14,False,,1,angry,,13,angry,,15,angry,,black,black,1.0,,,,,,,,,,,
d_main_38_08_15,d_main_38_08,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_08_15,True,,1,no,,13,angry,,15,angry,,12,12,1.0,,,,,,,,,,,
d_main_38_08_16,d_main_38_08,Speech,laplace,laplace,Locale_MainScenario:d_main_38_08_16,True,,1,no,,13,angry,,15,angry,,12,12,1.0,,,,,,,,,,,
d_main_38_08_17,d_main_38_08,Speech,drake,drake,Locale_MainScenario:d_main_38_08_17,True,,1,no,,13,angry,,15,angry,,15,150,0.7,,,,,,,,,,,
d_main_38_08_18,d_main_38_08,Narration,ziz,,Locale_MainScenario:d_main_38_08_18,False,,1,idle,,13,angry,,15,angry,,black,black,1.0,,,laplace,,sfx_scn_groundstomp,,ziz,13,idle,,
d_main_38_08_19,d_main_38_08,Monologue,ziz,,Locale_MainScenario:d_main_38_08_19,False,,1,idle,,,,,15,angry,,13,13,1.0,,,,,,,,13,idle,,
d_main_38_08_20,d_main_38_08,Monologue,ziz,,Locale_MainScenario:d_main_38_08_20,False,,1,idle,,,,,15,angry,,13,S_130,1.0,,,,,,,,13,idle,,
d_main_38_08_21,d_main_38_08,Speech,ziz,laplace,Locale_MainScenario:d_main_38_08_21,False,,1,idle,,,,,15,angry,,S_130,S_130,1.0,,,,,,,,13,idle,,
d_main_38_08_22,d_main_38_08,Speech,ziz,ziz,Locale_MainScenario:d_main_38_08_22,True,,1,idle,,,,,15,angry,,S_130,S_130,1.0,,,,,,,,13,idle,,
d_main_38_08_23,d_main_38_08,Speech,ziz,ziz,Locale_MainScenario:d_main_38_08_23,True,,1,idle,,,,,15,angry,,S_130,S_130,1.0,,,,,,,,13,idle,,
d_main_38_08_24,d_main_38_08,Speech,drake,drake,Locale_MainScenario:d_main_38_08_24,True,,1,idle,,,,,15,angry,,S_130,14,1.0,,,,,,,,13,idle,,
d_main_38_08_25,d_main_38_08,Monologue,drake,,Locale_MainScenario:d_main_38_08_25,False,,1,idle,,,,,15,angry,,14,14,1.0,,,,,,,,13,idle,,
d_main_38_08_26,d_main_38_08,Speech,ziz,ziz,Locale_MainScenario:d_main_38_08_26,True,,1,idle,,,,,15,angry,,14,14,1.0,,,,,,,,13,surprise,,
d_main_38_08_27,d_main_38_08,Speech,drake,drake,Locale_MainScenario:d_main_38_08_27,True,,1,idle,,,,,15,angry,,14,14,1.0,,,,,,,,13,surprise,,
d_main_38_08_28,d_main_38_08,Narration,ziz,,Locale_MainScenario:d_main_38_08_28,False,,1,idle,,,,,15,angry,,14,S_130,1.0,,,,,sfx_scn_heavyspark,Low_2,,13,surprise,Red,
d_main_38_08_29,d_main_38_08,Monologue,ziz,,Locale_MainScenario:d_main_38_08_29,False,,1,idle,,,,,15,angry,,S_130,S_130,1.0,,,,,,,,13,surprise,Red,
