id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
mog2_prologue_1,mog2_prologue,Monologue,Locale_SubScenario:mog2_prologue_1,False,BriefingRoom,15,1,3.0,bgm_story_heynewbie,,,,,
mog2_prologue_2,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_2,False,,1,1,1.0,,Self,Self,,,
mog2_prologue_3,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_3,True,,1,1,1.0,,exia,exia,exia,1,idle
mog2_prologue_4,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_4,True,,1,S_10,1.0,,exia,exia,,1,idle
mog2_prologue_5,mog2_prologue,Monologue,Locale_SubScenario:mog2_prologue_5,False,,S_10,S_10,1.0,,exia,,,1,idle
mog2_prologue_6,mog2_prologue,Monologue,Locale_SubScenario:mog2_prologue_6,False,,S_10,S_10,1.0,,exia,,,1,idle
mog2_prologue_7,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_7,False,,S_10,S_10,1.0,,exia,,,1,idle
mog2_prologue_8,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_8,True,,S_10,1,1.0,,exia,exia,,1,idle
mog2_prologue_9,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_9,True,,1,1,1.0,,exia,exia,,1,good
mog2_prologue_10,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_10,True,,1,1,1.0,,exia,exia,,1,good
mog2_prologue_11,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_11,True,,1,S_10,1.0,,exia,exia,,1,good
mog2_prologue_12,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_12,False,,S_10,S_10,1.0,,exia,,,1,good
mog2_prologue_13,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_13,True,,S_10,S_10,1.0,,exia,exia,,1,good
mog2_prologue_14,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_14,True,,S_10,S_10,1.0,,exia,exia,,1,good
mog2_prologue_15,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_15,True,,S_10,S_10,1.0,,exia,exia,,1,good
mog2_prologue_16,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_16,False,,S_10,S_10,1.0,,exia,,,1,good
mog2_prologue_17,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_17,True,,S_10,S_10,1.0,,exia,exia,,1,good
mog2_prologue_18,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_18,True,,S_10,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_19,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_19,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_20,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_20,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_21,mog2_prologue,Monologue,Locale_SubScenario:mog2_prologue_21,False,,S_100,S_100,1.0,,exia,,,1,idle
mog2_prologue_22,mog2_prologue,Monologue,Locale_SubScenario:mog2_prologue_22,False,,S_100,S_100,1.0,,exia,,,1,idle
mog2_prologue_23,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_23,False,,S_100,S_100,1.0,,exia,,,1,idle
mog2_prologue_24,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_24,False,,S_100,S_100,1.0,,exia,,,1,idle
mog2_prologue_25,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_25,False,,S_100,S_100,1.0,,exia,,,1,idle
mog2_prologue_26,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_26,False,,S_100,S_100,1.0,,exia,,,1,idle
mog2_prologue_27,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_27,True,,S_100,1,2.0,,exia,exia,,1,idle
mog2_prologue_28,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_28,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_29,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_29,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_30,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_30,False,,1,1,1.0,,exia,,,1,idle
mog2_prologue_31,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_31,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_32,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_32,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_33,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_33,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_34,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_34,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_35,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_35,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_36,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_36,True,,1,S_10,2.0,,exia,exia,,1,idle
mog2_prologue_37,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_37,True,,S_10,S_10,1.0,,exia,exia,,1,idle
mog2_prologue_38,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_38,True,,S_10,S_10,1.0,,exia,exia,,1,idle
mog2_prologue_39,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_39,False,,S_10,S_10,1.0,,exia,,,1,idle
mog2_prologue_40,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_40,True,,S_10,S_10,1.0,,exia,exia,,1,idle
mog2_prologue_41,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_41,True,,S_10,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_42,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_42,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_43,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_43,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_44,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_44,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_45,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_45,False,,S_100,S_100,1.0,,exia,,,1,idle
mog2_prologue_46,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_46,True,,S_100,1,2.0,,exia,exia,,1,idle
mog2_prologue_47,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_47,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_48,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_48,True,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_49,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_49,False,,1,1,1.0,,exia,,,1,idle
mog2_prologue_50,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_50,False,,1,1,1.0,,exia,exia,,1,idle
mog2_prologue_51,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_51,True,,1,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_52,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_52,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_53,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_53,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_54,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_54,True,,S_100,S_100,1.0,,exia,,,1,idle
mog2_prologue_55,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_55,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_56,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_56,True,,S_100,S_10,1.0,,exia,exia,,1,idle
mog2_prologue_57,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_57,True,,S_10,S_10,1.0,,exia,exia,,1,idle
mog2_prologue_58,mog2_prologue,Self,Locale_SubScenario:mog2_prologue_58,False,,S_10,S_10,1.0,,exia,,,1,idle
mog2_prologue_59,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_59,True,,S_10,S_10,1.0,,exia,exia,,1,idle
mog2_prologue_60,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_60,True,,S_10,S_10,1.0,,exia,exia,,1,idle
mog2_prologue_61,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_61,False,,S_10,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_62,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_62,True,,S_100,S_100,1.0,,exia,exia,,1,idle
mog2_prologue_63,mog2_prologue,Speech,Locale_SubScenario:mog2_prologue_63,True,,S_100,S_100,1.0,,exia,exia,,1,idle
