id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker
d_main_36_03_s_1,d_main_36_03_s,Self,leviathan,Locale_MainScenario:d_main_36_03_s_1,False,grave_p,4,idle,cinderella,2,idle,leviathan,12,idle,rapi_red,14,idle,Bog,S_120,S_120,1.0,bgm_story_monochrome,
d_main_36_03_s_2,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_2,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_3,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_3,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_4,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_4,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_5,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_5,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_6,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_6,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_7,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_7,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_8,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_8,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_9,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_9,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_10,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_10,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_11,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_11,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_12,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_12,True,,4,idle,,2,idle,,12,idle,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_13,d_main_36_03_s,Speech,rapi_red,Locale_MainScenario:d_main_36_03_s_13,True,,4,idle,,2,idle,,12,idle,,14,think,,S_120,13,1.3,,rapi_red
d_main_36_03_s_14,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_14,True,,4,idle,,2,idle,,12,smile,,14,think,,13,13,1.0,,leviathan
d_main_36_03_s_15,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_15,True,,4,idle,,2,idle,,12,idle,,14,think,,13,13,1.0,,leviathan
d_main_36_03_s_16,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_16,True,,4,idle,,2,idle,,12,idle,,14,think,,13,13,1.0,,leviathan
d_main_36_03_s_17,d_main_36_03_s,Speech,grave_p,Locale_MainScenario:d_main_36_03_s_17,True,,4,idle,,2,idle,,12,idle,,14,think,,L_40,L_40,1.0,,grave_p
d_main_36_03_s_18,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_18,True,,4,idle,,2,idle,,12,think_02,,14,think,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_19,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_19,True,,4,idle,,2,idle,,12,think_02,,14,think,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_20,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_20,True,,4,idle,,2,idle,,12,think_02,,14,think,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_21,d_main_36_03_s,Speech,cinderella,Locale_MainScenario:d_main_36_03_s_21,True,,4,idle,,2,idle,,12,think_02,,14,think,,S_120,1,1.3,,cinderella
d_main_36_03_s_22,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_22,True,,4,idle,,2,idle,,12,smile,,14,think,,1,1,1.0,,leviathan
d_main_36_03_s_23,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_23,True,,4,idle,,2,idle,,12,smile,,14,think,,1,1,1.0,,leviathan
d_main_36_03_s_24,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_24,True,,4,idle,,2,idle,,12,think_02,,14,think,,1,1,1.0,,leviathan
d_main_36_03_s_25,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_25,True,,4,idle,,2,idle,,12,think_02,,14,think,,1,1,1.0,,leviathan
d_main_36_03_s_26,d_main_36_03_s,Speech,cinderella,Locale_MainScenario:d_main_36_03_s_26,True,,4,idle,,2,idle,,12,think_02,,14,think,,1,1,1.0,,cinderella
d_main_36_03_s_27,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_27,True,,4,idle,,2,idle,,12,idle,,14,think,,1,1,1.0,,leviathan
d_main_36_03_s_28,d_main_36_03_s,Self,leviathan,Locale_MainScenario:d_main_36_03_s_28,False,,4,idle,,2,idle,,12,idle,,14,think,,1,1,1.0,,
d_main_36_03_s_29,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_29,True,,4,idle,,2,idle,,12,idle,,14,think,,1,S_120,1.3,,leviathan
d_main_36_03_s_30,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_30,True,,4,idle,,2,idle,,12,smile,,14,think,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_31,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_31,True,,4,idle,,2,idle,,12,smile,,14,think,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_32,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_32,True,,4,idle,,2,idle,,12,smile,,14,think,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_33,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_33,True,,4,idle,,2,idle,,12,smile,,14,think,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_34,d_main_36_03_s,Speech,rapi_red,Locale_MainScenario:d_main_36_03_s_34,True,,4,idle,,2,idle,,12,smile,,14,idle,,S_120,13,1.3,,rapi_red
d_main_36_03_s_35,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_35,True,,4,idle,,2,idle,,12,think_02,,14,idle,,13,13,1.0,,leviathan
d_main_36_03_s_36,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_36,False,,4,idle,,2,idle,,12,think_01,,14,idle,,13,13,1.0,,leviathan
d_main_36_03_s_37,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_37,True,,4,idle,,2,idle,,12,think_01,,14,idle,,13,13,1.0,,leviathan
d_main_36_03_s_38,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_38,True,,4,idle,,2,idle,,12,think_01,,14,idle,,13,13,1.0,,leviathan
d_main_36_03_s_39,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_39,True,,4,idle,,2,idle,,12,think_01,,14,idle,,13,13,1.0,,leviathan
d_main_36_03_s_40,d_main_36_03_s,Self,leviathan,Locale_MainScenario:d_main_36_03_s_40,False,,4,idle,,2,idle,,12,think_01,,14,idle,,13,13,1.0,,
d_main_36_03_s_41,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_41,False,,4,idle,,2,idle,,12,think_01,,14,idle,,13,S_120,1.3,,leviathan
d_main_36_03_s_42,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_42,True,,4,idle,,2,idle,,12,think_01,,14,idle,,S_120,S_120,1.0,,leviathan
d_main_36_03_s_43,d_main_36_03_s,Speech,leviathan,Locale_MainScenario:d_main_36_03_s_43,True,,4,idle,,2,idle,,12,smile,,14,idle,,S_120,S_120,1.0,,leviathan
