id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,highlight,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_06_07_1,d_main_06_07,Monologue,Locale_MainScenario:d_main_06_07_1,True,IceLand_01,black,black,1.0,bgm_enemyclose,,,,,,talkative,1,idle
d_main_06_07_2,d_main_06_07,Monologue,Locale_MainScenario:d_main_06_07_2,True,,black,black,1.0,,,,,,,,1,idle
d_main_06_07_3,d_main_06_07,Monologue,Locale_MainScenario:d_main_06_07_3,True,,1,XS_10,3.0,,black,,,,,,1,idle
d_main_06_07_4,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_4,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_5,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_5,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_6,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_6,True,,XS_10,XS_10,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_7,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_7,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_8,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_8,True,,XS_10,XS_10,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_9,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_9,False,,XS_10,XS_100,2.0,,,talkative,talkative,,,,1,idle
d_main_06_07_10,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_10,True,,XS_100,XS_100,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_11,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_11,True,,XS_100,XS_100,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_12,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_12,True,,XS_100,XS_100,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_13,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_13,True,,XS_100,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_14,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_14,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_15,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_15,True,,XS_10,XS_10,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_16,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_16,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_17,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_17,True,,XS_10,XS_10,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_18,d_main_06_07,Narration,Locale_MainScenario:d_main_06_07_18,True,,XS_10,XS_100,1.0,,,talkative,Narration,sfx_scn_bonebreak,Low_2,,1,idle
d_main_06_07_19,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_19,False,,XS_100,XS_100,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_20,d_main_06_07,Monologue,Locale_MainScenario:d_main_06_07_20,True,,XS_100,XS_100,1.0,,,talkative,,,,,1,idle
d_main_06_07_21,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_21,True,,XS_100,XS_100,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_22,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_22,True,,XS_100,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_23,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_23,True,,XS_10,XS_10,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_24,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_24,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_25,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_25,True,,XS_10,XS_10,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_26,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_26,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_27,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_27,True,,XS_10,XS_10,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_28,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_28,False,,XS_10,XS_100,2.0,,,talkative,talkative,,,,1,idle
d_main_06_07_29,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_29,True,,XS_100,XS_100,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_30,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_30,True,,XS_100,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_31,d_main_06_07,Self,Locale_MainScenario:d_main_06_07_31,True,,XS_10,XS_10,1.0,,,talkative,Self,,,,1,idle
d_main_06_07_32,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_32,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
d_main_06_07_33,d_main_06_07,Speech,Locale_MainScenario:d_main_06_07_33,True,,XS_10,XS_10,1.0,,,talkative,talkative,,,,1,idle
