id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_clothingstore_08_1,d_ex_clothingstore_08,Narration,Narration,Locale_SuddenStory:d_ex_clothingstore_08_1,False,ClothingStore,17,17,1.0,none,,,naga,3,idle,,,
d_ex_clothingstore_08_2,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_2,False,,17,3,0.7,bgm_story_impression,naga,,,3,idle,,,
d_ex_clothingstore_08_3,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_3,True,,3,2,1.0,,ludmilla,,,3,idle,ludmilla,1,idle
d_ex_clothingstore_08_4,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_4,True,,2,2,1.0,,ludmilla,,,3,idle,,1,think
d_ex_clothingstore_08_5,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_5,True,,2,2,1.0,,naga,,,3,surprise,,1,think
d_ex_clothingstore_08_6,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_6,True,,2,2,1.0,,naga,,,3,surprise,,1,think
d_ex_clothingstore_08_7,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_7,True,,2,2,1.0,,naga,,,3,delight,,1,think
d_ex_clothingstore_08_8,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_8,True,,2,2,1.0,,ludmilla,,,3,delight,,1,think
d_ex_clothingstore_08_9,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_9,True,,3,30,1.0,,naga,,,3,delight,,1,idle
d_ex_clothingstore_08_10,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_10,True,,30,30,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_11,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_11,True,,30,30,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_12,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_12,True,,30,30,1.0,,naga,,,3,worry,,1,idle
d_ex_clothingstore_08_13,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_13,True,,10,10,1.0,,ludmilla,,,3,worry,,1,idle
d_ex_clothingstore_08_14,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_14,True,,10,10,1.0,,ludmilla,,,3,idle,,1,think
d_ex_clothingstore_08_15,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_15,True,,30,30,1.0,,naga,,,3,idle,,1,think
d_ex_clothingstore_08_16,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_16,True,,10,10,1.0,,ludmilla,,,3,idle,,1,think
d_ex_clothingstore_08_17,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_17,True,,30,30,1.0,,naga,,,3,delight,,1,think
d_ex_clothingstore_08_18,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_18,True,,30,30,1.0,,naga,,,3,delight,,1,idle
d_ex_clothingstore_08_19,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_19,True,,30,30,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_20,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_20,True,,30,30,1.0,,naga,,,3,delight,,1,idle
d_ex_clothingstore_08_21,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_21,True,,30,30,1.0,,naga,,,3,void,,1,idle
d_ex_clothingstore_08_22,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_22,False,,30,300,1.0,,naga,,,3,void,,1,idle
d_ex_clothingstore_08_23,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_23,True,,300,300,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_24,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_24,True,,300,300,1.0,,naga,,,3,worry,,1,idle
d_ex_clothingstore_08_25,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_25,False,,300,30,1.0,,naga,,,3,worry,,1,idle
d_ex_clothingstore_08_26,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_26,True,,30,2,1.0,,ludmilla,,,3,worry,,1,think
d_ex_clothingstore_08_27,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_27,True,,2,2,1.0,,naga,,,3,surprise,,1,think
d_ex_clothingstore_08_28,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_28,True,,2,2,1.0,,ludmilla,,,3,surprise,,1,idle
d_ex_clothingstore_08_29,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_29,True,,2,2,1.0,,ludmilla,,,3,surprise,,1,idle
d_ex_clothingstore_08_30,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_30,True,,2,2,1.0,,ludmilla,,,3,surprise,,1,idle
d_ex_clothingstore_08_31,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_31,True,,2,2,1.0,,naga,,,3,worry,,1,idle
d_ex_clothingstore_08_32,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_32,True,,2,2,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_33,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_33,True,,2,2,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_34,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_34,True,,2,2,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_35,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_35,True,,2,2,1.0,,ludmilla,,,3,idle,,1,idle
d_ex_clothingstore_08_36,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_36,True,,2,2,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_37,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_37,True,,2,3,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_38,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_38,True,,3,3,1.0,,naga,,,3,delight,,1,idle
d_ex_clothingstore_08_39,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_39,True,,3,3,1.0,,naga,,,3,delight,,1,idle
d_ex_clothingstore_08_40,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_40,True,,3,3,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_41,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_41,True,,3,30,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_42,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_42,True,,30,30,1.0,,naga,,,3,worry,,1,idle
d_ex_clothingstore_08_43,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_43,True,,30,30,1.0,,naga,,,3,idle,,1,idle
d_ex_clothingstore_08_44,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_44,True,,1,10,0.5,,ludmilla,,,3,idle,,1,think
d_ex_clothingstore_08_45,d_ex_clothingstore_08,Speech,naga,Locale_SuddenStory:d_ex_clothingstore_08_45,True,,3,30,0.5,,naga,Low_2,,3,surprise,,1,think
d_ex_clothingstore_08_46,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_46,True,,10,10,1.0,,ludmilla,,,3,surprise,,1,idle
d_ex_clothingstore_08_47,d_ex_clothingstore_08,Speech,ludmilla,Locale_SuddenStory:d_ex_clothingstore_08_47,True,,10,10,1.0,,ludmilla,,,3,surprise,,1,idle
