id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_subquest_1401_1,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_1,True,CountryVillage_d,10,10,1.0,bgm_story_backtonormal,,,,,anis,1,idle
d_subquest_1401_2,d_subquest_1401,Monologue,,,Locale_SubScenario:d_subquest_1401_2,False,,10,10,1.0,,,,,,,1,idle
d_subquest_1401_3,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_3,True,,10,10,1.0,,,,,,,1,delight
d_subquest_1401_4,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_4,True,Sky2,7,7,1.0,,,,,,,1,delight
d_subquest_1401_5,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_5,True,Grassland,7,9,1.0,,,,,,,1,delight
d_subquest_1401_6,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_6,True,Sky,9,7,1.0,,,,,,,1,delight
d_subquest_1401_7,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_7,True,CountryVillage_d,10,10,1.0,,black,,,,,1,delight
d_subquest_1401_8,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_8,True,,10,100,1.0,,,,,,,1,shy
d_subquest_1401_9,d_subquest_1401,Self,,,Locale_SubScenario:d_subquest_1401_9,False,,100,100,1.0,,,,,,,1,shy
d_subquest_1401_10,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_10,True,,100,100,1.0,,,,,,,1,idle
d_subquest_1401_11,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_11,True,,100,10,1.0,,,,,,,1,worry
d_subquest_1401_12,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_12,True,,10,10,1.0,,,,,,,1,worry
d_subquest_1401_13,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_13,True,,10,10,1.0,,,,,,,1,worry
d_subquest_1401_14,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_14,True,,10,10,1.0,,,,,,,1,worry
d_subquest_1401_15,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_15,True,,10,10,1.0,,,,,,,1,worry
d_subquest_1401_16,d_subquest_1401,Self,,,Locale_SubScenario:d_subquest_1401_16,False,,10,10,1.0,,,,,,,1,worry
d_subquest_1401_17,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_17,True,,10,10,1.0,,,,,,,1,sad
d_subquest_1401_18,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_18,True,,10,10,1.0,,,,,,,1,sad
d_subquest_1401_19,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_19,True,,10,10,1.0,,,,,,,1,sad
d_subquest_1401_20,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_20,True,,10,10,1.0,,,,,,,1,idle
d_subquest_1401_21,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_21,True,,10,10,1.0,,,,,,,1,delight
d_subquest_1401_22,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_22,True,,10,10,1.0,,,,,,,1,delight
d_subquest_1401_23,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_23,True,,10,10,1.0,,,,,,,1,delight
d_subquest_1401_24,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_24,True,,10,10,1.0,,,,,,,1,shy
d_subquest_1401_25,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_25,True,,10,10,1.0,,,,,,,1,shy
d_subquest_1401_26,d_subquest_1401,Self,,,Locale_SubScenario:d_subquest_1401_26,False,,10,10,1.0,,,,,,,1,shy
d_subquest_1401_27,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_27,True,,10,100,1.0,,,,,,,1,delight
d_subquest_1401_28,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_28,True,,100,100,1.0,,,,,,,1,delight
d_subquest_1401_29,d_subquest_1401,Narration,,,Locale_SubScenario:d_subquest_1401_29,False,,black,black,1.0,,,sfx_scn_snowsit,,,,1,delight
d_subquest_1401_30,d_subquest_1401,Monologue,,,Locale_SubScenario:d_subquest_1401_30,False,,black,black,1.0,,,,,,,1,delight
d_subquest_1401_31,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_31,True,,100,100,1.0,,,,Low_2,,,1,delight
d_subquest_1401_32,d_subquest_1401,Monologue,,,Locale_SubScenario:d_subquest_1401_32,False,,black,black,1.0,,,,,,,1,delight
d_subquest_1401_33,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_33,True,,100,100,1.0,,,,,,,1,idle
d_subquest_1401_34,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_34,True,,100,100,1.0,,,,,,,1,idle
d_subquest_1401_35,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_35,True,,100,100,1.0,,,,,,,1,idle
d_subquest_1401_36,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_36,True,,100,100,1.0,,,,,,,1,idle
d_subquest_1401_37,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_37,True,,100,100,1.0,,,,,,,1,idle
d_subquest_1401_38,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_38,True,,100,100,1.0,,,,,,,1,shy
d_subquest_1401_39,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_39,True,,100,100,1.0,,,,,,,1,shy
d_subquest_1401_40,d_subquest_1401,Self,,,Locale_SubScenario:d_subquest_1401_40,False,,100,100,1.0,,,,,,,1,shy
d_subquest_1401_41,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_41,True,,100,100,1.0,,,,,,,1,idle
d_subquest_1401_42,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_42,True,,100,100,1.0,,,,,,,1,idle
d_subquest_1401_43,d_subquest_1401,Monologue,,,Locale_SubScenario:d_subquest_1401_43,False,,black,black,1.0,,,,,,,1,idle
d_subquest_1401_44,d_subquest_1401,Narration,,,Locale_SubScenario:d_subquest_1401_44,False,Sky2,black,black,1.0,none,,sfx_scn_snowsit,,,,1,idle
d_subquest_1401_45,d_subquest_1401,Monologue,,,Locale_SubScenario:d_subquest_1401_45,False,,7,7,1.0,bgm_story_impression,,,,,,1,idle
d_subquest_1401_46,d_subquest_1401,Monologue,,,Locale_SubScenario:d_subquest_1401_46,False,,7,9,1.0,,,,,,,1,idle
d_subquest_1401_47,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_47,True,CountryVillage_d,10,10,1.0,,black,,,,,1,delight
d_subquest_1401_48,d_subquest_1401,Choice,,,Locale_SubScenario:d_subquest_1401_48,False,,10,10,1.0,,,,,d_subquest_1401_50,,1,delight
d_subquest_1401_49,d_subquest_1401,Choice,,,Locale_SubScenario:d_subquest_1401_49,False,,10,10,1.0,,,,,d_subquest_1401_52,,1,delight
d_subquest_1401_50,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_50,True,,10,100,1.0,,,,Low_2,,,1,delight
d_subquest_1401_51,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_51,True,,100,100,1.0,,,,,d_subquest_1401_56,,1,delight
d_subquest_1401_52,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_52,True,,10,10,1.0,,,,,,,1,delight
d_subquest_1401_53,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_53,True,,10,10,1.0,,,,,,,1,delight
d_subquest_1401_54,d_subquest_1401,Self,,,Locale_SubScenario:d_subquest_1401_54,False,,10,10,1.0,,,,,,,1,delight
d_subquest_1401_55,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_55,True,,10,100,1.0,,,,,d_subquest_1401_56,,1,delight
d_subquest_1401_56,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_56,True,,100,100,1.0,,,,,,,1,delight
d_subquest_1401_57,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_57,True,,100,100,1.0,,,,,,,1,shy
d_subquest_1401_58,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_58,True,,100,100,1.0,,,,,,,1,shy
d_subquest_1401_59,d_subquest_1401,Self,,,Locale_SubScenario:d_subquest_1401_59,False,,100,100,1.0,,,,,,,1,shy
d_subquest_1401_60,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_60,True,,100,100,1.0,,,,Low_2,,,1,idle
d_subquest_1401_61,d_subquest_1401,Speech,anis,anis,Locale_SubScenario:d_subquest_1401_61,False,,100,100,1.0,,,,,,,1,idle
