id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,speaker,jump_target,characters/0/hide_char_id,set_camera_shake,characters/1/hide_char_id
d_ex_modernbar_05_1,d_ex_modernbar_05,Narration,Locale_SuddenStory:d_ex_modernbar_05_1,False,Bar,1,1,1.0,sfx_scn_toyshopbell,bgm_story_epicjazzymoods,,,,,,,,,,,,
d_ex_modernbar_05_2,d_ex_modernbar_05,Monologue,Locale_SuddenStory:d_ex_modernbar_05_2,False,,1,1,1.0,,,pepper,2,idle,blanc,12,idle,,,,,,
d_ex_modernbar_05_3,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_3,True,,1,1,1.0,,,,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_4,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_4,True,,1,1,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_5,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_5,True,,1,1,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_6,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_6,True,,1,1,1.0,,,,2,idle,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_7,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_7,True,,1,1,1.0,,,,2,good,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_8,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_8,True,,1,L_120,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_9,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_9,False,,L_120,L_120,1.0,,,,2,idle,,12,idle,,,,,,
d_ex_modernbar_05_10,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_10,True,,L_120,L_120,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_11,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_11,True,,XS_20,XS_20,1.0,,,,2,angry,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_12,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_12,True,,XS_20,XS_20,1.0,,,,2,angry,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_13,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_13,True,,XS_20,XS_20,1.0,,,,2,special,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_14,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_14,True,,XS_20,XS_20,1.0,,,,2,special,,12,idle,pepper,pepper,,,,
d_ex_modernbar_05_15,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_15,False,,XS_20,L_120,1.5,,,,2,special,,12,no,blanc,blanc,,,,
d_ex_modernbar_05_16,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_16,True,,L_120,L_120,1.0,,,,2,idle,,12,idle,blanc,blanc,,,,
d_ex_modernbar_05_17,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_17,False,,L_120,L_120,1.0,,,,2,idle,,12,idle,,,,,,
d_ex_modernbar_05_18,d_ex_modernbar_05,Choice,Locale_SuddenStory:d_ex_modernbar_05_18,False,,L_120,L_120,1.0,,,,2,idle,,12,idle,,,d_ex_modernbar_05_20,,,
d_ex_modernbar_05_19,d_ex_modernbar_05,Choice,Locale_SuddenStory:d_ex_modernbar_05_19,False,,L_120,L_120,1.0,,,,2,idle,,12,idle,,,d_ex_modernbar_05_23,,,
d_ex_modernbar_05_20,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_20,True,,L_120,L_120,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_21,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_21,True,,L_120,L_120,1.0,,,,2,idle,,12,no,blanc,blanc,,,,
d_ex_modernbar_05_22,d_ex_modernbar_05,Self,Locale_SuddenStory:d_ex_modernbar_05_22,False,,L_120,L_120,1.0,,,,2,idle,,12,no,,,d_ex_modernbar_05_25,,,
d_ex_modernbar_05_23,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_23,True,,L_120,L_120,1.0,,,,2,idle,,12,no,blanc,blanc,,,,
d_ex_modernbar_05_24,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_24,True,,L_120,L_120,1.0,,,,2,idle,,12,no,blanc,blanc,,,,
d_ex_modernbar_05_25,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_25,True,,L_120,1,2.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_26,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_26,True,,1,1,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
d_ex_modernbar_05_27,d_ex_modernbar_05,Speech,Locale_SuddenStory:d_ex_modernbar_05_27,True,,1,1,1.0,,,,2,idle,,12,think,blanc,blanc,,,,
