id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,set_camera_shake,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_filter_01,characters/1/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id
d_main_33_09_1,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_1,False,leviathan,1,angry,behemoth,3,worry,cinderella,15,idle_alt,WhiteHouse,black,black,1.0,sfx_scn_explosions,bgm_disaster,,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_2,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_2,True,,1,angry,,3,worry,,15,idle_alt,,S_100,1,1.0,,,leviathan,leviathan,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_3,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_3,True,,1,angry,,3,worry,,15,idle_alt,,1,31,1.0,,,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_4,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_4,True,,1,angry,,3,worry,,15,idle_alt,,31,31,1.0,,,leviathan,leviathan,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_5,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_5,False,,1,angry,,3,worry,,15,idle_alt,,31,31,1.0,sfx_scn_darkwaterspawn,,leviathan,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_6,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_6,False,,1,angry,,3,worry,,15,idle_alt,,31,31,1.0,,,leviathan,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_7,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_7,False,,1,angry,,3,worry,,15,idle_alt,,31,31,1.0,sfx_scn_laserexplosions,,leviathan,,Low_2,,,,,,,,,,,,,,,,,,,,
d_main_33_09_8,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_8,True,,1,angry,,3,worry,,15,idle_alt,,31,31,1.0,,,leviathan,leviathan,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_9,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_9,False,,1,angry,,3,worry,,15,idle_alt,,black,black,1.0,,,leviathan,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_10,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_10,False,,1,angry,,3,worry,,15,idle_alt,,black,black,1.0,,,leviathan,,,leviathan,,,,,,,,,,,,,,,,,,,
d_main_33_09_11,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_11,False,,,,,3,worry,,15,idle_alt,,300,300,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_12,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_12,True,,,,,3,worry,,15,idle_alt,,300,30,1.0,,,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_13,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_13,False,,,,,3,worry,,15,idle_alt,,30,30,1.0,sfx_scn_groundcreak,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_14,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_14,False,,,,,3,worry,,15,idle_alt,,30,30,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_15,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_15,False,,,,,3,worry,,15,idle_alt,,30,30,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_16,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_16,False,,,,,3,worry,,15,idle_alt,,30,S_150,1.5,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_17,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_17,False,,,,,3,worry,,15,idle_alt,,S_150,S_1500,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_18,d_main_33_09,Self,Locale_MainScenario:d_main_33_09_18,False,,,,,3,worry,,15,idle_alt,,S_1500,300,1.5,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_19,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_19,True,,,,,3,surprise,,15,idle_alt,,300,300,1.0,,,behemoth,behemoth,,,cinderella,,,,,,,,,,,,,,,,,,
d_main_33_09_20,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_20,False,,,,,3,surprise,,,,,300,30,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_21,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_21,False,leviathan,1,pain,,3,surprise,,,,,30,31,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_22,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_22,False,,1,pain,,3,surprise,,,,,31,31,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_23,d_main_33_09,Self,Locale_MainScenario:d_main_33_09_23,False,,1,pain,,3,surprise,,,,,31,31,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_24,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_24,True,,1,pain,,3,angry,,,,,31,31,1.0,,,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_25,d_main_33_09,Self,Locale_MainScenario:d_main_33_09_25,False,,1,pain,,3,angry,,,,,31,31,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_26,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_26,True,,1,pain,,3,angry,,,,,31,30,1.0,,,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_27,d_main_33_09,Self,Locale_MainScenario:d_main_33_09_27,False,,1,pain,,3,angry,,,,,30,30,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_28,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_28,True,,1,pain,,3,angry,,,,,30,30,1.0,,,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_29,d_main_33_09,Narration,Locale_MainScenario:d_main_33_09_29,False,,1,pain,,3,angry,,,,,30,30,1.0,sfx_scn_lazerfire1,,behemoth,,Low_2,,,,,,,,,,,,,,,,,,,,
d_main_33_09_30,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_30,False,,1,pain,,3,angry,,,,,30,300,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_31,d_main_33_09,Speech,Locale_MainScenario:d_main_33_09_31,True,,1,pain,,3,worry,,,,,300,300,1.0,,,behemoth,behemoth,,,,,,,,,,,,,,,,,,,,,
d_main_33_09_32,d_main_33_09,Monologue,Locale_MainScenario:d_main_33_09_32,False,,1,pain,,3,worry,,,,,300,300,1.0,,,behemoth,,,,,,,,,,,,,,,,,,,,,,
