id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_ex_theater_04_1,d_ex_theater_04,Monologue,Locale_SuddenStory:d_ex_theater_04_1,False,Theater,17,9,3.0,bgm_story_fairytalesend_if,,,,,,,,,,,
d_ex_theater_04_2,d_ex_theater_04,Monologue,Locale_SuddenStory:d_ex_theater_04_2,False,,9,9,1.0,,,,,,,,,,,,
d_ex_theater_04_3,d_ex_theater_04,Monologue,Locale_SuddenStory:d_ex_theater_04_3,False,,9,1517,2.0,,,,,,,,,,,,
d_ex_theater_04_4,d_ex_theater_04,Monologue,Locale_SuddenStory:d_ex_theater_04_4,False,,1517,1517,1.0,,noise,15,idle,diesel,17,idle,,,,,
d_ex_theater_04_5,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_5,True,,1517,1517,1.0,,,15,idle,,17,idle,noise,noise,,,
d_ex_theater_04_6,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_6,True,,1517,1517,1.0,,,15,think,,17,idle,noise,noise,,,
d_ex_theater_04_7,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_7,True,,1517,1517,1.0,,,15,idle,,17,delight,diesel,diesel,,,
d_ex_theater_04_8,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_8,False,,1517,1517,1.0,,,15,sad,,17,idle,noise,noise,,,
d_ex_theater_04_9,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_9,True,,1517,1517,1.0,,,15,sad,,17,idle,diesel,diesel,,,
d_ex_theater_04_10,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_10,True,,1517,1517,1.0,,,15,idle,,17,idle,noise,noise,,,
d_ex_theater_04_11,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_11,True,,1517,1517,1.0,,,15,idle,,17,idle,noise,noise,,,
d_ex_theater_04_12,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_12,True,,1517,1517,1.0,,,15,think,,17,idle,noise,noise,,,
d_ex_theater_04_13,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_13,True,,1517,1517,1.0,,,15,idle,,17,delight,diesel,diesel,,,
d_ex_theater_04_14,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_14,False,,1517,1517,1.0,,,15,sad,,17,idle,noise,noise,,,
d_ex_theater_04_15,d_ex_theater_04,Monologue,Locale_SuddenStory:d_ex_theater_04_15,False,,1517,9,2.0,,,15,idle,,17,idle,,,,,
d_ex_theater_04_16,d_ex_theater_04,Self,Locale_SuddenStory:d_ex_theater_04_16,False,,9,9,1.0,,,15,idle,,17,idle,,,,,
d_ex_theater_04_17,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_17,True,,9,90,1.0,,,15,idle,,17,idle,crow,crow,crow,9,idle
d_ex_theater_04_18,d_ex_theater_04,Self,Locale_SuddenStory:d_ex_theater_04_18,False,,90,90,1.0,,,15,idle,,17,idle,crow,,,9,idle
d_ex_theater_04_19,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_19,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_20,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_20,True,,90,90,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_21,d_ex_theater_04,Monologue,Locale_SuddenStory:d_ex_theater_04_21,False,,90,9,2.0,,,15,idle,,17,idle,crow,,,9,idle
d_ex_theater_04_22,d_ex_theater_04,Self,Locale_SuddenStory:d_ex_theater_04_22,False,,9,9,1.0,,,15,idle,,17,idle,crow,,,9,idle
d_ex_theater_04_23,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_23,True,,9,9,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_24,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_24,True,,9,1517,2.0,,,15,think,,17,idle,noise,noise,,9,idle
d_ex_theater_04_25,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_25,True,,1517,1517,1.0,,,15,idle,,17,delight,diesel,diesel,,9,idle
d_ex_theater_04_26,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_26,True,,1517,1517,1.0,,,15,idle,,17,idle,noise,noise,,9,idle
d_ex_theater_04_27,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_27,True,,1517,1517,1.0,,,15,think,,17,idle,noise,noise,,9,idle
d_ex_theater_04_28,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_28,True,,1517,9,2.0,,,15,think,,17,idle,crow,crow,,9,idle
d_ex_theater_04_29,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_29,True,,9,9,1.0,,,15,idle,,17,idle,crow,crow,,9,idle
d_ex_theater_04_30,d_ex_theater_04,Speech,Locale_SuddenStory:d_ex_theater_04_30,True,,1517,1517,1.0,,,15,think,,17,idle,noise,noise,,9,idle
