id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_35bf_03_1,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_1,True,Office,L_130,L_130,1.0,bgm_story_fairytalesend_b,,,,neon,5,idle,anis,3,void,rapi_red,1,idle,andersen,13,idle,,ingrid,15,idle,
d_main_35bf_03_2,d_main_35bf_03,Self,andersen,,Locale_MainScenario:d_main_35bf_03_2,False,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_3,d_main_35bf_03,Self,andersen,,Locale_MainScenario:d_main_35bf_03_3,False,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_4,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_4,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_5,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_5,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_6,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_6,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_7,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_7,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_8,d_main_35bf_03,Self,andersen,,Locale_MainScenario:d_main_35bf_03_8,False,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_9,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_9,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,angry,,,15,idle,
d_main_35bf_03_10,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_10,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,angry,,,15,idle,
d_main_35bf_03_11,d_main_35bf_03,Self,andersen,,Locale_MainScenario:d_main_35bf_03_11,False,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,angry,,,15,idle,
d_main_35bf_03_12,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_12,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,angry,,,15,idle,
d_main_35bf_03_13,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_13,False,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,think,,,15,idle,
d_main_35bf_03_14,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_14,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_15,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_15,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_16,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_16,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_17,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_17,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_18,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_18,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_19,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_19,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_20,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_20,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_21,d_main_35bf_03,Self,andersen,,Locale_MainScenario:d_main_35bf_03_21,False,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_22,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_22,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
d_main_35bf_03_23,d_main_35bf_03,Speech,andersen,andersen,Locale_MainScenario:d_main_35bf_03_23,True,,L_130,L_130,1.0,,,,,,5,idle,,3,void,,1,idle,,13,idle,,,15,idle,
