id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_main_28_10_1,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_1,True,CrystalField_2,12,12,1.0,bgm_destroyingcalamity,,,,elegg,1,idle,,liveryn,13,worry,
d_main_28_10_2,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_2,True,,12,12,1.0,,,,,,1,idle,,,13,sad,
d_main_28_10_3,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_3,True,,12,12,1.0,,,,,,1,idle,,,13,sad,
d_main_28_10_4,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_4,True,,12,12,1.0,,,,,,1,idle,,,13,idle,
d_main_28_10_5,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_5,True,,12,12,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_6,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_6,True,,12,12,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_7,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_7,True,,12,130,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_8,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_8,True,,130,130,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_9,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_9,True,,130,130,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_10,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_10,True,,130,12,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_11,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_11,True,,12,12,1.0,,,,,,1,idle,,,13,pain,
d_main_28_10_12,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_12,True,,12,12,1.0,,,,,,1,think,,,13,pain,
d_main_28_10_13,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_13,True,,12,12,1.0,,,,,,1,think,,,13,surprise,
d_main_28_10_14,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_14,True,,12,12,1.0,,,,,,1,think,,,13,surprise,
d_main_28_10_15,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_15,True,,12,12,1.0,,,,,,1,think,,,13,sad,
d_main_28_10_16,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_16,True,,12,12,1.0,,,,,,1,think,,,13,sad,
d_main_28_10_17,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_17,True,,12,12,1.0,,,,,,1,think,,,13,sad,
d_main_28_10_18,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_18,True,,12,12,1.0,,,,,,1,think,,,13,idle,
d_main_28_10_19,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_19,True,,12,S_10,1.0,,,,,,1,think,,,13,idle,
d_main_28_10_20,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_20,True,,S_10,S_10,1.0,,,,,,1,think,,,13,idle,
d_main_28_10_21,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_21,True,,S_10,S_10,1.0,,,,,,1,think,,,13,idle,
d_main_28_10_22,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_22,True,,S_10,S_10,1.0,,,,,,1,think,,,13,idle,
d_main_28_10_23,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_23,True,,130,130,1.0,,,,,,1,think,,,13,worry,
d_main_28_10_24,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_24,True,,S_10,S_10,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_25,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_25,True,,S_10,S_100,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_26,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_26,True,,130,130,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_27,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_27,True,,S_10,S_10,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_28,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_28,False,,S_10,12,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_29,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_29,True,,12,12,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_30,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_30,True,,12,13,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_31,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_31,False,,13,13,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_32,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_32,True,,13,130,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_33,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_33,True,,130,130,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_34,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_34,True,,130,12,1.0,,,,,,1,worry,,,13,smile,
d_main_28_10_35,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_35,True,,12,12,1.0,,,,,,1,worry,,,13,worry,
d_main_28_10_36,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_36,True,,12,12,1.0,,,,,,1,worry,,,13,worry,
d_main_28_10_37,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_37,True,,12,12,1.0,,,,,,1,worry,,,13,worry,
d_main_28_10_38,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_38,True,,12,12,1.0,,,,,,1,delight,,,13,worry,
d_main_28_10_39,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_39,False,,130,130,1.0,,,,,,1,delight,,,13,worry,
d_main_28_10_40,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_40,True,,12,12,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_41,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_41,True,,12,12,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_42,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_42,False,,12,S_10,1.0,,,,,,1,worry,,,13,smile,
d_main_28_10_43,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_43,True,,S_10,S_10,1.0,,,,,,1,worry,,,13,smile,
d_main_28_10_44,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_44,True,,S_10,S_10,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_45,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_45,True,,S_10,S_10,1.0,,,,,,1,idle,,,13,smile,
d_main_28_10_46,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_46,True,,130,130,1.0,,,,,,1,idle,,,13,idle,
d_main_28_10_47,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_47,True,Ark,1,1,1.0,,Grey,Vignetting,black,,1,think,elegg,,13,idle,liveryn
d_main_28_10_48,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_48,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,
d_main_28_10_49,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_49,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,
d_main_28_10_50,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_50,True,,1,1,1.0,,Grey,Vignetting,,,,,,,,,
d_main_28_10_51,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_51,True,,1,L_100,1.0,,Grey,Vignetting,,,,,,,,,
d_main_28_10_52,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_52,True,,L_100,L_100,1.0,,Grey,Vignetting,,,,,,,,,
d_main_28_10_53,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_53,True,,L_100,L_100,1.0,,Grey,Vignetting,,,,,,,,,
d_main_28_10_54,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_54,True,CrystalField_2,black,black,1.0,,Grey,Vignetting,,elegg,1,idle,,liveryn,13,worry,
d_main_28_10_55,d_main_28_10,Speech,liveryn,liveryn,Locale_MainScenario:d_main_28_10_55,True,,12,12,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_56,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_56,True,,12,S_100,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_57,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_57,True,,S_100,S_100,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_58,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_58,True,,S_100,S_100,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_59,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_59,True,,S_100,1,1.0,,,,,,1,idle,,,13,worry,
d_main_28_10_60,d_main_28_10,Speech,elegg,elegg,Locale_MainScenario:d_main_28_10_60,True,,1,1,1.0,,,,,,1,idle,,,13,worry,
