id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_filter_01,set_filter_02,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_ex_modernbar_02_1,d_ex_modernbar_02,Narration,Locale_SuddenStory:d_ex_modernbar_02_1,False,Bar,9,9,1.0,sfx_scn_toyshopbell,bgm_story_tuffguys,,,,,,,,,,,,,,,,,,,,,
d_ex_modernbar_02_2,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_2,True,,9,7,1.0,,,hongryeon,hongryeon,hongryeon,7,idle,brid,3,angry,yulha,1,sad,mana,13,idle,,,,,,,
d_ex_modernbar_02_3,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_3,True,,7,70,1.0,,,hongryeon,hongryeon,,7,delight,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_4,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_4,True,,70,70,1.0,,,hongryeon,hongryeon,,7,delight,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_5,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_5,False,,70,L_30,2.0,,,brid,brid,,7,idle,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_6,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_6,False,,L_30,L_10,2.0,,,yulha,yulha,,7,idle,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_7,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_7,False,,L_10,130,2.0,,,mana,mana,,7,idle,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_8,d_ex_modernbar_02,Self,Locale_SuddenStory:d_ex_modernbar_02_8,False,,70,70,1.0,,,,,,7,idle,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_9,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_9,True,,70,70,1.0,,,hongryeon,hongryeon,,7,pain,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_10,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_10,True,,70,70,1.0,,,hongryeon,hongryeon,,7,delight,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_11,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_11,True,,70,70,1.0,,,hongryeon,hongryeon,,7,delight,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_12,d_ex_modernbar_02,Speech,Locale_SuddenStory:d_ex_modernbar_02_12,True,,70,70,1.0,,,hongryeon,hongryeon,,7,delight,,3,angry,,1,sad,,13,idle,,,,,,,
d_ex_modernbar_02_13,d_ex_modernbar_02,Narration,Locale_SuddenStory:d_ex_modernbar_02_13,False,,black,black,1.0,,,,,,7,idle,,3,angry,,1,sad,,13,idle,Grey,Vignetting,,,,,
d_ex_modernbar_02_14,d_ex_modernbar_02,Monologue,Locale_SuddenStory:d_ex_modernbar_02_14,False,,L_30,L_300,0.5,,,,,,7,idle,,3,angry,,1,sad,,13,idle,Grey,Vignetting,,,,,
d_ex_modernbar_02_15,d_ex_modernbar_02,Narration,Locale_SuddenStory:d_ex_modernbar_02_15,False,,L_300,L_300,1.0,sfx_scn_glasstable,,,,,7,idle,,3,angry,,1,sad,,13,idle,Grey,Vignetting,,,,,
