id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,set_camera_shake
d_main_38_01_s_1,d_main_38_01_s,Speech,helm,helm,Locale_MainScenario:d_main_38_01_s_1,True,maxwell,5,idle_02,rapi_red,3,idle,helm,1,idle,mast,13,idle,anchor,15,idle,EzsUp,10,1,1.0,bgm_chapter38_field_goldentree,,,,,
d_main_38_01_s_2,d_main_38_01_s,Speech,helm,helm,Locale_MainScenario:d_main_38_01_s_2,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,
d_main_38_01_s_3,d_main_38_01_s,Self,helm,,Locale_MainScenario:d_main_38_01_s_3,False,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,
d_main_38_01_s_4,d_main_38_01_s,Speech,helm,helm,Locale_MainScenario:d_main_38_01_s_4,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,
d_main_38_01_s_5,d_main_38_01_s,Speech,helm,helm,Locale_MainScenario:d_main_38_01_s_5,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,
d_main_38_01_s_6,d_main_38_01_s,Speech,helm,helm,Locale_MainScenario:d_main_38_01_s_6,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,
d_main_38_01_s_7,d_main_38_01_s,Speech,helm,helm,Locale_MainScenario:d_main_38_01_s_7,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,1,1,1.0,,,,,,
d_main_38_01_s_8,d_main_38_01_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_38_01_s_8,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,1,4,1.0,,,,,,
d_main_38_01_s_9,d_main_38_01_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_38_01_s_9,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_10,d_main_38_01_s,Self,maxwell,,Locale_MainScenario:d_main_38_01_s_10,False,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_11,d_main_38_01_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_38_01_s_11,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_12,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_12,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_13,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_13,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_14,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_14,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_15,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_15,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_16,d_main_38_01_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_38_01_s_16,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_17,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_17,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_18,d_main_38_01_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_38_01_s_18,False,,5,sad,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_19,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_19,True,,5,sad,,3,special,,1,idle,,13,idle,,15,idle,,4,30,1.5,,,,,,
d_main_38_01_s_20,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_20,True,,5,sad,,3,special,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,,
d_main_38_01_s_21,d_main_38_01_s,Self,rapi_red,,Locale_MainScenario:d_main_38_01_s_21,False,,5,sad,,3,special,,1,idle,,13,idle,,15,idle,,30,30,1.0,,,,,,
d_main_38_01_s_22,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_22,True,,5,sad,,3,idle,,1,idle,,13,idle,,15,idle,,30,4,1.0,,,,,,
d_main_38_01_s_23,d_main_38_01_s,Speech,rapi_red,rapi_red,Locale_MainScenario:d_main_38_01_s_23,True,,5,sad,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_24,d_main_38_01_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_38_01_s_24,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_25,d_main_38_01_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_38_01_s_25,True,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_26,d_main_38_01_s,Self,maxwell,,Locale_MainScenario:d_main_38_01_s_26,False,,5,idle_02,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_27,d_main_38_01_s,Speech,maxwell,maxwell,Locale_MainScenario:d_main_38_01_s_27,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,4,4,1.0,,,,,,
d_main_38_01_s_28,d_main_38_01_s,Speech,anchor,anchor,Locale_MainScenario:d_main_38_01_s_28,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,,
d_main_38_01_s_29,d_main_38_01_s,Speech,anchor,anchor,Locale_MainScenario:d_main_38_01_s_29,True,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,14,14,1.0,,,,,,
