id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,play_sound,characters/0/hide_char_id,jump_target,set_camera_shake
d_ex_outdoorpool_07_1,d_ex_outdoorpool_07,Narration,Narration,Locale_SuddenStory:d_ex_outdoorpool_07_1,False,Pool,black,black,1.0,none,,,,,,,,,,,,
d_ex_outdoorpool_07_2,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_2,True,,3,2,1.0,bgm_story_profusion,anis_s,anis_s,3,idle,anchor,1,idle,,,,,
d_ex_outdoorpool_07_3,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_3,True,,2,2,1.0,,anis_s,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_4,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_4,True,,2,2,1.0,,anis_s,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_5,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_5,True,,2,2,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_6,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_6,True,,2,2,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_7,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_7,True,,2,2,1.0,,anis_s,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_8,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_8,True,,2,2,1.0,,anis_s,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_9,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_9,True,,2,2,1.0,,anchor,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_10,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_10,True,,2,2,1.0,,anis_s,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_11,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_11,True,,2,2,1.0,,anis_s,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_12,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_12,True,,2,2,1.0,,anis_s,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_13,d_ex_outdoorpool_07,Self,Self,Locale_SuddenStory:d_ex_outdoorpool_07_13,False,,2,2,1.0,,,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_14,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_14,True,,2,2,1.0,,anis_s,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_15,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_15,True,,2,2,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_16,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_16,True,,2,2,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_17,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_17,True,,2,2,1.0,,anis_s,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_18,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_18,True,,2,2,1.0,,anis_s,,3,worry,,1,idle,,,,,
d_ex_outdoorpool_07_19,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_19,True,,2,2,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_20,d_ex_outdoorpool_07,Narration,Narration,Locale_SuddenStory:d_ex_outdoorpool_07_20,False,,black,black,1.0,,,,3,idle,,1,idle,anchor,sfx_scn_waterdive,,,
d_ex_outdoorpool_07_21,d_ex_outdoorpool_07,Monologue,Monologue,Locale_SuddenStory:d_ex_outdoorpool_07_21,False,,3,3,1.0,,,,3,idle,,,,,,,,
d_ex_outdoorpool_07_22,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_22,False,,3,3,1.0,,anchor,,3,idle,,,,,,,,
d_ex_outdoorpool_07_23,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_23,False,,3,3,1.0,,anis_s,,3,idle,,,,,,,,
d_ex_outdoorpool_07_24,d_ex_outdoorpool_07,Self,Self,Locale_SuddenStory:d_ex_outdoorpool_07_24,False,,3,3,1.0,,,,3,idle,,,,,,,,
d_ex_outdoorpool_07_25,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_25,True,,3,2,1.0,,anchor,,3,idle,anchor,1,idle,,,,,
d_ex_outdoorpool_07_26,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_26,True,,2,2,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_27,d_ex_outdoorpool_07,Self,Self,Locale_SuddenStory:d_ex_outdoorpool_07_27,False,,2,2,1.0,,,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_28,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_28,True,,2,XS_30,0.7,,anis_s,,3,angry,,1,idle,,,,,
d_ex_outdoorpool_07_29,d_ex_outdoorpool_07,Speech,anis_s,Locale_SuddenStory:d_ex_outdoorpool_07_29,True,,XS_30,XS_30,1.0,,anis_s,,3,angry,,1,idle,,,,,
d_ex_outdoorpool_07_30,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_30,True,,XS_30,S_10,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_31,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_31,True,,S_10,S_10,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_32,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_32,True,,S_10,S_10,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_33,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_33,True,,S_10,S_10,1.0,,anchor,,3,idle,,1,idle,,,,,
d_ex_outdoorpool_07_34,d_ex_outdoorpool_07,Speech,anchor,Locale_SuddenStory:d_ex_outdoorpool_07_34,True,,S_10,S_10,1.0,,anchor,,3,idle,,1,idle,,,,,
