id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_camera_shake,play_sound,characters/0/hide_char_id
d_main_16af_03_1,d_main_16af_03,Narration,Narration,Locale_MainScenario:d_main_16af_03_1,False,Bar,8,3,2.0,bgm_story_stormbreakers,,,,,,,,,,,,,
d_main_16af_03_2,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_2,False,,3,3,1.0,,jackal,jackal,3,"expression_0,crazy",crow,1,idle,viper,13,idle,,,
d_main_16af_03_3,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_3,True,,3,S_30,1.0,,jackal,,3,crazy,,1,idle,,13,idle,,,
d_main_16af_03_4,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_4,True,,S_30,S_30,1.0,,jackal,,3,idle,,1,idle,,13,idle,,,
d_main_16af_03_5,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_5,True,,S_30,S_30,1.0,,jackal,,3,idle,,1,idle,,13,idle,,,
d_main_16af_03_6,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_6,True,,S_30,S_300,1.0,,jackal,,3,crazy,,1,idle,,13,idle,Low_2,,
d_main_16af_03_7,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_7,True,,130,130,1.0,,viper,,3,crazy,,1,idle,,13,delight,,,
d_main_16af_03_8,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_8,True,,130,130,1.0,,viper,,3,idle,,1,idle,,13,idle,,,
d_main_16af_03_9,d_main_16af_03,Speech,viper,Locale_MainScenario:d_main_16af_03_9,True,,130,1300,1.0,,viper,,3,idle,,1,idle,,13,delight,,,
d_main_16af_03_10,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_10,True,,1300,S_30,2.0,,jackal,,3,shy_02,,1,idle,,13,delight,,,
d_main_16af_03_11,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_11,True,,S_30,S_300,2.0,,jackal,,3,shy_02,,1,idle,,13,idle,,,
d_main_16af_03_12,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_12,True,,S_300,S_300,1.0,,jackal,,3,crazy,,1,idle,,13,idle,,,
d_main_16af_03_13,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_13,True,,S_300,S_300,1.0,,jackal,,3,shy_02,,1,idle,,13,idle,,,
d_main_16af_03_14,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_14,False,,10,10,1.0,,crow,,3,shy_02,,1,angry,,13,idle,,,
d_main_16af_03_15,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_15,True,,10,2,1.0,,jackal,,3,no,,1,angry,,13,idle,,,
d_main_16af_03_16,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_16,True,,2,2,1.0,,jackal,,3,no,,1,angry,,13,idle,,,
d_main_16af_03_17,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_17,True,,2,S_30,2.0,,jackal,,3,no,,1,angry,,13,idle,,,
d_main_16af_03_18,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_18,True,,S_30,S_30,1.0,,jackal,,3,idle,,1,angry,,13,idle,,,
d_main_16af_03_19,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_19,True,,S_30,10,0.3,,crow,,3,idle,,1,angry,,13,idle,,,
d_main_16af_03_20,d_main_16af_03,Speech,crow,Locale_MainScenario:d_main_16af_03_20,True,,10,10,1.0,,crow,,3,idle,,1,angry,,13,idle,,,
d_main_16af_03_21,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_21,True,,10,S_30,2.0,,jackal,,3,no,,1,angry,,13,idle,,,
d_main_16af_03_22,d_main_16af_03,Speech,jackal,Locale_MainScenario:d_main_16af_03_22,True,,S_30,S_30,1.0,,jackal,,3,shy_02,,1,angry,,13,idle,,,
