id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,characters/9/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,characters/0/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/hide_char_id,characters/6/hide_char_id,characters/7/hide_char_id,characters/8/hide_char_id,fade,jump_target
d_main_20_07_1,d_main_20_07,Speech,neon,neon,Locale_MainScenario:d_main_20_07_1,True,harran,9,idle,isabel,7,idle,dorothy,5,idle_alt,johan,3,idle,noah,1,idle,papillon,13,idle,neon,15,surprise,anis,17,idle,rapi,19,idle,Desert_02,16,16,1.0,bgm_volcanicnest,,,,,,,,,,,,,,,,,
d_main_20_07_2,d_main_20_07,Speech,neon,neon,Locale_MainScenario:d_main_20_07_2,True,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,surprise,,17,idle,,19,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,
d_main_20_07_3,d_main_20_07,Speech,anis,anis,Locale_MainScenario:d_main_20_07_3,True,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,idle,,17,delight,,19,idle,,16,16,1.0,,,,,,,,,,,,,,,,,,
d_main_20_07_4,d_main_20_07,Speech,harran,harran,Locale_MainScenario:d_main_20_07_4,True,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,idle,,17,delight,,19,idle,,9,9,1.0,,,,,,,,,,,,,,,,,,
d_main_20_07_5,d_main_20_07,Self,,Self,Locale_MainScenario:d_main_20_07_5,False,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,9,9,1.0,,,,,,,,,,,,,,,,,,
d_main_20_07_6,d_main_20_07,Speech,harran,harran,Locale_MainScenario:d_main_20_07_6,True,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,9,9,1.0,,,,,,,,,,,,,,,,,,
d_main_20_07_7,d_main_20_07,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_20_07_7,True,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,9,9,1.0,,cecil_op_l,OP_leftup,special,,,,,,,,,,,,,,
d_main_20_07_8,d_main_20_07,Speech,cecil_op_l,cecil_op_l,Locale_MainScenario:d_main_20_07_8,True,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,9,9,1.0,,,OP_leftup,idle,,,,,,,,,,,,,,
d_main_20_07_9,d_main_20_07,Speech,isabel,isabel,Locale_MainScenario:d_main_20_07_9,True,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,9,6,2.0,,,OP_leftup,idle,cecil_op_l,,,,,,,,,,,,,
d_main_20_07_10,d_main_20_07,Speech,dorothy,dorothy,Locale_MainScenario:d_main_20_07_10,True,,9,idle,,7,idle,,5,idle_alt,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,19,idle,,6,6,1.0,,,,,,,,,,,,,,,,,,
