id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_court_05_1,d_ex_court_05,Monologue,Locale_SuddenStory:d_ex_court_05_1,False,Office,7,7,1.0,bgm_story_languor,,,,,,rei,7,surprise,,,
d_ex_court_05_2,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_2,True,,7,XS_70,1.0,,rei,rei,,,,,7,surprise,,,
d_ex_court_05_3,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_3,False,,XS_70,XS_70,1.0,,,,,,,,7,surprise,,,
d_ex_court_05_4,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_4,True,,XS_70,XS_70,1.0,,rei,rei,,,,,7,idle,,,
d_ex_court_05_5,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_5,True,,XS_70,XS_70,1.0,,rei,rei,,,,,7,idle,,,
d_ex_court_05_6,d_ex_court_05,Choice,Locale_SuddenStory:d_ex_court_05_6,False,,XS_70,XS_70,1.0,,,,d_ex_court_05_8,,,,7,idle,,,
d_ex_court_05_7,d_ex_court_05,Choice,Locale_SuddenStory:d_ex_court_05_7,False,,XS_70,XS_70,1.0,,,,d_ex_court_05_10,,,,7,idle,,,
d_ex_court_05_8,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_8,False,,XS_70,XS_70,1.0,,rei,rei,,,,,7,no,,,
d_ex_court_05_9,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_9,True,,XS_70,XS_70,1.0,,rei,rei,d_ex_court_05_12,,,,7,no,,,
d_ex_court_05_10,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_10,False,,XS_70,XS_70,1.0,,rei,rei,,,,,7,no,,,
d_ex_court_05_11,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_11,True,,XS_70,XS_70,1.0,,rei,rei,d_ex_court_05_12,,,,7,no,,,
d_ex_court_05_12,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_12,False,,XS_70,XS_700,1.0,,rei,rei,,,,,7,no,,,
d_ex_court_05_13,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_13,True,,XS_700,XS_700,1.0,,rei,rei,,,,,7,no,,,
d_ex_court_05_14,d_ex_court_05,Monologue,Locale_SuddenStory:d_ex_court_05_14,False,,XS_700,XS_700,1.0,,,,,,,,7,no,,,
d_ex_court_05_15,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_15,False,,XS_700,XS_700,1.0,,,,,,,,7,no,,,
d_ex_court_05_16,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_16,True,,XS_700,XS_700,1.0,,rei,rei,,,,,7,no,,,
d_ex_court_05_17,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_17,True,,XS_700,XS_700,1.0,,rei,rei,,,,,7,no,,,
d_ex_court_05_18,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_18,True,,XS_700,XS_700,1.0,,rei,rei,,,,,7,no,,,
d_ex_court_05_19,d_ex_court_05,Self,Locale_SuddenStory:d_ex_court_05_19,False,,XS_700,XS_700,1.0,,,,,,,,7,no,,,
d_ex_court_05_20,d_ex_court_05,Choice,Locale_SuddenStory:d_ex_court_05_20,False,,XS_700,XS_700,1.0,,,,d_ex_court_05_22,,,,7,no,,,
d_ex_court_05_21,d_ex_court_05,Choice,Locale_SuddenStory:d_ex_court_05_21,False,,XS_700,XS_700,1.0,,,,d_ex_court_05_22,,,,7,no,,,
d_ex_court_05_22,d_ex_court_05,Speech,Locale_SuddenStory:d_ex_court_05_22,False,,XS_700,XS_70,1.0,,rei,rei,,,,,7,surprise,,,
