id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_32_06_e_1,d_main_32_06_e,Self,grave_no,Locale_MainScenario:d_main_32_06_e_1,False,grave_no,1,idle,anis,13,void,neon,15,idle,vesti,3,idle,rapi,5,idle,CrystalCity,1,L_10,1.0,bgm_story_confront,,,,,
d_main_32_06_e_2,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_2,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,grave_no,,,,
d_main_32_06_e_3,d_main_32_06_e,Self,grave_no,Locale_MainScenario:d_main_32_06_e_3,False,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,,,,,
d_main_32_06_e_4,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_4,False,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,grave_no,,,,
d_main_32_06_e_5,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_5,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,grave_no,,,,
d_main_32_06_e_6,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_6,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,grave_no,,,,
d_main_32_06_e_7,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_7,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_10,L_100,1.0,,grave_no,,,,
d_main_32_06_e_8,d_main_32_06_e,Self,grave_no,Locale_MainScenario:d_main_32_06_e_8,False,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_100,L_100,1.0,,,,,,
d_main_32_06_e_9,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_9,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_100,L_100,1.0,,grave_no,,,,
d_main_32_06_e_10,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_10,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_100,L_100,1.0,,grave_no,,,,
d_main_32_06_e_11,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_11,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_100,L_100,1.0,,grave_no,,,,
d_main_32_06_e_12,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_12,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_100,L_10,1.0,,grave_no,,,,
d_main_32_06_e_13,d_main_32_06_e,Self,grave_no,Locale_MainScenario:d_main_32_06_e_13,False,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,,,,,
d_main_32_06_e_14,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_14,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,L_10,1,1.0,,grave_no,,,,
d_main_32_06_e_15,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_15,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,1,1,1.0,,grave_no,,,,
d_main_32_06_e_16,d_main_32_06_e,Speech,neon,Locale_MainScenario:d_main_32_06_e_16,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,1,1315,1.5,,neon,,,,
d_main_32_06_e_17,d_main_32_06_e,Speech,neon,Locale_MainScenario:d_main_32_06_e_17,True,,1,idle,,13,void,,15,idle,,3,idle,,5,idle,,1315,1315,1.0,,neon,,,,
d_main_32_06_e_18,d_main_32_06_e,Speech,anis,Locale_MainScenario:d_main_32_06_e_18,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,1315,1315,1.0,,anis,,,,
d_main_32_06_e_19,d_main_32_06_e,Speech,anis,Locale_MainScenario:d_main_32_06_e_19,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,1315,1315,1.0,,anis,,,,
d_main_32_06_e_20,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_20,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,grave_no,,,,
d_main_32_06_e_21,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_21,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,grave_no,,,,
d_main_32_06_e_22,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_22,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_10,L_100,1.0,,grave_no,,,,
d_main_32_06_e_23,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_23,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_100,L_100,1.0,,grave_no,,,,
d_main_32_06_e_24,d_main_32_06_e,Self,grave_no,Locale_MainScenario:d_main_32_06_e_24,False,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_100,L_100,1.0,,,,,,
d_main_32_06_e_25,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_25,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_100,L_10,1.0,,grave_no,,,,
d_main_32_06_e_26,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_26,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,grave_no,,,,
d_main_32_06_e_27,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_27,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_10,L_10,1.0,,grave_no,,,,
d_main_32_06_e_28,d_main_32_06_e,Speech,vesti,Locale_MainScenario:d_main_32_06_e_28,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,L_10,31,1.0,,vesti,,,,
d_main_32_06_e_29,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_29,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,31,31,1.0,,grave_no,,,,
d_main_32_06_e_30,d_main_32_06_e,Speech,anis,Locale_MainScenario:d_main_32_06_e_30,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,31,113,1.0,,anis,,,,
d_main_32_06_e_31,d_main_32_06_e,Speech,anis,Locale_MainScenario:d_main_32_06_e_31,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,anis,,,,
d_main_32_06_e_32,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_32,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,grave_no,,,,
d_main_32_06_e_33,d_main_32_06_e,Speech,anis,Locale_MainScenario:d_main_32_06_e_33,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,anis,,,,
d_main_32_06_e_34,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_34,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,grave_no,,,,
d_main_32_06_e_35,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_35,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,grave_no,,,,
d_main_32_06_e_36,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_36,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,grave_no,,,,
d_main_32_06_e_37,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_37,True,,1,idle,,13,worry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,grave_no,,,,
d_main_32_06_e_38,d_main_32_06_e,Speech,anis,Locale_MainScenario:d_main_32_06_e_38,True,,1,idle,,13,angry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,anis,,,,
d_main_32_06_e_39,d_main_32_06_e,Speech,grave_no,Locale_MainScenario:d_main_32_06_e_39,True,,1,idle,,13,angry,,15,idle,,3,idle,,5,idle,,113,113,1.0,,grave_no,,,,
