id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,play_sound,fade,set_camera_shake
d_ex_redash_04_1_1,d_ex_redash_04_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_1_1,False,redhood,1,idle,commander,3,no,Grassland,black,black,1.0,none,,,,,,,,
d_ex_redash_04_1_2,d_ex_redash_04_1,Narration,Narration,Locale_SuddenStory:d_ex_redash_04_1_2,False,,1,idle,,3,no,,3,L_30,1.0,event_bgm_redash_alldownhill,,,,,,,,
d_ex_redash_04_1_3,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_3,True,,1,idle,,3,no,,L_30,1,1.0,,redhood,,,,,,,
d_ex_redash_04_1_4,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_4,True,,1,idle,,3,no,,1,1,1.0,,redhood,,,,,,,
d_ex_redash_04_1_5,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_5,True,,1,surprise,,3,no,,1,10,1.0,,redhood,,,,,,,
d_ex_redash_04_1_6,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_6,True,,1,surprise,,3,no,,10,10,1.0,,redhood,,,,,,,
d_ex_redash_04_1_7,d_ex_redash_04_1,Speech,commander,Locale_SuddenStory:d_ex_redash_04_1_7,True,,1,surprise,,3,no,,10,2,1.0,,commander,,,,,,,
d_ex_redash_04_1_8,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_8,True,,1,shy_02,,3,no,,2,2,1.0,,redhood,,,,,,,
d_ex_redash_04_1_9,d_ex_redash_04_1,Speech,commander,Locale_SuddenStory:d_ex_redash_04_1_9,True,,1,shy_02,,3,no,,2,2,1.0,,commander,,,,,,,
d_ex_redash_04_1_10,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_10,True,,1,panic,,3,no,,2,2,1.0,,redhood,,,,,,,
d_ex_redash_04_1_11,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_11,True,,1,panic,,3,no,,2,2,1.0,,redhood,,,,,,,
d_ex_redash_04_1_12,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_12,True,,1,surprise,,3,no,,2,10,1.0,,redhood,,,,,,,
d_ex_redash_04_1_13,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_13,True,,1,surprise,,3,no,,10,10,1.0,,redhood,,,,,,,
d_ex_redash_04_1_14,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_14,True,,1,surprise,,3,surprise,,10,10,1.0,,redhood,,,,,,,
d_ex_redash_04_1_15,d_ex_redash_04_1,Speech,commander,Locale_SuddenStory:d_ex_redash_04_1_15,True,,1,surprise,,3,surprise,,10,2,1.0,,commander,,,,,,,
d_ex_redash_04_1_16,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_16,True,,1,idle,,3,surprise,,2,2,1.0,,redhood,,,,,,,
d_ex_redash_04_1_17,d_ex_redash_04_1,Speech,commander,Locale_SuddenStory:d_ex_redash_04_1_17,True,,1,idle,,3,no,,2,2,1.0,,commander,,,,,,,
d_ex_redash_04_1_18,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_18,True,,1,surprise,,3,no,,2,2,1.0,,redhood,,,,,,,
d_ex_redash_04_1_19,d_ex_redash_04_1,Speech,commander,Locale_SuddenStory:d_ex_redash_04_1_19,True,,1,surprise,,3,surprise,,L_30,L_30,1.0,,commander,snowwhite_o,7,idle,,,,
d_ex_redash_04_1_20,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_20,True,,1,idle,,3,surprise,ArkRuinIndoor,S_70,S_70,1.0,,snowwhite_o,,7,idle,commander,sfx_scn_metalpartsassemble2,black,
d_ex_redash_04_1_21,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_21,True,,1,idle,,,,,S_70,7,1.0,,snowwhite_o,,7,sad,,,,
d_ex_redash_04_1_22,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_22,True,,5,idle,,,,,7,6,1.0,,redhood,,7,sad,,,,
d_ex_redash_04_1_23,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_23,True,,5,idle,,,,,6,6,1.0,none,snowwhite_o,,7,surprise,,,,Low_2
d_ex_redash_04_1_24,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_24,True,,5,idle,,,,,6,6,1.0,bgm_story_languor,redhood,,7,surprise,,,,
d_ex_redash_04_1_25,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_25,True,,5,smile,,,,,6,6,1.0,,redhood,,7,surprise,,,,
d_ex_redash_04_1_26,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_26,False,,5,smile,,,,,6,6,1.0,,snowwhite_o,,7,no,,,,
d_ex_redash_04_1_27,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_27,True,,5,idle,,,,,6,6,1.0,,redhood,,7,no,,,,
d_ex_redash_04_1_28,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_28,True,,5,idle,,,,,6,6,1.0,,redhood,,7,no,,,,
d_ex_redash_04_1_29,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_29,True,,5,smile,,,,,6,6,1.0,,redhood,,7,no,,,,
d_ex_redash_04_1_30,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_30,True,,5,smile,,,,,6,6,1.0,,redhood,,7,no,,,,
d_ex_redash_04_1_31,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_31,False,,5,idle,,,,,6,6,1.0,,snowwhite_o,,7,no,,,,
d_ex_redash_04_1_32,d_ex_redash_04_1,Speech,redhood,Locale_SuddenStory:d_ex_redash_04_1_32,True,,5,smile,,,,,6,6,1.0,,redhood,,7,no,,,,
d_ex_redash_04_1_33,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_33,False,,5,smile,,,,,6,S_70,1.0,,snowwhite_o,,7,no,,,,
d_ex_redash_04_1_34,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_34,False,,5,idle,,,,,S_70,S_70,1.0,,snowwhite_o,,7,no,,,,
d_ex_redash_04_1_35,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_35,False,,5,idle,,,,,S_70,S_70,1.0,,snowwhite_o,,7,no,,,,
d_ex_redash_04_1_36,d_ex_redash_04_1,Speech,snowwhite_o,Locale_SuddenStory:d_ex_redash_04_1_36,False,,5,idle,,,,,S_70,S_70,1.0,,snowwhite_o,,7,no,,,,
