id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/1/hide_char_id
d_ex_mysteryclub_04_1,d_ex_mysteryclub_04,Narration,Locale_SuddenStory:d_ex_mysteryclub_04_1,False,aria,1,idle,Bar,3,1,2.0,sfx_scn_chimebell,bgm_story_epicjazzymoods,,,,,,,
d_ex_mysteryclub_04_2,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_2,True,,1,idle,,1,10,1.0,,,aria,aria,,,,,
d_ex_mysteryclub_04_3,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_3,True,,1,idle,,10,10,1.0,,,aria,aria,,,,,
d_ex_mysteryclub_04_4,d_ex_mysteryclub_04,Self,Locale_SuddenStory:d_ex_mysteryclub_04_4,False,,1,idle,,10,10,1.0,,,aria,,,,,,
d_ex_mysteryclub_04_5,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_5,True,,1,idle,,10,10,1.0,,,aria,aria,,,,,
d_ex_mysteryclub_04_6,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_6,True,,1,idle,,10,12,2.0,,,mihara,mihara,mihara,13,idle,,
d_ex_mysteryclub_04_7,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_7,True,,1,idle,,12,12,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_8,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_8,True,,1,idle,,12,10,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_9,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_9,True,,1,think,,10,10,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_10,d_ex_mysteryclub_04,Self,Locale_SuddenStory:d_ex_mysteryclub_04_10,False,,1,idle,,10,10,1.0,,,aria,,,13,idle,,
d_ex_mysteryclub_04_11,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_11,True,,1,idle,,10,130,1.0,,,mihara,mihara,,13,surprise,,
d_ex_mysteryclub_04_12,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_12,True,,1,idle,,130,1300,0.5,,,mihara,mihara,,13,surprise,,
d_ex_mysteryclub_04_13,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_13,True,,1,idle,,1300,1300,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_14,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_14,True,,1,idle,,1300,1300,1.0,,,mihara,mihara,,13,shy,,
d_ex_mysteryclub_04_15,d_ex_mysteryclub_04,Self,Locale_SuddenStory:d_ex_mysteryclub_04_15,False,,1,idle,,1300,1300,1.0,,,mihara,,,13,shy,,
d_ex_mysteryclub_04_16,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_16,True,,1,idle,,1300,1300,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_17,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_17,False,,1,think,,10,100,2.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_18,d_ex_mysteryclub_04,Monologue,Locale_SuddenStory:d_ex_mysteryclub_04_18,False,,1,idle,,100,100,1.0,,,aria,,,13,idle,,
d_ex_mysteryclub_04_19,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_19,True,,1,idle,,100,10,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_20,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_20,True,,1,idle,,10,10,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_21,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_21,True,,1,idle,,10,10,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_22,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_22,True,,1,idle,,10,12,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_23,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_23,True,,1,idle,,12,12,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_24,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_24,True,,1,idle,,12,12,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_25,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_25,True,,1,idle,,12,12,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_26,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_26,True,,1,think,,12,12,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_27,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_27,True,,1,idle,,12,12,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_28,d_ex_mysteryclub_04,Self,Locale_SuddenStory:d_ex_mysteryclub_04_28,False,,1,idle,,12,12,1.0,,,aria,,,13,idle,,
d_ex_mysteryclub_04_29,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_29,True,,1,idle,,12,130,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_30,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_30,True,,1,idle,,130,130,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_31,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_31,True,,1,idle,,130,10,2.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_32,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_32,True,,1,idle,,10,10,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_33,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_33,True,,1,idle,,10,10,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_34,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_34,True,,1,idle,,130,130,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_35,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_35,True,,1,idle,,130,130,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_36,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_36,True,,1,idle,,10,10,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_37,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_37,True,,1,idle,,130,1300,0.5,,,mihara,mihara,,13,shy,,
d_ex_mysteryclub_04_38,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_38,True,,1,idle,,1300,1300,1.0,,,mihara,mihara,,13,shy,,
d_ex_mysteryclub_04_39,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_39,True,,1,idle,,1300,1300,1.0,,,mihara,mihara,,13,shy,,
d_ex_mysteryclub_04_40,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_40,True,,1,idle,,1300,1300,1.0,,,mihara,mihara,,13,shy,,
d_ex_mysteryclub_04_41,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_41,True,,1,think,,1300,12,2.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_42,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_42,True,,1,idle,,12,12,1.0,,,aria,aria,,13,idle,,
d_ex_mysteryclub_04_43,d_ex_mysteryclub_04,Self,Locale_SuddenStory:d_ex_mysteryclub_04_43,False,,1,idle,,12,12,1.0,,,aria,,,13,idle,,
d_ex_mysteryclub_04_44,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_44,True,,1,idle,,12,12,1.0,,,mihara,mihara,,13,idle,,
d_ex_mysteryclub_04_45,d_ex_mysteryclub_04,Speech,Locale_SuddenStory:d_ex_mysteryclub_04_45,True,,1,idle,,12,12,1.0,,,aria,aria,,13,idle,,
