id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_subquest_1231_s_1,d_subquest_1231_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1231_s_1,True,IceLand_04,3,30,2.0,bgm_distress,rapi,3,idle,anis,1,idle,neon,13,idle
d_subquest_1231_s_2,d_subquest_1231_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1231_s_2,True,,30,30,1.0,,,3,idle,,1,idle,,13,idle
d_subquest_1231_s_3,d_subquest_1231_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1231_s_3,True,,30,30,1.0,,,3,idle,,1,idle,,13,idle
d_subquest_1231_s_4,d_subquest_1231_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1231_s_4,True,,30,2,1.0,,,3,idle,,1,worry,,13,idle
d_subquest_1231_s_5,d_subquest_1231_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1231_s_5,True,,2,2,1.0,,,3,idle,,1,worry,,13,idle
d_subquest_1231_s_6,d_subquest_1231_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1231_s_6,True,,2,12,1.0,,,3,idle,,1,worry,,13,idle
d_subquest_1231_s_7,d_subquest_1231_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1231_s_7,True,,12,12,1.0,,,3,idle,,1,no,,13,idle
d_subquest_1231_s_8,d_subquest_1231_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1231_s_8,True,,12,12,1.0,,,3,idle,,1,no,,13,no
d_subquest_1231_s_9,d_subquest_1231_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1231_s_9,True,,12,2,1.0,,,3,idle,,1,void,,13,no
d_subquest_1231_s_10,d_subquest_1231_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1231_s_10,True,,2,2,1.0,,,3,think,,1,void,,13,no
d_subquest_1231_s_11,d_subquest_1231_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1231_s_11,True,,2,2,1.0,,,3,think,,1,void,,13,idle
d_subquest_1231_s_12,d_subquest_1231_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1231_s_12,True,,2,30,2.0,,,3,think,,1,void,,13,idle
d_subquest_1231_s_13,d_subquest_1231_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1231_s_13,True,,10,10,1.0,,,3,idle,,1,idle,,13,idle
d_subquest_1231_s_14,d_subquest_1231_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1231_s_14,True,,10,12,1.0,,,3,idle,,1,idle,,13,surprise
d_subquest_1231_s_15,d_subquest_1231_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1231_s_15,True,,12,12,1.0,,,3,idle,,1,worry,,13,surprise
d_subquest_1231_s_16,d_subquest_1231_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1231_s_16,True,,12,12,1.0,,,3,idle,,1,worry,,13,angry
d_subquest_1231_s_17,d_subquest_1231_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1231_s_17,True,,12,12,1.0,,,3,idle,,1,angry,,13,angry
d_subquest_1231_s_18,d_subquest_1231_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1231_s_18,True,,3,3,1.0,,,3,idle,,1,angry,,13,idle
d_subquest_1231_s_19,d_subquest_1231_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1231_s_19,True,,3,30,1.0,,,3,idle,,1,angry,,13,idle
