id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/5/hide_char_id,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,play_sound
d_main_29_02_s_1,d_main_29_02_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_s_1,True,shifty,OP_center,idle,CrystalCity,5,5,1.0,bgm_chapter29_field_drifting_a,,,,,,,,,,,,,,,,,,,
d_main_29_02_s_2,d_main_29_02_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_s_2,True,,OP_center,idle,,5,5,1.0,,,,,,,,,,,,,,,,,,,,
d_main_29_02_s_3,d_main_29_02_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_s_3,True,,OP_center,worry,,5,5,1.0,,,,,,,,,,,,,,,,,,,,
d_main_29_02_s_4,d_main_29_02_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_s_4,True,,OP_center,worry,,5,5,1.0,,,,,,,,,,,,,,,,,,,,
d_main_29_02_s_5,d_main_29_02_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_s_5,True,,OP_center,idle,,5,5,1.0,,,,,,,,,,,,,,,,,,,,
d_main_29_02_s_6,d_main_29_02_s,Speech,shifty,shifty,Locale_MainScenario:d_main_29_02_s_6,True,,OP_center,idle,,5,5,1.0,,,,,,,,,,,,,,,,,,,,
d_main_29_02_s_7,d_main_29_02_s,Monologue,shifty,,Locale_MainScenario:d_main_29_02_s_7,False,,OP_center,idle,Crystalchunk,5,8,1.0,,shifty,,,,,,,,,,,,,,,,,,
d_main_29_02_s_8,d_main_29_02_s,Monologue,shifty,,Locale_MainScenario:d_main_29_02_s_8,False,,,,,8,8,1.0,,,,,,,,,,,,,,,,,,,,
d_main_29_02_s_9,d_main_29_02_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_02_s_9,True,,,,CrystalCity,S_130,S_130,1.0,,,rapi,5,idle,neon,3,idle,anis,1,void,fragile,13,idle,drilley,15,idle,,,
d_main_29_02_s_10,d_main_29_02_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_02_s_10,True,,,,,S_130,S_130,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_11,d_main_29_02_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_s_11,True,,,,,50,50,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_12,d_main_29_02_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_s_12,True,,,,,50,5,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_13,d_main_29_02_s,Monologue,rapi,,Locale_MainScenario:d_main_29_02_s_13,False,,,,Crystalchunk,5,8,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,rapi,neon,sfx_scn_naturalfootstep
d_main_29_02_s_14,d_main_29_02_s,Monologue,rapi,,Locale_MainScenario:d_main_29_02_s_14,False,,,,,8,8,1.0,,,,,,,,,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_15,d_main_29_02_s,Monologue,rapi,,Locale_MainScenario:d_main_29_02_s_15,False,,,,,8,8,1.0,,,,,,,,,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_16,d_main_29_02_s,Self,rapi,,Locale_MainScenario:d_main_29_02_s_16,False,,,,,8,8,1.0,,,,,,,,,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_17,d_main_29_02_s,Speech,rapi,rapi,Locale_MainScenario:d_main_29_02_s_17,True,,,,,8,5,1.0,,,rapi,5,idle,neon,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_18,d_main_29_02_s,Speech,anis,anis,Locale_MainScenario:d_main_29_02_s_18,True,,,,,5,2,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_19,d_main_29_02_s,Speech,neon,neon,Locale_MainScenario:d_main_29_02_s_19,True,,,,,2,2,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_20,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_20,True,trony_op_r,OP_rightup,idle,,2,2,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_21,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_21,True,,OP_rightup,idle,,2,2,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_22,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_22,True,,OP_rightup,think,,2,2,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_23,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_23,True,,OP_rightup,idle,,2,2,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_24,d_main_29_02_s,Speech,neon,neon,Locale_MainScenario:d_main_29_02_s_24,True,,OP_rightup,idle,,2,S_30,1.0,,,,5,idle,,3,surprise,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_25,d_main_29_02_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_02_s_25,False,,OP_rightup,idle,,XS_150,XS_150,1.0,,,,5,idle,,3,surprise,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_26,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_26,True,,OP_rightup,idle,,XS_150,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_27,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_27,True,,OP_rightup,think,,1,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_28,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_28,True,,OP_rightup,think,,1,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_29,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_29,True,,OP_rightup,idle,,1,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_30,d_main_29_02_s,Speech,anis,anis,Locale_MainScenario:d_main_29_02_s_30,True,,OP_rightup,idle,,1,10,1.0,,,,5,idle,,3,idle,,1,no,,13,idle,,15,idle,,,
d_main_29_02_s_31,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_31,True,,OP_rightup,idle,,10,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_32,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_32,True,,OP_rightup,think,,1,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_33,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_33,True,,OP_rightup,idle,,1,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_34,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_34,True,,OP_rightup,idle,,1,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_35,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_35,True,,OP_rightup,idle,,1,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_36,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_36,True,,OP_rightup,idle,,1,1,1.0,,,,5,idle,,3,idle,,1,void,,13,idle,,15,idle,,,
d_main_29_02_s_37,d_main_29_02_s,Speech,drilley,drilley,Locale_MainScenario:d_main_29_02_s_37,True,,OP_rightup,idle,,1,14,0.6,,,,5,idle,,3,idle,,1,void,,13,idle,,15,angry,,,
d_main_29_02_s_38,d_main_29_02_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_02_s_38,True,,OP_rightup,idle,,14,14,1.0,,,,5,idle,,3,idle,,1,void,,13,no,,15,angry,,,
d_main_29_02_s_39,d_main_29_02_s,Speech,trony_op_r,trony_op_r,Locale_MainScenario:d_main_29_02_s_39,False,,OP_rightup,sad,,14,14,1.0,,,,5,idle,,3,idle,,1,void,,13,no,,15,angry,,,
d_main_29_02_s_40,d_main_29_02_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_02_s_40,True,,OP_rightup,sad,,14,S_130,1.0,,,,5,idle,,3,idle,,1,void,,13,surprise,,15,angry,,,
d_main_29_02_s_41,d_main_29_02_s,Self,fragile,,Locale_MainScenario:d_main_29_02_s_41,False,,OP_rightup,idle,,S_130,S_130,1.0,,,,5,idle,,3,idle,,1,void,,13,surprise,,15,angry,,,
d_main_29_02_s_42,d_main_29_02_s,Speech,fragile,fragile,Locale_MainScenario:d_main_29_02_s_42,True,,OP_rightup,idle,,S_130,S_130,1.0,,,,5,idle,,3,idle,,1,void,,13,surprise,,15,angry,,,
d_main_29_02_s_43,d_main_29_02_s,Self,fragile,,Locale_MainScenario:d_main_29_02_s_43,False,,OP_rightup,idle,,S_130,S_130,1.0,,,,5,idle,,3,idle,,1,void,,13,surprise,,15,angry,,,
d_main_29_02_s_44,d_main_29_02_s,Monologue,fragile,,Locale_MainScenario:d_main_29_02_s_44,False,,OP_rightup,idle,,S_130,13,1.0,,,,5,idle,,3,idle,,1,void,,13,surprise,,15,angry,,,
