id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_22_11_1,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_1,False,CityForest_03_d,black,black,1.0,bgm_story_conflict,,,,,eh,1,idle,,,,,,,
d_main_22_11_2,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_2,False,,black,black,1.0,,,,,,,1,idle,,,,,,,
d_main_22_11_3,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_3,True,,1,10,2.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_4,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_4,True,,10,10,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_5,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_5,True,,10,10,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_6,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_6,True,,10,10,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_7,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_7,True,,10,1,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_8,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_8,True,,1,1,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_9,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_9,True,,1,1,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_10,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_10,False,,1,1,1.0,,eh,,sfx_scn_bombbeep,,,1,idle,,,,,,,
d_main_22_11_11,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_11,True,,1,10,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_12,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_12,True,,10,10,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_13,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_13,False,,10,10,1.0,,eh,,sfx_scn_bombbeep,,,1,idle,,,,,,,
d_main_22_11_14,d_main_22_11,Speech,Locale_MainScenario:d_main_22_11_14,True,,10,100,1.0,,eh,eh,,,,1,idle,,,,,,,
d_main_22_11_15,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_15,False,,100,100,1.0,,eh,,sfx_scn_bombbeepfast,,,1,idle,,,,,,,
d_main_22_11_16,d_main_22_11,Narration,Locale_MainScenario:d_main_22_11_16,False,,black,black,1.0,,eh,,,,,1,idle,,,,,,,
