id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_23_06_s_1,d_main_23_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_23_06_s_1,True,rapi,2,idle,viper,13,idle,Drain,20,20,1.0,none,,,,,,,,,,,,
d_main_23_06_s_2,d_main_23_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_23_06_s_2,True,,2,idle,,13,idle,,20,20,1.0,,,,,,,,,,,,,
d_main_23_06_s_3,d_main_23_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_23_06_s_3,True,,2,idle,,13,idle,,20,20,1.0,,,,,,,,,,,,,
d_main_23_06_s_4,d_main_23_06_s,Monologue,,,Locale_MainScenario:d_main_23_06_s_4,False,,2,idle,,13,idle,,20,16,1.0,bgm_story_stormbreakers,crow,15,idle,jackal,17,idle,,,,,,
d_main_23_06_s_5,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_5,True,,2,idle,,13,idle,,16,16,1.0,,,15,idle,,17,idle,,,,,,
d_main_23_06_s_6,d_main_23_06_s,Speech,jackal,jackal,Locale_MainScenario:d_main_23_06_s_6,True,,2,idle,,13,idle,,16,16,1.0,,,15,idle,,17,crazy,,,,,,
d_main_23_06_s_7,d_main_23_06_s,Self,,,Locale_MainScenario:d_main_23_06_s_7,False,,2,idle,,13,idle,,16,16,1.0,,,15,idle,,17,crazy,,,,,,
d_main_23_06_s_8,d_main_23_06_s,Self,,,Locale_MainScenario:d_main_23_06_s_8,False,,2,idle,,13,idle,,16,16,1.0,,,15,idle,,17,crazy,,,,,,
d_main_23_06_s_9,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_9,True,,2,idle,,13,idle,,16,150,1.0,,,15,idle,,17,crazy,,,,,,
d_main_23_06_s_10,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_10,True,,2,idle,,13,idle,,150,150,1.0,,,15,idle,,17,crazy,,,,,,
d_main_23_06_s_11,d_main_23_06_s,Narration,,,Locale_MainScenario:d_main_23_06_s_11,False,,2,idle,,13,idle,,150,150,1.0,,,15,idle,,17,crazy,,,,,,
d_main_23_06_s_12,d_main_23_06_s,Speech,anis,anis,Locale_MainScenario:d_main_23_06_s_12,True,,2,idle,,13,idle,,150,5,1.0,,,15,idle,,17,crazy,anis,6,angry,neon,4,surprise
d_main_23_06_s_13,d_main_23_06_s,Speech,neon,neon,Locale_MainScenario:d_main_23_06_s_13,True,,2,idle,,13,idle,,5,5,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_14,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_14,False,,2,idle,,13,idle,,5,5,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_15,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_15,True,,2,idle,,13,idle,,14,14,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_16,d_main_23_06_s,Speech,viper,viper,Locale_MainScenario:d_main_23_06_s_16,True,,2,idle,,13,idle,,14,14,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_17,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_17,True,,2,idle,,13,idle,,14,14,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_18,d_main_23_06_s,Speech,viper,viper,Locale_MainScenario:d_main_23_06_s_18,True,,2,idle,,13,delight,,14,14,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_19,d_main_23_06_s,Speech,jackal,jackal,Locale_MainScenario:d_main_23_06_s_19,True,,2,idle,,13,delight,,14,16,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_20,d_main_23_06_s,Speech,anis,anis,Locale_MainScenario:d_main_23_06_s_20,True,,2,idle,,13,delight,,5,5,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_21,d_main_23_06_s,Speech,neon,neon,Locale_MainScenario:d_main_23_06_s_21,True,,2,idle,,13,delight,,5,5,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_22,d_main_23_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_23_06_s_22,True,,2,idle,,13,delight,,5,3,1.0,,,15,idle,,17,crazy,,6,angry,,4,surprise
d_main_23_06_s_23,d_main_23_06_s,Speech,neon,neon,Locale_MainScenario:d_main_23_06_s_23,True,,2,idle,,13,delight,,3,3,1.0,,,15,idle,,17,crazy,,6,void,,4,idle
d_main_23_06_s_24,d_main_23_06_s,Speech,neon,neon,Locale_MainScenario:d_main_23_06_s_24,True,,2,idle,,13,idle,,3,3,1.0,,,15,idle,,17,crazy,,6,void,,4,idle
d_main_23_06_s_25,d_main_23_06_s,Speech,neon,neon,Locale_MainScenario:d_main_23_06_s_25,True,,2,idle,,13,idle,,3,3,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_26,d_main_23_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_23_06_s_26,True,,2,idle,,13,idle,,3,3,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_27,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_27,True,,2,idle,,13,idle,,14,14,1.0,,,15,angry,,17,idle,,6,void,,4,idle
d_main_23_06_s_28,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_28,True,,2,idle,,13,idle,,14,14,1.0,,,15,angry,,17,idle,,6,void,,4,idle
d_main_23_06_s_29,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_29,True,,2,idle,,13,idle,,14,14,1.0,,,15,angry,,17,idle,,6,void,,4,idle
d_main_23_06_s_30,d_main_23_06_s,Speech,viper,viper,Locale_MainScenario:d_main_23_06_s_30,True,,2,idle,,13,good,,14,14,1.0,,,15,angry,,17,idle,,6,void,,4,idle
d_main_23_06_s_31,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_31,False,,2,idle,,13,good,,14,15,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_32,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_32,True,,2,idle,,13,good,,15,150,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_33,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_33,True,,2,idle,,13,good,,150,150,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_34,d_main_23_06_s,Self,,,Locale_MainScenario:d_main_23_06_s_34,False,,2,idle,,13,good,,150,150,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_35,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_35,True,,2,idle,,13,good,,150,150,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_36,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_36,True,,2,idle,,13,good,,150,150,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_37,d_main_23_06_s,Self,,,Locale_MainScenario:d_main_23_06_s_37,False,,2,idle,,13,good,,150,150,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_38,d_main_23_06_s,Self,,,Locale_MainScenario:d_main_23_06_s_38,False,,2,idle,,13,good,,150,150,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_39,d_main_23_06_s,Self,,,Locale_MainScenario:d_main_23_06_s_39,False,,2,idle,,13,good,,150,150,1.0,,,15,idle,,17,idle,,6,void,,4,idle
d_main_23_06_s_40,d_main_23_06_s,Speech,crow,crow,Locale_MainScenario:d_main_23_06_s_40,True,,2,idle,,13,good,,150,150,1.0,,,15,smile,,17,idle,,6,void,,4,idle
d_main_23_06_s_41,d_main_23_06_s,Speech,viper,viper,Locale_MainScenario:d_main_23_06_s_41,True,,2,idle,,13,good,,130,130,1.0,,,15,smile,,17,idle,,6,void,,4,idle
d_main_23_06_s_42,d_main_23_06_s,Speech,jackal,jackal,Locale_MainScenario:d_main_23_06_s_42,True,,2,idle,,13,good,,S_170,S_170,1.0,,,15,smile,,17,crazy,,6,void,,4,idle
d_main_23_06_s_43,d_main_23_06_s,Speech,anis,anis,Locale_MainScenario:d_main_23_06_s_43,True,,2,idle,,13,good,,5,5,1.0,,,15,smile,,17,crazy,,6,void,,4,idle
d_main_23_06_s_44,d_main_23_06_s,Speech,neon,neon,Locale_MainScenario:d_main_23_06_s_44,True,,2,idle,,13,good,,5,5,1.0,,,15,smile,,17,crazy,,6,void,,4,idle
d_main_23_06_s_45,d_main_23_06_s,Speech,anis,anis,Locale_MainScenario:d_main_23_06_s_45,True,,2,idle,,13,good,,5,5,1.0,,,15,smile,,17,crazy,,6,no,,4,idle
d_main_23_06_s_46,d_main_23_06_s,Speech,neon,neon,Locale_MainScenario:d_main_23_06_s_46,True,,2,idle,,13,good,,5,5,1.0,,,15,smile,,17,crazy,,6,no,,4,idle
