id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,jump_target
d_ex_court_02_1,d_ex_court_02,Speech,novel,novel,Locale_SuddenStory:d_ex_court_02_1,True,novel,3,think,none,5,3,2.0,bgm_story_stormbreakers,Vignetting,,,,,,,,,
d_ex_court_02_2,d_ex_court_02,Speech,novel,novel,Locale_SuddenStory:d_ex_court_02_2,True,,3,think,,3,S_30,2.0,,Vignetting,,,,,,,,,
d_ex_court_02_3,d_ex_court_02,Speech,novel,novel,Locale_SuddenStory:d_ex_court_02_3,True,,3,think,,S_30,S_30,1.0,,Vignetting,,,,,,,,,
d_ex_court_02_4,d_ex_court_02,Speech,novel,novel,Locale_SuddenStory:d_ex_court_02_4,True,,3,think,,S_30,S_30,1.0,,Vignetting,,,,,,,,,
d_ex_court_02_5,d_ex_court_02,Narration,novel,,Locale_SuddenStory:d_ex_court_02_5,False,,3,think,,S_30,S_300,0.5,,Vignetting,sfx_scn_tablehit,,,,,,,,
d_ex_court_02_6,d_ex_court_02,Speech,novel,novel,Locale_SuddenStory:d_ex_court_02_6,True,,3,think,,S_300,S_300,1.0,,Vignetting,,,,,,,,,
d_ex_court_02_7,d_ex_court_02,Speech,yulha,yulha,Locale_SuddenStory:d_ex_court_02_7,True,,3,think,Office,S_300,L_100,0.5,none,,,yulha,1,angry,,,,,
d_ex_court_02_8,d_ex_court_02,Speech,yulha,yulha,Locale_SuddenStory:d_ex_court_02_8,True,,3,think,,L_100,L_10,2.0,bgm_story_herecomestrouble,,,,1,sad,,,,,
d_ex_court_02_9,d_ex_court_02,Speech,novel,novel,Locale_SuddenStory:d_ex_court_02_9,True,,3,think,,L_10,2,1.0,,,,,1,sad,,,,,
d_ex_court_02_10,d_ex_court_02,Speech,novel,novel,Locale_SuddenStory:d_ex_court_02_10,True,,3,think,,2,2,1.0,,,,,1,idle,,,,,
d_ex_court_02_11,d_ex_court_02,Speech,yulha,yulha,Locale_SuddenStory:d_ex_court_02_11,True,,3,think,,2,2,1.0,,,,,1,idle,,,,,
