id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_observationpost_05_1,d_ex_observationpost_05,Narration,Locale_SuddenStory:d_ex_observationpost_05_1,False,BriefingRoom,black,black,1.0,sfx_scn_autodooropen,bgm_story_orangepop,,,,signal,1,idle,,,,
d_ex_observationpost_05_2,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_2,True,,XS_10,XS_100,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_3,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_3,True,,XS_100,XS_100,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_4,d_ex_observationpost_05,Self,Locale_SuddenStory:d_ex_observationpost_05_4,False,,XS_100,XS_100,1.0,,,,,,,1,idle,,,,
d_ex_observationpost_05_5,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_5,True,,XS_100,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_6,d_ex_observationpost_05,Monologue,Locale_SuddenStory:d_ex_observationpost_05_6,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,
d_ex_observationpost_05_7,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_7,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_8,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_8,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_9,d_ex_observationpost_05,Self,Locale_SuddenStory:d_ex_observationpost_05_9,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,
d_ex_observationpost_05_10,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_10,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_11,d_ex_observationpost_05,Monologue,Locale_SuddenStory:d_ex_observationpost_05_11,False,,black,black,1.0,,,,,,,1,idle,,,,
d_ex_observationpost_05_12,d_ex_observationpost_05,Monologue,Locale_SuddenStory:d_ex_observationpost_05_12,False,,black,black,1.0,,,,,,,1,idle,,,,
d_ex_observationpost_05_13,d_ex_observationpost_05,Self,Locale_SuddenStory:d_ex_observationpost_05_13,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,
d_ex_observationpost_05_14,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_14,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_15,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_15,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_16,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_16,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_17,d_ex_observationpost_05,Self,Locale_SuddenStory:d_ex_observationpost_05_17,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,,,
d_ex_observationpost_05_18,d_ex_observationpost_05,Narration,Locale_SuddenStory:d_ex_observationpost_05_18,False,,XS_10,XS_10,1.0,sfx_scn_autodooropen,,,,,,1,idle,,,,
d_ex_observationpost_05_19,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_19,True,,XS_10,XS_10,1.0,,,signal,signal,,,1,idle,,,,
d_ex_observationpost_05_20,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_20,True,,XS_10,113,1.0,,,rosanna,rosanna,,,1,idle,rosanna,13,good,
d_ex_observationpost_05_21,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_21,True,,113,113,1.0,,,rosanna,rosanna,,,1,delight,,13,good,
d_ex_observationpost_05_22,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_22,True,,113,113,1.0,,,signal,signal,,,1,delight,,13,good,
d_ex_observationpost_05_23,d_ex_observationpost_05,Self,Locale_SuddenStory:d_ex_observationpost_05_23,False,,113,113,1.0,,,,,,,1,delight,,13,good,
d_ex_observationpost_05_24,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_24,True,,113,130,1.0,,,rosanna,rosanna,,,1,delight,,13,idle,
d_ex_observationpost_05_25,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_25,True,,130,130,1.0,,,rosanna,rosanna,,,1,delight,,13,idle,
d_ex_observationpost_05_26,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_26,True,,130,130,1.0,,,rosanna,rosanna,,,1,delight,,13,idle,
d_ex_observationpost_05_27,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_27,True,,130,130,1.0,,,rosanna,rosanna,,,1,delight,,13,idle,
d_ex_observationpost_05_28,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_28,True,,130,113,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_29,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_29,True,,113,113,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_30,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_30,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_31,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_31,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_32,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_32,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_33,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_33,True,,113,XS_10,2.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_34,d_ex_observationpost_05,Monologue,Locale_SuddenStory:d_ex_observationpost_05_34,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,13,idle,
d_ex_observationpost_05_35,d_ex_observationpost_05,Self,Locale_SuddenStory:d_ex_observationpost_05_35,False,,XS_10,XS_10,1.0,,,,,,,1,idle,,13,idle,
d_ex_observationpost_05_36,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_36,True,,XS_10,130,1.0,,,rosanna,rosanna,,,1,idle,,13,good,
d_ex_observationpost_05_37,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_37,False,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,good,
d_ex_observationpost_05_38,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_38,True,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_39,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_39,True,,130,130,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_40,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_40,True,,130,113,1.0,,none,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_41,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_41,True,,113,113,1.0,,,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_42,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_42,True,,113,113,1.0,,bgm_story_epicjazzymoods,rosanna,rosanna,,,1,idle,,13,idle,
d_ex_observationpost_05_43,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_43,True,,113,113,1.0,,,signal,signal,,,1,idle,,13,idle,
d_ex_observationpost_05_44,d_ex_observationpost_05,Speech,Locale_SuddenStory:d_ex_observationpost_05_44,True,,113,113,1.0,,,signal,signal,,,1,idle,,13,idle,
