id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_ex_hotel_02_1,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_1,True,OutpostOut,XS_10,XS_10,1.0,bgm_story_orangepop,,,,liter,1,idle,centi,13,idle
d_ex_hotel_02_2,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_2,True,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_3,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_3,True,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_4,d_ex_hotel_02,Self,,,Locale_SuddenStory:d_ex_hotel_02_4,False,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_5,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_5,True,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_6,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_6,True,,XS_10,113,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_7,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_7,True,,113,113,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_8,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_8,True,,113,113,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_9,d_ex_hotel_02,Speech,centi,centi,Locale_SuddenStory:d_ex_hotel_02_9,True,,113,113,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_10,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_10,True,,113,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_11,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_11,True,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_12,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_12,True,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_13,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_13,True,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_14,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_14,True,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
d_ex_hotel_02_15,d_ex_hotel_02,Speech,liter,liter,Locale_SuddenStory:d_ex_hotel_02_15,True,,XS_10,XS_10,1.0,,,,,,1,idle,,13,idle
