id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,set_camera_shake,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_11_03_1,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_1,True,maxwell,1,idle,laplace,3,angry,drake,13,idle,rapi,15,think,Desert_02,1,1,1.0,bgm_blurredvision,,,,,,,,,,
d_main_11_03_2,d_main_11_03,Speech,laplace,laplace,Locale_MainScenario:d_main_11_03_2,True,,1,idle,,3,angry,,13,idle,,15,think,,1,3,1.0,,,,,,,,,,,
d_main_11_03_3,d_main_11_03,Speech,laplace,laplace,Locale_MainScenario:d_main_11_03_3,True,,1,idle,,3,angry,,13,idle,,15,think,,3,30,0.6,,,,,,,,,,,
d_main_11_03_4,d_main_11_03,Narration,,Narration,Locale_MainScenario:d_main_11_03_4,False,,1,idle,,3,angry,,13,idle,,15,think,,black,black,1.0,none,sfx_scn_rapturebeam,,,,,,,,,
d_main_11_03_5,d_main_11_03,Narration,,Narration,Locale_MainScenario:d_main_11_03_5,False,,1,idle,,3,angry,,13,idle,,15,think,,black,black,1.0,,,,,,,,,,,
d_main_11_03_6,d_main_11_03,Narration,,Narration,Locale_MainScenario:d_main_11_03_6,False,,1,idle,,3,angry,,13,idle,,15,think,,black,black,1.0,,,,,,,,,,,
d_main_11_03_7,d_main_11_03,Narration,,Narration,Locale_MainScenario:d_main_11_03_7,False,,1,idle,,3,angry,,13,idle,,15,think,EventScene_Chap_11_01,1,1,1.0,,sfx_scn_explosions,maxwell,laplace,drake,rapi,,,,,
d_main_11_03_8,d_main_11_03,Narration,,Narration,Locale_MainScenario:d_main_11_03_8,False,,,,,,,,,,,,,,1,1,1.0,,sfx_scn_earthquake,,,,,Low_1,,,,
d_main_11_03_9,d_main_11_03,Narration,,Narration,Locale_MainScenario:d_main_11_03_9,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_11_03_10,d_main_11_03,Speech,maxwell,maxwell,Locale_MainScenario:d_main_11_03_10,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,
d_main_11_03_11,d_main_11_03,Speech,laplace,laplace,Locale_MainScenario:d_main_11_03_11,False,,,,,,,,,,,,,,1,1,1.0,,,,,,,,,,,
