id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id
d_main_37_07_1,d_main_37_07,Narration,Locale_MainScenario:d_main_37_07_1,False,Grassland,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,,
d_main_37_07_2,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_2,True,,1,15,1.0,bgm_story_edenin,dorothy,dorothy,dorothy,15,idle,,,,,,,,,,,,,,,,,
d_main_37_07_3,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_3,True,,15,15,1.0,,dorothy,dorothy,,15,idle,,,,,,,,,,,,,,,,,
d_main_37_07_4,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_4,True,,15,15,1.0,,dorothy,dorothy,,15,idle,,,,,,,,,,,,,,,,,
d_main_37_07_5,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_5,True,,15,15,1.0,,dorothy,dorothy,,15,idle,,,,,,,,,,,,,,,,,
d_main_37_07_6,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_6,True,,15,15,1.0,,dorothy,dorothy,,15,idle,,,,,,,,,,,,,,,,,
d_main_37_07_7,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_7,True,,15,15,1.0,,dorothy,dorothy,,15,idle,,,,,,,,,,,,,,,,,
d_main_37_07_8,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_8,True,,15,150,1.0,,dorothy,dorothy,,15,idle,,,,,,,,,,,,,,,,,
d_main_37_07_9,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_9,True,,150,150,1.0,,dorothy,dorothy,,15,idle,,,,,,,,,,,,,,,,,
d_main_37_07_10,d_main_37_07,Narration,Locale_MainScenario:d_main_37_07_10,False,GoodOffice,black,black,1.0,none,dorothy,,,15,idle,anis,13,void,neon,1,idle,eyeri,3,void,avistar,5,idle,,,,,
d_main_37_07_11,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_11,False,,15,15,1.0,,dorothy,dorothy,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_12,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_12,False,,15,12,1.0,,anis,anis,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_13,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_13,False,,12,12,1.0,,neon,neon,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_14,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_14,True,,12,S_10,1.0,bgm_inark,neon,neon,,15,think,,13,void,,1,worry,,3,void,,5,idle,,,,,
d_main_37_07_15,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_15,True,,S_10,S_10,1.0,,neon,neon,,15,think,,13,void,,1,worry,,3,void,,5,idle,,,,,
d_main_37_07_16,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_16,True,,S_10,S_10,1.0,,neon,neon,,15,think,,13,void,,1,worry,,3,void,,5,idle,,,,,
d_main_37_07_17,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_17,True,,150,150,1.0,,dorothy,dorothy,,15,think,,13,void,,1,worry,,3,void,,5,idle,,,,,
d_main_37_07_18,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_18,True,,2,2,1.0,,eyeri,eyeri,,15,think,,13,void,,1,worry,,3,void,,5,idle,,,,,
d_main_37_07_19,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_19,True,,2,2,1.0,,neon,neon,,15,think,,13,void,,1,worry,,3,void,,5,idle,,,,,
d_main_37_07_20,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_20,True,,150,150,1.0,,dorothy,dorothy,,15,think,,13,void,,1,worry,,3,void,,5,idle,,,,,
d_main_37_07_21,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_21,True,,150,150,1.0,,dorothy,dorothy,,15,think,,13,void,,1,worry,,3,void,,5,idle,,,,,
d_main_37_07_22,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_22,True,,130,130,1.0,,anis,anis,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_23,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_23,True,,L_50,L_50,1.0,,avistar,avistar,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_24,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_24,True,,L_50,L_50,1.0,,avistar,avistar,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_25,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_25,True,,150,150,1.0,,dorothy,dorothy,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_26,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_26,True,,150,150,1.0,,dorothy,dorothy,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_27,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_27,True,,150,14,1.0,,anis,anis,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_28,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_28,False,,14,14,1.0,,dorothy,dorothy,,15,think,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_29,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_29,True,,14,14,1.0,,dorothy,dorothy,,15,smile,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_30,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_30,True,,14,14,1.0,,dorothy,dorothy,,15,smile,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_31,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_31,True,,14,14,1.0,,anis,anis,,15,smile,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_32,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_32,True,,14,14,1.0,,dorothy,dorothy,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_33,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_33,True,,14,14,1.0,,dorothy,dorothy,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_34,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_34,True,,14,14,1.0,,dorothy,dorothy,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_35,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_35,True,,14,14,1.0,,dorothy,dorothy,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_36,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_36,True,,14,14,1.0,,anis,anis,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_37,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_37,True,,14,14,1.0,,dorothy,dorothy,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_38,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_38,True,,14,14,1.0,,dorothy,dorothy,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_39,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_39,True,,14,14,1.0,,dorothy,dorothy,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_40,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_40,True,,14,14,1.0,,dorothy,dorothy,,15,idle,,13,void,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_41,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_41,True,,14,14,1.0,,anis,anis,,15,idle,,13,no,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_42,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_42,True,,14,150,1.0,,dorothy,dorothy,,15,idle,,13,no,,1,idle,,3,void,,5,idle,,,,,
d_main_37_07_43,d_main_37_07,Speech,Locale_MainScenario:d_main_37_07_43,True,,2,2,1.0,,neon,neon,,15,idle,,13,void,,1,idle,,3,idle,,5,idle,,,,,
