id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_main_14_01_s_1,d_main_14_01_s,Narration,Locale_MainScenario:d_main_14_01_s_1,False,CityForest_01,black,black,1.0,none,,,,anis,1,idle,marian_p,13,idle,neon,3,idle,rapi,5,idle
d_main_14_01_s_2,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_2,True,,10,10,1.0,bgm_distress,anis,anis,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_3,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_3,True,,10,113,1.0,,anis,anis,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_4,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_4,True,,113,113,1.0,,anis,anis,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_5,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_5,True,,113,113,1.0,,marian_p,marian_p,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_6,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_6,True,,113,31,1.0,,neon,neon,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_7,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_7,True,,31,31,1.0,,anis,anis,,,1,void,,13,idle,,3,idle,,5,idle
d_main_14_01_s_8,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_8,True,,31,31,1.0,,neon,neon,,,1,void,,13,idle,,3,worry,,5,idle
d_main_14_01_s_9,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_9,True,,31,31,1.0,,neon,neon,,,1,void,,13,idle,,3,worry,,5,idle
d_main_14_01_s_10,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_10,True,,31,31,1.0,,neon,neon,,,1,void,,13,idle,,3,worry,,5,idle
d_main_14_01_s_11,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_11,True,,31,31,1.0,,anis,anis,,,1,no,,13,idle,,3,worry,,5,idle
d_main_14_01_s_12,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_12,True,,31,53,1.0,,rapi,rapi,,,1,void,,13,idle,,3,idle,,5,idle
d_main_14_01_s_13,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_13,True,,53,53,1.0,,rapi,rapi,,,1,void,,13,idle,,3,idle,,5,idle
d_main_14_01_s_14,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_14,True,,10,10,1.0,,anis,anis,,,1,void,,13,idle,,3,idle,,5,idle
d_main_14_01_s_15,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_15,True,,50,50,1.0,,rapi,rapi,,,1,void,,13,idle,,3,idle,,5,idle
d_main_14_01_s_16,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_16,True,,50,50,1.0,,rapi,rapi,,,1,void,,13,idle,,3,idle,,5,idle
d_main_14_01_s_17,d_main_14_01_s,Choice,Locale_MainScenario:d_main_14_01_s_17,False,,50,50,1.0,,,,d_main_14_01_s_19,,1,void,,13,idle,,3,idle,,5,idle
d_main_14_01_s_18,d_main_14_01_s,Choice,Locale_MainScenario:d_main_14_01_s_18,False,,50,50,1.0,,,,d_main_14_01_s_19,,1,void,,13,idle,,3,idle,,5,idle
d_main_14_01_s_19,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_19,True,,10,10,1.0,,anis,anis,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_20,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_20,True,,10,1,1.0,,anis,anis,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_21,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_21,True,,1,113,1.0,,anis,anis,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_22,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_22,True,,113,113,1.0,,marian_p,marian_p,,,1,idle,,13,angry,,3,idle,,5,idle
d_main_14_01_s_23,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_23,True,,113,113,1.0,,anis,anis,,,1,idle,,13,angry,,3,idle,,5,idle
d_main_14_01_s_24,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_24,True,,113,113,1.0,,anis,anis,,,1,idle,,13,angry,,3,idle,,5,idle
d_main_14_01_s_25,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_25,True,,113,113,1.0,,marian_p,marian_p,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_26,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_26,True,,113,113,1.0,,anis,anis,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_27,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_27,True,,113,113,1.0,,marian_p,marian_p,,,1,idle,,13,idle,,3,idle,,5,idle
d_main_14_01_s_28,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_28,False,,113,13,1.0,,marian_p,marian_p,,,1,idle,,13,angry,,3,idle,,5,idle
d_main_14_01_s_29,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_29,True,,13,1300,1.0,,marian_p,marian_p,,,1,idle,,13,angry,,3,idle,,5,idle
d_main_14_01_s_30,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_30,True,,10,10,1.0,,anis,anis,,,1,no,,13,idle,,3,idle,,5,idle
d_main_14_01_s_31,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_31,True,,S_30,S_30,1.0,,neon,neon,,,1,no,,13,idle,,3,delight,,5,idle
d_main_14_01_s_32,d_main_14_01_s,Speech,Locale_MainScenario:d_main_14_01_s_32,True,,50,50,1.0,,rapi,rapi,,,1,no,,13,idle,,3,delight,,5,idle
