id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,play_sound,set_camera_shake
d_main_22_05_s_1,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_1,True,poli,1,surprise,neon,3,idle,anis,13,void,enikk_op_l,OP_leftup,special,BurningCity,31,31,1.0,bgm_collapse,,,,,,,,,,,,,,
d_main_22_05_s_2,d_main_22_05_s,Speech,neon,neon,Locale_MainScenario:d_main_22_05_s_2,True,,1,surprise,,3,idle,,13,void,,OP_leftup,special,,31,31,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_3,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_3,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,31,1,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_4,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_4,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,1,1,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_5,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_5,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,1,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_6,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_6,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_7,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_7,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_8,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_8,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_9,d_main_22_05_s,Speech,anis,anis,Locale_MainScenario:d_main_22_05_s_9,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,130,130,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_10,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_10,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_11,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_11,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_12,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_12,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_13,d_main_22_05_s,Speech,poli,poli,Locale_MainScenario:d_main_22_05_s_13,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_14,d_main_22_05_s,Self,,,Locale_MainScenario:d_main_22_05_s_14,False,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_15,d_main_22_05_s,Speech,enikk_op_l,enikk_op_l,Locale_MainScenario:d_main_22_05_s_15,True,,1,idle,,3,idle,,13,void,,OP_leftup,special,,XS_10,XS_10,1.0,,,,,,,,,,,,,,,
d_main_22_05_s_16,d_main_22_05_s,Narration,,,Locale_MainScenario:d_main_22_05_s_16,False,,1,idle,,3,idle,,13,void,,OP_leftup,special,CoinRushIndoor,black,black,1.0,bgm_story_conflict,poli,neon,anis,enikk_op_l,moran,1,angry,,,,,,,
d_main_22_05_s_17,d_main_22_05_s,Speech,moran,moran,Locale_MainScenario:d_main_22_05_s_17,True,rosanna,13,angry,sakura,3,idle,blanc,5,think,noir,7,surprise,,1,10,0.5,,,,,,,1,angry,,,,,,,
d_main_22_05_s_18,d_main_22_05_s,Speech,rosanna,rosanna,Locale_MainScenario:d_main_22_05_s_18,True,,13,angry,,3,idle,,5,think,,7,surprise,,130,130,1.0,,,,,,,1,angry,,,,,,,
d_main_22_05_s_19,d_main_22_05_s,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_s_19,True,,13,angry,,3,idle,,5,think,,7,surprise,,30,30,1.0,,,,,,,1,angry,,,,,,,
d_main_22_05_s_20,d_main_22_05_s,Speech,moran,moran,Locale_MainScenario:d_main_22_05_s_20,True,,13,angry,,3,idle,,5,think,,7,surprise,,10,10,1.0,,,,,,,1,angry,,,,,,,
d_main_22_05_s_21,d_main_22_05_s,Speech,moran,moran,Locale_MainScenario:d_main_22_05_s_21,True,,13,angry,,3,idle,,5,think,,7,surprise,,10,10,1.0,,,,,,,1,angry,,,,,,,
d_main_22_05_s_22,d_main_22_05_s,Speech,rosanna,rosanna,Locale_MainScenario:d_main_22_05_s_22,True,,13,angry,,3,idle,,5,think,,7,surprise,,10,113,1.0,,,,,,,1,angry,,,,,,,
d_main_22_05_s_23,d_main_22_05_s,Speech,rosanna,rosanna,Locale_MainScenario:d_main_22_05_s_23,True,,13,angry,,3,idle,,5,think,,7,surprise,,113,113,1.0,,,,,,,1,angry,,,,,,,
d_main_22_05_s_24,d_main_22_05_s,Speech,moran,moran,Locale_MainScenario:d_main_22_05_s_24,False,,13,angry,,3,idle,,5,think,,7,surprise,,113,113,1.0,,,,,,,1,worry,,,,,,,
d_main_22_05_s_25,d_main_22_05_s,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_s_25,True,,13,angry,,3,idle,,5,think,,7,surprise,,113,31,1.0,,,,,,,1,worry,,,,,,,
d_main_22_05_s_26,d_main_22_05_s,Speech,moran,moran,Locale_MainScenario:d_main_22_05_s_26,True,,13,angry,,3,idle,,5,think,,7,surprise,,31,31,1.0,,,,,,,1,worry,,,,,,,
d_main_22_05_s_27,d_main_22_05_s,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_s_27,True,,13,angry,,3,idle,,5,think,,7,surprise,,31,31,1.0,,,,,,,1,worry,,,,,,,
d_main_22_05_s_28,d_main_22_05_s,Speech,moran,moran,Locale_MainScenario:d_main_22_05_s_28,True,,13,angry,,3,idle,,5,think,,7,surprise,,31,31,1.0,,,,,,,1,angry,,,,,,,
d_main_22_05_s_29,d_main_22_05_s,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_s_29,True,,13,angry,,3,idle,,5,think,,7,surprise,,31,31,1.0,,,,,,,1,angry,,,,,,,
d_main_22_05_s_30,d_main_22_05_s,Speech,moran,moran,Locale_MainScenario:d_main_22_05_s_30,True,,13,angry,,3,idle,,5,think,,7,surprise,,31,31,1.0,,,,,,,1,worry,,,,,,,
d_main_22_05_s_31,d_main_22_05_s,Speech,sakura,sakura,Locale_MainScenario:d_main_22_05_s_31,True,,13,angry,,3,idle,,5,think,,7,surprise,,31,31,1.0,,,,,,,1,worry,,,,,,,
d_main_22_05_s_32,d_main_22_05_s,Speech,moran,moran,Locale_MainScenario:d_main_22_05_s_32,True,,13,angry,,3,idle,,5,think,,7,surprise,,31,31,1.0,,,,,,,1,angry,,,,,,,
