id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_subquest_1264_1,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_1,True,IceLand_04,3,30,2.0,ambient_scn_wind,,,anis,3,void,,rapi,1,idle,,neon,13,idle,
d_subquest_1264_2,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_2,True,,30,30,1.0,,,,,3,void,,,1,idle,,,13,idle,
d_subquest_1264_3,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_3,True,,30,30,1.0,,,,,3,void,,,1,idle,,,13,idle,
d_subquest_1264_4,d_subquest_1264,Self,anis,Self,Locale_SubScenario:d_subquest_1264_4,False,,30,30,1.0,,,,,3,void,,,1,idle,,,13,idle,
d_subquest_1264_5,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_5,True,,30,3,2.0,,,,,3,worry,,,1,idle,,,13,idle,
d_subquest_1264_6,d_subquest_1264,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1264_6,True,,3,2,1.0,,,,,3,worry,,,1,idle,,,13,idle,
d_subquest_1264_7,d_subquest_1264,Self,rapi,Self,Locale_SubScenario:d_subquest_1264_7,False,,2,2,1.0,,,,,3,worry,,,1,idle,,,13,idle,
d_subquest_1264_8,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_8,True,,3,3,1.0,,black,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1264_9,d_subquest_1264,Speech,neon,neon,Locale_SubScenario:d_subquest_1264_9,False,,3,12,2.0,,,,,3,idle,,,1,idle,,,13,worry,
d_subquest_1264_10,d_subquest_1264,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1264_10,True,,12,12,1.0,,,,,3,idle,,,1,idle,,,13,worry,
d_subquest_1264_11,d_subquest_1264,Monologue,,,Locale_SubScenario:d_subquest_1264_11,False,,12,10,1.0,,,,,3,idle,,,1,idle,,,13,idle,
d_subquest_1264_12,d_subquest_1264,Monologue,,,Locale_SubScenario:d_subquest_1264_12,False,ArkRuinIndoor,black,black,1.0,,,,,3,idle,anis,,1,idle,rapi,,13,idle,neon
d_subquest_1264_13,d_subquest_1264,Narration,,Narration,Locale_SubScenario:d_subquest_1264_13,False,,1,1,1.0,bgm_story_weare,,Grey,,,,,,,,,,,,
d_subquest_1264_14,d_subquest_1264,Narration,,Narration,Locale_SubScenario:d_subquest_1264_14,False,City,black,black,1.0,,,Grey,,,,,,,,,,,,
d_subquest_1264_15,d_subquest_1264,Narration,,Narration,Locale_SubScenario:d_subquest_1264_15,False,,1,1,1.0,,,Grey,,,,,,,,,,,,
d_subquest_1264_16,d_subquest_1264,Narration,,Narration,Locale_SubScenario:d_subquest_1264_16,False,Ark,black,black,1.0,,,Grey,,,,,,,,,,,,
d_subquest_1264_17,d_subquest_1264,Narration,,Narration,Locale_SubScenario:d_subquest_1264_17,False,,1,1,1.0,,,Grey,,,,,,,,,,,,
d_subquest_1264_18,d_subquest_1264,Narration,,Narration,Locale_SubScenario:d_subquest_1264_18,False,,black,black,1.0,,,Grey,,,,,,,,,,,,
d_subquest_1264_19,d_subquest_1264,Monologue,,,Locale_SubScenario:d_subquest_1264_19,False,IceLand_04,black,black,1.0,,,,anis,3,void,,rapi,1,think,,neon,13,idle,
d_subquest_1264_20,d_subquest_1264,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1264_20,False,,10,10,1.0,,,,,3,void,,,1,think,,,13,idle,
d_subquest_1264_21,d_subquest_1264,Speech,neon,neon,Locale_SubScenario:d_subquest_1264_21,False,,S_130,S_130,1.0,,,,,3,void,,,1,think,,,13,worry,
d_subquest_1264_22,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_22,False,,30,30,1.0,,,,,3,sad,,,1,think,,,13,worry,
d_subquest_1264_23,d_subquest_1264,Self,anis,Self,Locale_SubScenario:d_subquest_1264_23,False,,30,30,1.0,,,,,3,sad,,,1,think,,,13,worry,
d_subquest_1264_24,d_subquest_1264,Narration,,Narration,Locale_SubScenario:d_subquest_1264_24,False,IceLand_03,18,13,2.0,,black,,,3,void,,,1,idle,,,13,idle,
d_subquest_1264_25,d_subquest_1264,Speech,neon,neon,Locale_SubScenario:d_subquest_1264_25,True,,13,13,1.0,,,,,3,void,,,1,idle,,,13,idle,
d_subquest_1264_26,d_subquest_1264,Speech,neon,neon,Locale_SubScenario:d_subquest_1264_26,True,,13,13,1.0,,,,,3,void,,,1,idle,,,13,idle,
d_subquest_1264_27,d_subquest_1264,Speech,neon,neon,Locale_SubScenario:d_subquest_1264_27,True,,13,13,1.0,,,,,3,void,,,1,idle,,,13,worry,
d_subquest_1264_28,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_28,False,,13,2,1.0,,,,,3,pain,,,1,idle,,,13,worry,
d_subquest_1264_29,d_subquest_1264,Self,anis,Self,Locale_SubScenario:d_subquest_1264_29,False,,2,2,1.0,,,,,3,pain,,,1,idle,,,13,worry,
d_subquest_1264_30,d_subquest_1264,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1264_30,True,,2,2,1.0,,,,,3,pain,,,1,idle,,,13,idle,
d_subquest_1264_31,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_31,True,,2,30,2.0,,,,,3,pain,,,1,idle,,,13,idle,
d_subquest_1264_32,d_subquest_1264,Speech,anis,anis,Locale_SubScenario:d_subquest_1264_32,True,,30,30,1.0,,,,,3,pain,,,1,idle,,,13,idle,
d_subquest_1264_33,d_subquest_1264,Monologue,,,Locale_SubScenario:d_subquest_1264_33,False,,black,black,1.0,,,,,3,sad,,,1,idle,,,13,idle,
