id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_12_01_1,d_main_12_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12_01_1,True,Factory,30,30,1.0,bgm_groundfall,,laplace,1,idle,rapi,3,idle,,maxwell,13,idle,,,,,,,,
d_main_12_01_2,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_2,True,,30,XS_10,1.0,,,,1,idle,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_3,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_3,True,,XS_10,XS_10,1.0,,,,1,angry,,3,idle,,,13,idle,,,,,,,,
d_main_12_01_4,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_4,True,,XS_10,XS_10,1.0,,,,1,angry,,3,idle,,,13,idle,,,,,shifty,OP_leftup,think,
d_main_12_01_5,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_5,True,,XS_10,XS_10,1.0,,,,1,angry,,3,idle,,,13,idle,,,,,,OP_leftup,think,
d_main_12_01_6,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_6,True,,XS_10,XS_10,1.0,,,,1,angry,,3,idle,,,13,idle,,,,,,OP_leftup,think,
d_main_12_01_7,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_7,True,,XS_10,130,1.0,,,,1,angry,,3,idle,rapi,,13,idle,,,,,,OP_leftup,think,
d_main_12_01_8,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_8,True,,130,130,1.0,,,,1,idle,,,,,,13,idle,,,,,,OP_leftup,think,
d_main_12_01_9,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_9,True,,130,130,1.0,,,,1,idle,,,,,,13,idle,,,,,,OP_leftup,think,
d_main_12_01_10,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_10,True,,130,130,1.0,,,,1,idle,,,,,,13,idle,,,,,,OP_leftup,think,
d_main_12_01_11,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_11,True,,130,130,1.0,,,,1,idle,,,,,,13,idle,,,,,,OP_leftup,think,
d_main_12_01_12,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_12,True,,130,130,1.0,,,,1,idle,,,,,,13,idle,,,,,,OP_leftup,idle,
d_main_12_01_13,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_13,True,,130,1315,1.0,,,,1,idle,,,,,,13,idle,drake,15,idle,,,OP_leftup,idle,shifty
d_main_12_01_14,d_main_12_01,Speech,drake,drake,Locale_MainScenario:d_main_12_01_14,True,,1315,1315,1.0,,,,1,idle,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_15,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_15,True,,1315,1315,1.0,,,,1,idle,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_16,d_main_12_01,Speech,drake,drake,Locale_MainScenario:d_main_12_01_16,True,,1315,1315,1.0,,,,1,idle,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_17,d_main_12_01,Monologue,,,Locale_MainScenario:d_main_12_01_17,False,,1315,113,1.0,,,,1,idle,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_18,d_main_12_01,Narration,,,Locale_MainScenario:d_main_12_01_18,False,,113,XS_10,1.0,,sfx_scn_medhit,,1,idle,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_19,d_main_12_01,Monologue,,,Locale_MainScenario:d_main_12_01_19,False,,XS_10,6002,1.0,,,,1,angry,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_20,d_main_12_01,Monologue,,,Locale_MainScenario:d_main_12_01_20,False,,6002,XS_10,1.0,,,,1,angry,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_21,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_21,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_22,d_main_12_01,Monologue,,,Locale_MainScenario:d_main_12_01_22,False,,XS_10,XS_10,1.0,,,,1,angry,,,,,,13,idle,,15,delight,,,,,
d_main_12_01_23,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_23,True,,XS_10,113,1.0,,,,1,angry,,,,,,13,sad,,15,delight,,,,,
d_main_12_01_24,d_main_12_01,Speech,laplace,laplace,Locale_MainScenario:d_main_12_01_24,True,,113,113,1.0,,,,1,angry,,,,,,13,sad,,15,delight,,,,,
d_main_12_01_25,d_main_12_01,Speech,drake,drake,Locale_MainScenario:d_main_12_01_25,True,,113,1315,1.0,,,,1,angry,,,,,,13,sad,,15,no,,,,,
d_main_12_01_26,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_26,True,,1315,1315,1.0,,,,1,angry,,,,,,13,angry,,15,no,,,,,
d_main_12_01_27,d_main_12_01,Speech,drake,drake,Locale_MainScenario:d_main_12_01_27,True,,1315,1315,1.0,,,,1,idle,,,,,,13,angry,,15,angry,,,,,
d_main_12_01_28,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_28,True,,1315,1315,1.0,,,,1,idle,,,,,,13,sad,,15,angry,,,,,
d_main_12_01_29,d_main_12_01,Speech,drake,drake,Locale_MainScenario:d_main_12_01_29,True,,1315,1315,1.0,,,,1,idle,,,,,,13,sad,,15,no,,,,,
d_main_12_01_30,d_main_12_01,Narration,,,Locale_MainScenario:d_main_12_01_30,False,,1315,150,1.0,,,,1,idle,,,,,,13,sad,,15,idle,,,,,
d_main_12_01_31,d_main_12_01,Speech,shifty,shifty,Locale_MainScenario:d_main_12_01_31,True,,150,150,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,shifty,OP_leftup,idle,
d_main_12_01_32,d_main_12_01,Speech,maxwell,maxwell,Locale_MainScenario:d_main_12_01_32,True,,150,130,1.0,,,,1,idle,,,,,,13,idle,,15,idle,,,OP_leftup,idle,
