id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_main_01_03_s_1,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_1,True,marian,1,idle,CityForest_01,1,1,1.0,ambient_scn_wind,,,,,,,,
d_main_01_03_s_2,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_2,True,,1,idle,,1,1,1.0,,,,,,,,,
d_main_01_03_s_3,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_3,True,,1,angry,,1,1,1.0,,,,,,,,,
d_main_01_03_s_4,d_main_01_03_s,Narration,marian,Narration,Locale_MainScenario:d_main_01_03_s_4,False,,1,angry,,1,1,1.0,bgm_emergency,sfx_scn_gunfire,,,,,,,
d_main_01_03_s_5,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_5,False,,1,angry,,1,10,1.0,,,,,,,,,
d_main_01_03_s_6,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_6,True,,1,angry,,10,10,1.0,,,,,,,,,
d_main_01_03_s_7,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_7,True,,1,angry,,10,100,1.0,,,,,,,,,
d_main_01_03_s_8,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_8,True,,1,angry,CityForest_01,1517,1517,1.0,,,marian,rapi,15,idle,anis,17,angry
d_main_01_03_s_9,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_9,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_10,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_10,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_11,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_11,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_12,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_12,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_13,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_13,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_14,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_14,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_15,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_15,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_16,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_16,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_17,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_17,True,,,,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_18,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_18,True,marian,1,angry,,1517,1,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_19,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_19,True,,1,angry,,1,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_20,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_20,False,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_21,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_21,True,,1,angry,,1,1,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_22,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_22,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,void
d_main_01_03_s_23,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_23,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,void
d_main_01_03_s_24,d_main_01_03_s,Self,anis,Self,Locale_MainScenario:d_main_01_03_s_24,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,void
d_main_01_03_s_25,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_25,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,void
d_main_01_03_s_26,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_26,True,,1,angry,,1517,17,1.0,,,,,15,idle,,17,void
d_main_01_03_s_27,d_main_01_03_s,Self,Self,Self,Locale_MainScenario:d_main_01_03_s_27,True,,1,angry,,17,17,1.0,,,,,15,idle,,17,void
d_main_01_03_s_28,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_28,True,,1,angry,,17,15,1.0,,,,,15,idle,,17,void
d_main_01_03_s_29,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_29,True,,1,angry,,15,150,1.0,,,,,15,idle,,17,void
d_main_01_03_s_30,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_30,False,,1,angry,,150,1500,3.0,,,,,15,idle,,17,void
d_main_01_03_s_31,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_31,True,,1,angry,,1500,150,2.0,,,,,15,idle,,17,void
d_main_01_03_s_32,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_32,True,,1,angry,,17,170,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_33,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_33,True,,1,angry,,150,150,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_34,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_34,True,,1,angry,,150,170,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_35,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_35,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,angry
d_main_01_03_s_36,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_36,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,void
d_main_01_03_s_37,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_37,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,void
d_main_01_03_s_38,d_main_01_03_s,Self,Self,Self,Locale_MainScenario:d_main_01_03_s_38,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,void
d_main_01_03_s_39,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_39,True,,1,angry,,1517,15,1.0,,,,,15,idle,,17,void
d_main_01_03_s_40,d_main_01_03_s,Speech,marian,marian,Locale_MainScenario:d_main_01_03_s_40,True,,1,angry,,15,1,1.0,,,,,15,idle,,17,void
d_main_01_03_s_41,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_41,True,,1,angry,,1,17,3.0,,,,,15,idle,,17,void
d_main_01_03_s_42,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_42,False,,1,angry,,17,170,3.0,,,,,15,idle,,17,void
d_main_01_03_s_43,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_43,True,,1,angry,,170,1700,1.0,,,,,15,idle,,17,idle
d_main_01_03_s_44,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_44,True,,1,angry,,1700,1517,1.0,,,,,15,idle,,17,idle
d_main_01_03_s_45,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_45,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,idle
d_main_01_03_s_46,d_main_01_03_s,Self,rapi,Self,Locale_MainScenario:d_main_01_03_s_46,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,idle
d_main_01_03_s_47,d_main_01_03_s,Speech,rapi,rapi,Locale_MainScenario:d_main_01_03_s_47,True,,1,angry,,1517,1517,1.0,,,,,15,idle,,17,idle
d_main_01_03_s_48,d_main_01_03_s,Speech,anis,anis,Locale_MainScenario:d_main_01_03_s_48,True,,1,angry,,1517,170,1.0,,,,,15,idle,,17,idle
