id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_ex_toyshop_01_1,d_ex_toyshop_01,Narration,Narration,Locale_SuddenStory:d_ex_toyshop_01_1,False,ToyShop,12,12,1.0,sfx_scn_toyshopbell,bgm_story_orangepop,,,,,,,,,,,,,
d_ex_toyshop_01_2,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_2,True,,12,12,1.0,,,belorta,belorta,1,idle,mica,13,idle,soline,3,idle,,,
d_ex_toyshop_01_3,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_3,True,,12,12,1.0,,,belorta,,1,delight,,13,idle,,3,idle,,,
d_ex_toyshop_01_4,d_ex_toyshop_01,Speech,mica,Locale_SuddenStory:d_ex_toyshop_01_4,True,,12,3,0.7,,,mica,,1,delight,,13,idle,,3,idle,,,
d_ex_toyshop_01_5,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_5,True,,3,3,1.0,,,soline,,1,delight,,13,idle,,3,idle,,,
d_ex_toyshop_01_6,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_6,True,,3,3,1.0,,,soline,,1,delight,,13,idle,,3,idle,,,
d_ex_toyshop_01_7,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_7,True,,XS_10,XS_10,1.0,,,belorta,,1,idle,,13,idle,,3,idle,,,
d_ex_toyshop_01_8,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_8,True,,S_30,S_30,1.0,,,soline,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_9,d_ex_toyshop_01,Speech,soline,Locale_SuddenStory:d_ex_toyshop_01_9,True,,S_30,S_30,1.0,,,soline,,1,idle,,13,idle,,3,angry,,,
d_ex_toyshop_01_10,d_ex_toyshop_01,Speech,belorta,Locale_SuddenStory:d_ex_toyshop_01_10,True,,12,12,1.0,,,belorta,,1,delight,,13,idle,,3,angry,,,
