id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_16_01_1,d_main_16_01,Speech,rapi,rapi,Locale_MainScenario:d_main_16_01_1,True,IceLand_01,7,7,1.0,bgm_secondhand_a,,rapi,7,idle,anis,5,idle,neon,3,idle,viper,12,idle,jackal,14,idle,crow,16,idle
d_main_16_01_2,d_main_16_01,Speech,rapi,rapi,Locale_MainScenario:d_main_16_01_2,True,,7,7,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_3,d_main_16_01,Speech,rapi,rapi,Locale_MainScenario:d_main_16_01_3,True,,7,70,2.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_4,d_main_16_01,Speech,rapi,rapi,Locale_MainScenario:d_main_16_01_4,True,,70,70,1.0,,,,7,think,,5,idle,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_5,d_main_16_01,Speech,anis,anis,Locale_MainScenario:d_main_16_01_5,True,,70,5,1.0,,,,7,think,,5,worry,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_6,d_main_16_01,Speech,neon,neon,Locale_MainScenario:d_main_16_01_6,True,,5,4,1.0,,,,7,idle,,5,worry,,3,worry,,12,idle,,14,idle,,16,idle
d_main_16_01_7,d_main_16_01,Speech,jackal,jackal,Locale_MainScenario:d_main_16_01_7,True,,4,14,2.0,,,,7,idle,,5,idle,,3,worry,,12,idle,,14,shy_01,,16,idle
d_main_16_01_8,d_main_16_01,Speech,jackal,jackal,Locale_MainScenario:d_main_16_01_8,True,,14,S_140,0.3,,Low_2,,7,idle,,5,idle,,3,idle,,12,idle,,14,crazy,,16,idle
d_main_16_01_9,d_main_16_01,Speech,jackal,jackal,Locale_MainScenario:d_main_16_01_9,True,,S_140,S_140,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,shy_02,,16,idle
d_main_16_01_10,d_main_16_01,Speech,jackal,jackal,Locale_MainScenario:d_main_16_01_10,True,,S_140,S_1400,0.3,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,shy_02,,16,idle
d_main_16_01_11,d_main_16_01,Speech,crow,crow,Locale_MainScenario:d_main_16_01_11,True,,S_1400,160,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,shy_02,,16,idle
d_main_16_01_12,d_main_16_01,Speech,crow,crow,Locale_MainScenario:d_main_16_01_12,True,,160,160,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,shy_02,,16,idle
d_main_16_01_13,d_main_16_01,Speech,viper,viper,Locale_MainScenario:d_main_16_01_13,True,,120,120,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,shy_02,,16,idle
d_main_16_01_14,d_main_16_01,Speech,jackal,jackal,Locale_MainScenario:d_main_16_01_14,True,,120,14,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,no,,16,idle
d_main_16_01_15,d_main_16_01,Speech,crow,crow,Locale_MainScenario:d_main_16_01_15,True,,14,160,2.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,no,,16,smile
d_main_16_01_16,d_main_16_01,Self,crow,Self,Locale_MainScenario:d_main_16_01_16,False,,160,160,1.0,,,,7,idle,,5,idle,,3,idle,,12,idle,,14,no,,16,smile
d_main_16_01_17,d_main_16_01,Speech,anis,anis,Locale_MainScenario:d_main_16_01_17,True,,50,50,1.0,,,,7,idle,,5,angry,,3,idle,,12,idle,,14,no,,16,smile
d_main_16_01_18,d_main_16_01,Speech,anis,anis,Locale_MainScenario:d_main_16_01_18,True,,50,50,1.0,,,,7,idle,,5,sad,,3,idle,,12,idle,,14,idle,,16,idle
d_main_16_01_19,d_main_16_01,Speech,anis,anis,Locale_MainScenario:d_main_16_01_19,True,,50,50,1.0,,,,7,idle,,5,angry,,3,idle,,12,idle,,14,idle,,16,idle
