id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id
d_main_12af_01_1,d_main_12af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_12af_01_1,True,Office,113,113,1.0,bgm_story_fairytalesend_a,andersen,13,idle,ingrid,1,idle,rapi,3,idle,,,,,,,,
d_main_12af_01_2,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_2,True,,113,113,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_3,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_3,True,,113,113,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_4,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_4,True,,113,113,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_5,d_main_12af_01,Self,,,Locale_MainScenario:d_main_12af_01_5,False,,113,113,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_6,d_main_12af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_12af_01_6,True,,113,L_130,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_7,d_main_12af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_12af_01_7,True,,L_130,L_130,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_8,d_main_12af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12af_01_8,True,,30,30,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_9,d_main_12af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_12af_01_9,True,,L_130,L_130,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_10,d_main_12af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_12af_01_10,True,,L_130,L_130,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_11,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_11,True,,L_130,31,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_12,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_12,True,,31,31,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_13,d_main_12af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12af_01_13,True,,31,31,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_14,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_14,True,,31,1,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_15,d_main_12af_01,Self,ingrid,,Locale_MainScenario:d_main_12af_01_15,False,,1,1,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_16,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_16,True,,1,L_10,1.0,,,13,idle,,1,think,,3,idle,,,,,,,,
d_main_12af_01_17,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_17,True,,L_10,L_10,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_18,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_18,True,,L_10,L_10,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_19,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_19,True,,L_10,L_10,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_20,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_20,True,,L_10,L_10,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_21,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_21,True,,L_10,31,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_22,d_main_12af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_12af_01_22,True,,31,31,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_23,d_main_12af_01,Speech,andersen,andersen,Locale_MainScenario:d_main_12af_01_23,True,,31,113,1.0,,,13,idle,,1,idle,,3,idle,,,,,,,,
d_main_12af_01_24,d_main_12af_01,Speech,ingrid,ingrid,Locale_MainScenario:d_main_12af_01_24,True,,113,113,1.0,,,13,idle,,1,idle,,3,idle,anis,15,worry,,,,,
d_main_12af_01_25,d_main_12af_01,Speech,anis,anis,Locale_MainScenario:d_main_12af_01_25,True,,150,150,1.0,,,13,idle,,1,idle,,3,idle,,15,worry,,,,,
