id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_main_22_01_s_1,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_1,False,BurningCity,15,1500,0.5,bgm_spot_emergencyengage_a,,,rapi,15,angry,,anis,17,angry,,neon,19,idle,,,,,
d_main_22_01_s_2,d_main_22_01_s,Speech,neon,neon,Locale_MainScenario:d_main_22_01_s_2,True,,S_1900,S_1900,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_3,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_3,True,,S_1900,1700,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_4,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_4,True,,1700,1700,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_5,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_5,True,,1700,1700,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_6,d_main_22_01_s,Self,,,Locale_MainScenario:d_main_22_01_s_6,False,,1700,1700,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_7,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_7,True,,1700,1500,0.5,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_8,d_main_22_01_s,Self,,,Locale_MainScenario:d_main_22_01_s_8,False,,1500,1500,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_9,d_main_22_01_s,Monologue,,,Locale_MainScenario:d_main_22_01_s_9,False,,black,black,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_10,d_main_22_01_s,Monologue,,,Locale_MainScenario:d_main_22_01_s_10,False,,black,black,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_11,d_main_22_01_s,Self,,,Locale_MainScenario:d_main_22_01_s_11,False,,150,150,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_12,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_12,True,,150,150,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_13,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_13,True,,150,170,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_14,d_main_22_01_s,Speech,anis,anis,Locale_MainScenario:d_main_22_01_s_14,True,,170,170,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_15,d_main_22_01_s,Speech,neon,neon,Locale_MainScenario:d_main_22_01_s_15,True,,S_190,S_190,1.0,,,,,15,angry,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_16,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_16,True,,150,150,1.0,,,,,15,idle,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_17,d_main_22_01_s,Self,,,Locale_MainScenario:d_main_22_01_s_17,False,,150,150,1.0,,,,,15,idle,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_18,d_main_22_01_s,Speech,rapi,rapi,Locale_MainScenario:d_main_22_01_s_18,True,,150,150,1.0,,,,,15,idle,,,17,angry,,,19,idle,,,,,
d_main_22_01_s_19,d_main_22_01_s,Speech,enikk,enikk,Locale_MainScenario:d_main_22_01_s_19,True,EnikkRoom,black,black,1.0,,Grey,black,,15,idle,rapi,,17,angry,anis,,19,idle,neon,enikk,1,special,
d_main_22_01_s_20,d_main_22_01_s,Speech,enikk,enikk,Locale_MainScenario:d_main_22_01_s_20,True,,10,10,1.0,,Grey,,,,,,,,,,,,,,,1,special,
d_main_22_01_s_21,d_main_22_01_s,Speech,enikk,enikk,Locale_MainScenario:d_main_22_01_s_21,True,,10,10,1.0,,Grey,,,,,,,,,,,,,,,1,special,
