id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_subquest_1193_e_1,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_1,True,WasteLand_01,13,13,1.0,bgm_inark,,,,neon,8,idle,anis,6,idle,rapi,4,idle,voltjr,2,idle,,liter,12,delight,centi,14,idle
d_subquest_1193_e_2,d_subquest_1193_e,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_e_2,True,,13,13,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,delight,,14,idle
d_subquest_1193_e_3,d_subquest_1193_e,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_e_3,True,,13,L_140,0.3,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,angry
d_subquest_1193_e_4,d_subquest_1193_e,Narration,,Narration,Locale_SubScenario:d_subquest_1193_e_4,False,,6018,6018,1.0,,sfx_scn_takeofflock,Low_2,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,angry
d_subquest_1193_e_5,d_subquest_1193_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1193_e_5,False,,6018,6018,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_6,d_subquest_1193_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_e_6,True,,7,7,1.0,,,,,,8,idle,,6,delight,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_7,d_subquest_1193_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1193_e_7,True,,7,7,1.0,,,,,,8,delight,,6,delight,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_8,d_subquest_1193_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_e_8,True,,6018,6018,1.0,,sfx_scn_dogbark,,,,8,delight,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_9,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_9,True,,6018,1,2.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,no,,14,idle
d_subquest_1193_e_10,d_subquest_1193_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_e_10,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,no,,14,idle
d_subquest_1193_e_11,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_11,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,no,,14,idle
d_subquest_1193_e_12,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_12,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,no,,14,idle
d_subquest_1193_e_13,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_13,True,,1,XS_120,2.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,sorrow,,14,idle
d_subquest_1193_e_14,d_subquest_1193_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_e_14,True,,XS_120,XS_120,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,sorrow,,14,idle
d_subquest_1193_e_15,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_15,True,,XS_120,XS_120,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,no,,14,idle
d_subquest_1193_e_16,d_subquest_1193_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_e_16,True,,XS_120,6018,0.3,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,no,,14,idle
d_subquest_1193_e_17,d_subquest_1193_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1193_e_17,False,,6018,2,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,voltjr,,12,no,,14,idle
d_subquest_1193_e_18,d_subquest_1193_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1193_e_18,False,,2,2,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,no,,14,idle
d_subquest_1193_e_19,d_subquest_1193_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_e_19,True,,2,1,0.5,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,voltjr,2,idle,,,12,no,,14,idle
d_subquest_1193_e_20,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_20,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_21,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_21,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_22,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_22,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,delight,,14,idle
d_subquest_1193_e_23,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_23,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,delight,,14,idle
d_subquest_1193_e_24,d_subquest_1193_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_e_24,True,,1,1,1.0,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,delight,,14,idle
d_subquest_1193_e_25,d_subquest_1193_e,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_e_25,True,,1,13,0.5,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,delight,,14,idle
d_subquest_1193_e_26,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_26,True,,13,13,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,delight,,14,idle
d_subquest_1193_e_27,d_subquest_1193_e,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_e_27,True,,13,13,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,delight,,14,delight
d_subquest_1193_e_28,d_subquest_1193_e,Narration,,Narration,Locale_SubScenario:d_subquest_1193_e_28,False,,black,black,1.0,none,,,black,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_29,d_subquest_1193_e,Speech,centi,centi,Locale_SubScenario:d_subquest_1193_e_29,True,,13,13,1.0,bgm_story_sunnycarnival,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_30,d_subquest_1193_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_e_30,True,,7,7,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_31,d_subquest_1193_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1193_e_31,True,,7,7,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_32,d_subquest_1193_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_e_32,True,,7,7,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_33,d_subquest_1193_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1193_e_33,True,,7,7,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_34,d_subquest_1193_e,Speech,anis,anis,Locale_SubScenario:d_subquest_1193_e_34,True,,7,7,1.0,,,,,,8,idle,,6,no,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_35,d_subquest_1193_e,Speech,neon,neon,Locale_SubScenario:d_subquest_1193_e_35,True,,7,7,1.0,,,,,,8,surprise,,6,no,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_36,d_subquest_1193_e,Self,,Self,Locale_SubScenario:d_subquest_1193_e_36,False,,7,7,1.0,,,,,,8,surprise,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_37,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_37,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_38,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_38,True,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_39,d_subquest_1193_e,Speech,voltjr,voltjr,Locale_SubScenario:d_subquest_1193_e_39,True,,1,1,1.0,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,2,idle,,,12,idle,,14,idle
d_subquest_1193_e_40,d_subquest_1193_e,Monologue,,Monologue,Locale_SubScenario:d_subquest_1193_e_40,False,,1,1,1.0,,,,,,8,idle,,6,idle,,4,idle,,1,idle,,,12,idle,,14,idle
d_subquest_1193_e_41,d_subquest_1193_e,Speech,liter,liter,Locale_SubScenario:d_subquest_1193_e_41,True,,1,12,1.0,,,,,,8,idle,,6,idle,,4,idle,,1,idle,,,12,delight,,14,idle
d_subquest_1193_e_42,d_subquest_1193_e,Speech,volt,volt,Locale_SubScenario:d_subquest_1193_e_42,False,,12,6019,2.0,,,,,,8,idle,,6,idle,,4,idle,,1,idle,,,12,delight,,14,idle
d_subquest_1193_e_43,d_subquest_1193_e,Speech,volt,volt,Locale_SubScenario:d_subquest_1193_e_43,True,,6019,6019,1.0,,sfx_scn_dogbark,,,,8,idle,,6,idle,,4,idle,,1,idle,,,12,delight,,14,idle
