id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_main_28_04_s_1,d_main_28_04_s,Monologue,Locale_MainScenario:d_main_28_04_s_1,False,RuinIndoor,30,30,1.0,bgm_destroyingcalamity_a,,,elegg,5,pain,,liveryn,3,idle,hammering,1,worry,,rapi,13,,anis,15,void,,neon,17,idle,
d_main_28_04_s_2,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_2,True,,30,3,1.0,,liveryn,liveryn,,5,pain,,,3,smile,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_3,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_3,True,,3,3,1.0,,liveryn,liveryn,,5,pain,,,3,smile,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_4,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_4,True,,3,4,1.0,,elegg,elegg,,5,pain,,,3,smile,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_5,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_5,True,,4,4,1.0,,liveryn,liveryn,,5,pain,,,3,sad,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_6,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_6,True,,4,4,1.0,,liveryn,liveryn,,5,pain,,,3,sad,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_7,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_7,True,,4,4,1.0,,elegg,elegg,,5,pain,,,3,sad,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_8,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_8,True,,16,16,1.0,,anis,anis,,5,pain,,,3,worry,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_9,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_9,True,,16,16,1.0,,neon,neon,,5,pain,,,3,worry,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_10,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_10,True,,16,13,1.0,,rapi,rapi,,5,pain,,,3,worry,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_11,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_11,True,,13,13,1.0,,rapi,rapi,,5,pain,,,3,worry,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_12,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_12,True,,3,3,1.0,,liveryn,liveryn,,5,think,,,3,worry,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_13,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_13,True,,3,2,1.0,,hammering,hammering,,5,think,,,3,worry,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_14,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_14,True,,2,2,1.0,,hammering,hammering,,5,think,,,3,worry,,1,worry,,,13,idle,,15,void,,,17,idle,
d_main_28_04_s_15,d_main_28_04_s,Speech,Locale_MainScenario:d_main_28_04_s_15,True,,2,2,1.0,,liveryn,liveryn,,5,think,,,3,idle,,1,worry,,,13,idle,,15,void,,,17,idle,
