id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim
d_main_34_06_s_1,d_main_34_06_s,Speech,neon,neon,Locale_MainScenario:d_main_34_06_s_1,True,BlackPuddle,S_20,S_200,1.0,bgm_chapter34_field_clash,,,emma_t,8,idle,vesti_t,6,idle,eunhwa_t,4,idle,neon,2,idle,rapi,12,idle,anis,14,idle,,,,,,
d_main_34_06_s_2,d_main_34_06_s,Speech,neon,neon,Locale_MainScenario:d_main_34_06_s_2,True,,S_200,S_20,1.0,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_3,d_main_34_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_34_06_s_3,True,,S_20,120,1.0,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_4,d_main_34_06_s,Speech,neon,neon,Locale_MainScenario:d_main_34_06_s_4,True,,120,1,1.0,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_5,d_main_34_06_s,Speech,neon,neon,Locale_MainScenario:d_main_34_06_s_5,True,,1,1,1.0,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_6,d_main_34_06_s,Speech,neon,neon,Locale_MainScenario:d_main_34_06_s_6,True,,1,1,1.0,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_7,d_main_34_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_34_06_s_7,True,,1,1,1.0,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,idle,,14,idle,,,,,,
d_main_34_06_s_8,d_main_34_06_s,Speech,rapi,rapi,Locale_MainScenario:d_main_34_06_s_8,False,,1,120,1.0,,,,,8,idle,,6,idle,,4,idle,,2,idle,,12,angry,,14,idle,,,,,,
d_main_34_06_s_9,d_main_34_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_06_s_9,False,,40,40,1.0,,,,,8,worry,,6,idle,,4,angry,,2,idle,,12,angry,,14,idle,,,,,,
d_main_34_06_s_10,d_main_34_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_06_s_10,True,,40,40,1.0,,,,,8,worry,,6,idle,,4,angry,,2,idle,,12,angry,,14,idle,,,,,,
d_main_34_06_s_11,d_main_34_06_s,Speech,eunhwa_t,eunhwa_t,Locale_MainScenario:d_main_34_06_s_11,True,,40,40,1.0,,,,,8,worry,,6,idle,,4,angry,,2,idle,,12,angry,,14,idle,,,,,,
d_main_34_06_s_12,d_main_34_06_s,Speech,emma_t,emma_t,Locale_MainScenario:d_main_34_06_s_12,True,,80,80,1.0,,,,,8,worry,,6,idle,,4,angry,,2,idle,,12,idle,,14,idle,,,,,,
