id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm
d_main_32_06_s_1,d_main_32_06_s,Speech,grave_no_no,grave_no,Locale_MainScenario:d_main_32_06_s_1,True,grave_no,7,idle,rapi,5,idle,anis,3,worry,neon,1,worry,eunhwa,13,idle,emma,15,worry,vesti,17,idle,CrystalCity,L_70,L_70,1.0,bgm_story_danger1
d_main_32_06_s_2,d_main_32_06_s,Speech,grave_no_no,grave_no,Locale_MainScenario:d_main_32_06_s_2,True,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,L_70,L_70,1.0,
d_main_32_06_s_3,d_main_32_06_s,Speech,anis,anis,Locale_MainScenario:d_main_32_06_s_3,False,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,30,30,1.0,
d_main_32_06_s_4,d_main_32_06_s,Speech,anis,anis,Locale_MainScenario:d_main_32_06_s_4,True,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,30,30,1.0,
d_main_32_06_s_5,d_main_32_06_s,Speech,anis,anis,Locale_MainScenario:d_main_32_06_s_5,True,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,30,30,1.0,
d_main_32_06_s_6,d_main_32_06_s,Speech,neon,neon,Locale_MainScenario:d_main_32_06_s_6,False,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,30,31,1.0,
d_main_32_06_s_7,d_main_32_06_s,Speech,anis,anis,Locale_MainScenario:d_main_32_06_s_7,True,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,31,31,1.0,
d_main_32_06_s_8,d_main_32_06_s,Speech,anis,anis,Locale_MainScenario:d_main_32_06_s_8,True,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,31,31,1.0,
d_main_32_06_s_9,d_main_32_06_s,Speech,eunhwa,eunhwa,Locale_MainScenario:d_main_32_06_s_9,True,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,130,130,1.0,
d_main_32_06_s_10,d_main_32_06_s,Speech,anis,anis,Locale_MainScenario:d_main_32_06_s_10,True,,7,idle,,5,idle,,3,worry,,1,worry,,13,idle,,15,worry,,17,idle,,30,30,1.0,
