id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/3/hide_char_id,characters/4/hide_char_id,play_sound,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id
d_main_08_08_1,d_main_08_08,Speech,rapi,rapi,Locale_MainScenario:d_main_08_08_1,True,rapi,3,idle,anis,1,delight,neon,13,idle,shifty,OP_leftup,idle,exia_op_r,OP_rightup,idle,WasteLand_01,3,30,1.0,bgm_theruinedcity_b,,,,,,,
d_main_08_08_2,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_2,True,,3,idle,,1,delight,,13,worry,,OP_leftup,idle,,OP_rightup,idle,,30,10,1.0,,,,,,,,
d_main_08_08_3,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_3,False,,3,idle,,1,delight,,13,worry,,OP_leftup,idle,,OP_rightup,idle,,10,S_130,1.0,,,,,,,,
d_main_08_08_4,d_main_08_08,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_4,False,,3,idle,,1,delight,,13,worry,,OP_leftup,surprise,,OP_rightup,idle,,S_130,S_130,1.0,none,,,,,,,
d_main_08_08_5,d_main_08_08,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_5,True,,3,idle,,1,idle,,13,worry,,OP_leftup,surprise,,OP_rightup,idle,,S_130,17,0.5,bgm_emergency,,,,,,,
d_main_08_08_6,d_main_08_08,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_08_6,True,,3,idle,,1,idle,,13,idle,,OP_leftup,surprise,,OP_rightup,sad,,17,17,1.0,,,,,,,,
d_main_08_08_7,d_main_08_08,Speech,exia_op_r,exia_op_r,Locale_MainScenario:d_main_08_08_7,True,,3,idle,,1,idle,,13,idle,,OP_leftup,surprise,,OP_rightup,sad,,17,17,1.0,,,,,,,,
d_main_08_08_8,d_main_08_08,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_8,True,,3,idle,,1,worry,,13,idle,,OP_leftup,surprise,,OP_rightup,sad,,17,12,0.5,,,,,,,,
d_main_08_08_9,d_main_08_08,Speech,shifty,shifty,Locale_MainScenario:d_main_08_08_9,True,,3,idle,,1,worry,,13,idle,,OP_leftup,surprise,,OP_rightup,sad,,12,12,1.0,,,,,,,,
d_main_08_08_10,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_10,False,,3,idle,,1,angry,,13,surprise,,OP_leftup,surprise,,OP_rightup,sad,,12,10,0.3,,,,,,,,
d_main_08_08_11,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_11,False,,3,idle,,1,angry,,13,surprise,,OP_leftup,surprise,,OP_rightup,sad,,10,S_130,0.5,,,,,,,,
d_main_08_08_12,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_12,False,,3,idle,,1,angry,,13,surprise,,OP_leftup,surprise,,OP_rightup,sad,,black,black,1.0,,shifty,exia_op_r,,,,,
d_main_08_08_13,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_13,True,,3,idle,,1,angry,,13,surprise,,,,,,,,1,10,0.5,,,,,,,,
d_main_08_08_14,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_14,True,,3,idle,,1,angry,,13,surprise,,,,,,,,13,S_130,0.5,,,,,,,,
d_main_08_08_15,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_15,False,,3,idle,,1,angry,,13,surprise,,,,,,,,black,black,1.0,,,,,,,,
d_main_08_08_16,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_16,True,,3,idle,,1,angry,,13,surprise,,,,,,,,10,100,0.5,,,,,,,,
d_main_08_08_17,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_17,True,,3,idle,,1,angry,,13,surprise,,,,,,,,S_130,S_1300,0.5,,,,,,,,
d_main_08_08_18,d_main_08_08,Narration,,Narration,Locale_MainScenario:d_main_08_08_18,False,,3,idle,,1,angry,,13,surprise,,,,,,,,black,black,1.0,,,,sfx_scn_comichit,,,,
d_main_08_08_19,d_main_08_08,Monologue,,,Locale_MainScenario:d_main_08_08_19,False,,3,idle,,1,angry,,13,surprise,,,,,,,,black,black,1.0,none,,,,,,,
d_main_08_08_20,d_main_08_08,Speech,anis,anis,Locale_MainScenario:d_main_08_08_20,True,,3,idle,,1,sad,,13,surprise,,,,,,,,10,10,1.0,,,,,Low_2,,,
d_main_08_08_21,d_main_08_08,Speech,neon,neon,Locale_MainScenario:d_main_08_08_21,True,,3,idle,,1,sad,,13,worry,,,,,,,,10,S_130,0.5,,,,,Low_2,,,
