id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,conversation_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/2/hide_char_id
d_main_08_06_1,d_main_08_06,Speech,rapi,rapi,Locale_MainScenario:d_main_08_06_1,True,rapi,3,angry,anis,1,void,neon,13,idle,WasteLand_03,3,3,1.0,bgm_enemyclose,,,,,,,,
d_main_08_06_2,d_main_08_06,Speech,rapi,rapi,Locale_MainScenario:d_main_08_06_2,True,,3,idle,,1,void,,13,idle,,3,3,1.0,,,,,,,,,
d_main_08_06_3,d_main_08_06,Speech,anis,anis,Locale_MainScenario:d_main_08_06_3,True,,3,idle,,1,angry,,13,idle,,3,2,1.0,,,,,,,,,
d_main_08_06_4,d_main_08_06,Speech,rapi,rapi,Locale_MainScenario:d_main_08_06_4,True,,3,idle,,1,angry,,13,idle,,2,2,1.0,,,,,,,,,
d_main_08_06_5,d_main_08_06,Speech,rapi,rapi,Locale_MainScenario:d_main_08_06_5,True,,3,think,,1,angry,,13,idle,,2,30,2.0,,,,,,,,,
d_main_08_06_6,d_main_08_06,Narration,rapi,Narration,Locale_MainScenario:d_main_08_06_6,False,,3,think,,1,angry,,13,idle,,30,30,1.0,,m_main_08_06,,,,,,,
d_main_08_06_7,d_main_08_06,Speech,rapi,rapi,Locale_MainScenario:d_main_08_06_7,True,,3,worry,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,
d_main_08_06_8,d_main_08_06,Speech,rapi,rapi,Locale_MainScenario:d_main_08_06_8,True,,3,think,,1,idle,,13,idle,,30,30,1.0,,,,,,,,,
d_main_08_06_9,d_main_08_06,Speech,shifty,shifty,Locale_MainScenario:d_main_08_06_9,True,,3,think,,1,idle,,13,idle,,30,30,1.0,,,shifty,OP_leftup,idle,,,,
d_main_08_06_10,d_main_08_06,Speech,rapi,rapi,Locale_MainScenario:d_main_08_06_10,False,,3,angry,,1,idle,,13,idle,,30,30,1.0,,,,OP_leftup,idle,,,,
