id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_filter_01,jump_target
d_main_16_05_e_1,d_main_16_05_e,Speech,jackal,jackal,Locale_MainScenario:d_main_16_05_e_1,True,jackal,5,angry,viper,3,idle,crow,1,idle,anis,13,idle,rapi,15,idle,neon,17,idle,IceLand_03,5,S_50,2.0,ambient_scn_wind,,,
d_main_16_05_e_2,d_main_16_05_e,Speech,jackal,jackal,Locale_MainScenario:d_main_16_05_e_2,True,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,S_50,S_50,1.0,,,,
d_main_16_05_e_3,d_main_16_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_16_05_e_3,False,,5,no,,3,idle,,1,idle,,13,idle,,15,angry,,17,idle,,15,150,0.3,,,,
d_main_16_05_e_4,d_main_16_05_e,Speech,neon,neon,Locale_MainScenario:d_main_16_05_e_4,False,,5,no,,3,idle,,1,idle,,13,idle,,15,angry,,17,surprise,,17,S_170,0.3,,,,
d_main_16_05_e_5,d_main_16_05_e,Self,,Self,Locale_MainScenario:d_main_16_05_e_5,False,,5,no,,3,idle,,1,idle,,13,idle,,15,idle,,17,surprise,,S_50,S_50,2.0,,,,
d_main_16_05_e_6,d_main_16_05_e,Speech,jackal,jackal,Locale_MainScenario:d_main_16_05_e_6,True,,5,shy_01,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,S_50,S_50,1.0,,,,
d_main_16_05_e_7,d_main_16_05_e,Narration,,Narration,Locale_MainScenario:d_main_16_05_e_7,False,,5,shy_01,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,S_50,5,1.0,,,,
d_main_16_05_e_8,d_main_16_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_16_05_e_8,True,,5,shy_01,,3,idle,,1,idle,,13,idle,,15,angry,,17,idle,,5,150,0.3,,,,
d_main_16_05_e_9,d_main_16_05_e,Narration,,Narration,Locale_MainScenario:d_main_16_05_e_9,False,,5,idle,,3,idle,,1,idle,,13,idle,,15,angry,,17,idle,,black,black,1.0,bgm_emergency,sfx_scn_rapturebeam,,
d_main_16_05_e_10,d_main_16_05_e,Monologue,,,Locale_MainScenario:d_main_16_05_e_10,False,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,black,black,1.0,,,,
d_main_16_05_e_11,d_main_16_05_e,Monologue,,,Locale_MainScenario:d_main_16_05_e_11,False,,5,idle,,3,idle,,1,idle,,13,idle,,15,idle,,17,idle,,black,black,1.0,,,,
d_main_16_05_e_12,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_12,False,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,100,10,2.0,,,Blur_Low,
d_main_16_05_e_13,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_13,False,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_14,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_14,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_15,d_main_16_05_e,Self,crow,Self,Locale_MainScenario:d_main_16_05_e_15,False,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_16,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_16,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_17,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_17,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_18,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_18,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_19,d_main_16_05_e,Choice,crow,,Locale_MainScenario:d_main_16_05_e_19,False,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,d_main_16_05_e_21
d_main_16_05_e_20,d_main_16_05_e,Choice,crow,,Locale_MainScenario:d_main_16_05_e_20,False,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,d_main_16_05_e_21
d_main_16_05_e_21,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_21,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_22,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_22,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_23,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_23,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,10,100,2.0,,,,
d_main_16_05_e_24,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_24,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,100,100,1.0,,,,
d_main_16_05_e_25,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_25,True,,5,idle,,3,idle,,1,angry,,13,idle,,15,idle,,17,idle,,100,100,1.0,,,,
d_main_16_05_e_26,d_main_16_05_e,Speech,anis,anis,Locale_MainScenario:d_main_16_05_e_26,True,,5,idle,,3,idle,,1,angry,,13,angry,,15,idle,,17,idle,,100,130,0.3,,,,
d_main_16_05_e_27,d_main_16_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_16_05_e_27,True,,5,idle,,3,idle,,1,angry,,13,angry,,15,idle,,17,idle,,130,14,1.0,,,,
d_main_16_05_e_28,d_main_16_05_e,Speech,rapi,rapi,Locale_MainScenario:d_main_16_05_e_28,True,,5,idle,,3,idle,,1,angry,,13,angry,,15,idle,,17,idle,,14,14,1.0,,,,
d_main_16_05_e_29,d_main_16_05_e,Speech,anis,anis,Locale_MainScenario:d_main_16_05_e_29,True,,5,idle,,3,idle,,1,angry,,13,angry,,15,idle,,17,idle,,14,130,0.3,,,,
d_main_16_05_e_30,d_main_16_05_e,Self,anis,Self,Locale_MainScenario:d_main_16_05_e_30,False,,5,idle,,3,idle,,1,angry,,13,angry,,15,idle,,17,idle,,130,130,1.0,,,,
d_main_16_05_e_31,d_main_16_05_e,Self,anis,Self,Locale_MainScenario:d_main_16_05_e_31,False,,5,idle,,3,idle,,1,angry,,13,angry,,15,idle,,17,idle,,130,130,1.0,,,,
d_main_16_05_e_32,d_main_16_05_e,Speech,crow,crow,Locale_MainScenario:d_main_16_05_e_32,True,,5,idle,,3,idle,,1,surprise,,13,angry,,15,idle,,17,idle,,10,10,1.0,,,,
d_main_16_05_e_33,d_main_16_05_e,Speech,anis,anis,Locale_MainScenario:d_main_16_05_e_33,True,,5,idle,,3,idle,,1,surprise,,13,sad,,15,idle,,17,idle,,10,130,2.0,,,,
d_main_16_05_e_34,d_main_16_05_e,Speech,anis,anis,Locale_MainScenario:d_main_16_05_e_34,True,,5,idle,,3,idle,,1,surprise,,13,pain,,15,idle,,17,idle,,130,130,1.0,,,,
