id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_gym_04_1,d_ex_gym_04,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_04_1,True,Gym,1,L_10,0.5,bgm_story_leisuretime,,,,rumani,1,angry,,,,,
d_ex_gym_04_2,d_ex_gym_04,Self,rumani,,Locale_SuddenStory:d_ex_gym_04_2,False,,L_10,L_10,1.0,,,,,,1,angry,,,,,
d_ex_gym_04_3,d_ex_gym_04,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_04_3,True,,L_10,L_10,1.0,,,,,,1,angry,,,,,
d_ex_gym_04_4,d_ex_gym_04,Self,rumani,,Locale_SuddenStory:d_ex_gym_04_4,False,,L_10,L_10,1.0,,,,,,1,angry,,,,,
d_ex_gym_04_5,d_ex_gym_04,Monologue,rumani,,Locale_SuddenStory:d_ex_gym_04_5,False,,L_10,L_10,1.0,,,,,,1,angry,,,,,
d_ex_gym_04_6,d_ex_gym_04,Monologue,rumani,,Locale_SuddenStory:d_ex_gym_04_6,False,,L_10,L_10,1.0,,,,,,1,angry,,,,,
d_ex_gym_04_7,d_ex_gym_04,Narration,rumani,,Locale_SuddenStory:d_ex_gym_04_7,False,,L_10,13,1.0,,,,,,1,angry,,,,,
d_ex_gym_04_8,d_ex_gym_04,Speech,laplace,laplace,Locale_SuddenStory:d_ex_gym_04_8,True,,13,13,1.0,,,,,,1,idle,,laplace,13,idle,
d_ex_gym_04_9,d_ex_gym_04,Speech,laplace,laplace,Locale_SuddenStory:d_ex_gym_04_9,True,,13,S_130,1.0,,,,,,1,idle,,,13,idle,
d_ex_gym_04_10,d_ex_gym_04,Monologue,laplace,,Locale_SuddenStory:d_ex_gym_04_10,False,,S_130,S_130,1.0,,,,,,1,idle,,,13,idle,
d_ex_gym_04_11,d_ex_gym_04,Narration,laplace,,Locale_SuddenStory:d_ex_gym_04_11,False,,S_130,9,1.0,,sfx_scn_swing,,,,1,idle,,,13,idle,
d_ex_gym_04_12,d_ex_gym_04,Narration,laplace,,Locale_SuddenStory:d_ex_gym_04_12,False,,9,9,1.0,,sfx_scn_glassbreak,,,,1,idle,,,13,idle,
d_ex_gym_04_13,d_ex_gym_04,Monologue,laplace,,Locale_SuddenStory:d_ex_gym_04_13,False,,9,9,1.0,,,,,,1,idle,,,13,idle,
d_ex_gym_04_14,d_ex_gym_04,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_04_14,False,,9,1,1.0,,,,,,1,sad,,,13,idle,
d_ex_gym_04_15,d_ex_gym_04,Speech,laplace,laplace,Locale_SuddenStory:d_ex_gym_04_15,True,,1,113,1.0,,,,,,1,sad,,,13,idle,
d_ex_gym_04_16,d_ex_gym_04,Speech,laplace,laplace,Locale_SuddenStory:d_ex_gym_04_16,True,,113,S_130,1.0,,,,,,1,sad,,,13,delight,
d_ex_gym_04_17,d_ex_gym_04,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_04_17,False,,L_10,L_10,1.0,,,,,,1,sad,,,13,delight,
d_ex_gym_04_18,d_ex_gym_04,Speech,rumani,rumani,Locale_SuddenStory:d_ex_gym_04_18,True,,L_10,113,1.0,,,,,,1,idle,,,13,delight,
d_ex_gym_04_19,d_ex_gym_04,Speech,laplace,laplace,Locale_SuddenStory:d_ex_gym_04_19,True,,113,113,1.0,,,,,,1,idle,,,13,delight,
