id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_02,fade,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_main_40_af_06_1,d_main_40_af_06,Speech,anis,anis,Locale_MainScenario:d_main_40_af_06_1,True,EventScene_Chap_40_05,black,black,1.0,none,,,,,,,,,,,,,,,
d_main_40_af_06_2,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_2,False,,ttstar_01,ttstar_01,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_3,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_3,False,,ttstar_01,ttstar_01,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_4,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_4,False,,ttstar_01,ttstar_01,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_5,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_5,False,,ttstar_01,ttstar_01,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_6,d_main_40_af_06,Speech,anis,anis,Locale_MainScenario:d_main_40_af_06_6,True,,ttstar_01,ttstar_01,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_7,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_7,False,,ttstar_01,ttstar_02,2.0,,Low_2,,,,,,,,,,,,,,
d_main_40_af_06_8,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_8,False,,ttstar_02,ttstar_02,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_9,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_9,False,,ttstar_02,ttstar_02,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_10,d_main_40_af_06,Speech,anis,anis,Locale_MainScenario:d_main_40_af_06_10,True,,ttstar_02,ttstar_02,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_11,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_11,False,,black,black,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_12,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_12,False,,15,1,1.5,,,,,,,,,,,,,,,,
d_main_40_af_06_13,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_13,False,,1,1,1.0,,,,,,,,,,,,,,,,
d_main_40_af_06_14,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_14,False,,1,1,1.0,bgm_story_empathize,,,,,,,,,,,,,,,
d_main_40_af_06_15,d_main_40_af_06,Narration,,,Locale_MainScenario:d_main_40_af_06_15,False,,1,1,1.0,,,,,,,,,,,,,,,,
