id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_subquest_1212_s_1,d_subquest_1212_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1212_s_1,True,CityForest_03,7,7,1.0,bgm_distress,,,rapi,9,idle,neon,7,delight,anis,5,idle,,,
d_subquest_1212_s_2,d_subquest_1212_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1212_s_2,True,,7,7,1.0,,,,,9,idle,,7,delight,,5,idle,,,
d_subquest_1212_s_3,d_subquest_1212_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1212_s_3,True,,7,6,2.0,,,,,9,idle,,7,idle,,5,idle,,,
d_subquest_1212_s_4,d_subquest_1212_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1212_s_4,True,,6,6,1.0,,,,,9,idle,,7,idle,,5,idle,,,
d_subquest_1212_s_5,d_subquest_1212_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1212_s_5,True,,6,6,1.0,,,,,9,idle,,7,surprise,,5,idle,,,
d_subquest_1212_s_6,d_subquest_1212_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1212_s_6,True,,6,6,1.0,,,,,9,idle,,7,surprise,,5,idle,,,
d_subquest_1212_s_7,d_subquest_1212_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1212_s_7,True,,6,8,1.0,,,,,9,idle,,7,idle,,5,idle,,,
d_subquest_1212_s_8,d_subquest_1212_s,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1212_s_8,True,,8,8,1.0,,,,,9,idle,,7,idle,,5,idle,,,
d_subquest_1212_s_9,d_subquest_1212_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1212_s_9,True,,8,6,1.0,,,,,9,idle,,7,idle,,5,idle,,,
d_subquest_1212_s_10,d_subquest_1212_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1212_s_10,True,,6,6,1.0,,,,,9,idle,,7,idle,,5,idle,,,
d_subquest_1212_s_11,d_subquest_1212_s,Speech,neon,neon,Locale_SubScenario:d_subquest_1212_s_11,True,,6,6,1.0,,,,,9,idle,,7,idle,,5,idle,,,
d_subquest_1212_s_12,d_subquest_1212_s,Speech,anis,anis,Locale_SubScenario:d_subquest_1212_s_12,True,,6,6,1.0,,,,,9,idle,,7,idle,,5,void,,,
