id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,jump_target
d_main_19af_01_1,d_main_19af_01,Narration,Narration,Locale_MainScenario:d_main_19af_01_1,False,johan,2,idle,EdenIndoor,6,2,2.0,bgm_story_edenin,,,,,,,,,,,
d_main_19af_01_2,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_2,True,,2,idle,,2,2,1.0,,johan,,,,,,,,,,
d_main_19af_01_3,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_3,True,,2,idle,,2,1,1.5,,cecil,cecil,12,idle,,,,,,,
d_main_19af_01_4,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_4,True,,2,idle,,1,1,1.0,,johan,,12,idle,,,,,,,
d_main_19af_01_5,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_5,False,,2,idle,,1,1,1.0,,cecil,,12,surprise,,,,,,,
d_main_19af_01_6,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_6,True,,2,idle,,1,1,1.0,,cecil,,12,surprise,,,,,,,
d_main_19af_01_7,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_7,True,,2,idle,,1,1,1.0,,cecil,,12,delight,,,,,,,
d_main_19af_01_8,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_8,True,,2,idle,,1,1,1.0,,cecil,,12,delight,,,,,,,
d_main_19af_01_9,d_main_19af_01,Monologue,Monologue,Locale_MainScenario:d_main_19af_01_9,False,,2,idle,,1,120,2.0,,,,12,delight,,,,,,,
d_main_19af_01_10,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_10,False,,2,idle,,120,1200,2.0,,cecil,,12,special,,,,,,,
d_main_19af_01_11,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_11,True,,2,idle,,1200,120,1.0,,cecil,,12,delight,,,,,,,
d_main_19af_01_12,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_12,True,,2,angry,,L_20,L_20,1.0,,johan,,12,delight,,,,,,,
d_main_19af_01_13,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_13,True,,2,angry,,120,120,1.0,,cecil,,12,idle,,,,,,,
d_main_19af_01_14,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_14,True,,2,angry,,120,120,1.0,,cecil,,12,idle,,,,,,,
d_main_19af_01_15,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_15,True,,2,angry,,120,120,1.0,,cecil,,12,idle,,,,,,,
d_main_19af_01_16,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_16,True,,2,think,,120,L_20,2.0,,johan,,12,idle,,,,,,,
d_main_19af_01_17,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_17,True,,2,think,,L_20,L_20,1.0,,johan,,12,idle,,,,,,,
d_main_19af_01_18,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_18,True,,2,think,,1,1,1.0,,cecil,,12,surprise,,,,,,,
d_main_19af_01_19,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_19,True,,2,idle,,1,1,1.0,,johan,,12,surprise,,,,,,,
d_main_19af_01_20,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_20,True,,2,idle,,1,1,1.0,,johan,,12,surprise,,,,,,,
d_main_19af_01_21,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_21,True,,2,idle,,1,1,1.0,,johan,,12,surprise,,,,,,,
d_main_19af_01_22,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_22,True,,2,idle,,1,1,1.0,,cecil,,12,idle,,,,,,,
d_main_19af_01_23,d_main_19af_01,Speech,johan,Locale_MainScenario:d_main_19af_01_23,True,,2,angry,,1,1,1.0,,johan,,12,idle,,,,,,,
d_main_19af_01_24,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_24,True,,2,idle,,1,1,1.0,,cecil,,12,delight,,,,,,,
d_main_19af_01_25,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_25,True,,2,idle,,1,1,1.0,,cecil,,12,delight,,,,,,,
d_main_19af_01_26,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_26,True,,2,idle,,1,1,1.0,,cecil,,12,delight,,,,,,,
d_main_19af_01_27,d_main_19af_01,Speech,cecil,Locale_MainScenario:d_main_19af_01_27,True,,2,idle,,1,120,2.0,,cecil,,12,sad,,,,,,,
