id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,set_camera_shake,jump_target
d_subquest_1331_1,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_1,True,pseudo,4,idle,anis,14,void,neon,12,idle,rapi,16,idle,Destroyedcity,4,4,1.0,bgm_risk,,,
d_subquest_1331_2,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_2,True,,4,idle,,14,void,,12,idle,,16,idle,,4,4,1.0,,,,
d_subquest_1331_3,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_3,True,,4,idle,,14,void,,12,idle,,16,idle,,4,4,1.0,,,,
d_subquest_1331_4,d_subquest_1331,Speech,anis,anis,Locale_SubScenario:d_subquest_1331_4,True,,4,idle,,14,void,,12,idle,,16,idle,,4,13,1.0,,,,
d_subquest_1331_5,d_subquest_1331,Speech,anis,anis,Locale_SubScenario:d_subquest_1331_5,True,,4,idle,,14,void,,12,idle,,16,idle,,13,13,1.0,,,,
d_subquest_1331_6,d_subquest_1331,Speech,neon,neon,Locale_SubScenario:d_subquest_1331_6,True,,4,idle,,14,void,,12,idle,,16,idle,,13,13,1.0,,,,
d_subquest_1331_7,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_7,True,,4,idle,,14,void,,12,idle,,16,idle,,13,4,1.0,,,,
d_subquest_1331_8,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_8,True,,4,idle,,14,void,,12,idle,,16,idle,,4,4,1.0,,,,
d_subquest_1331_9,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_9,True,,4,idle,,14,void,,12,idle,,16,idle,,4,4,1.0,,,,
d_subquest_1331_10,d_subquest_1331,Self,,,Locale_SubScenario:d_subquest_1331_10,False,,4,idle,,12,void,,2,idle,,14,idle,,4,4,1.0,,,,
d_subquest_1331_11,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_11,False,,4,idle,,12,void,,2,idle,,14,idle,,4,40,1.0,,,,
d_subquest_1331_12,d_subquest_1331,Narration,,,Locale_SubScenario:d_subquest_1331_12,False,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,sfx_scn_heavytrip,Low_2,
d_subquest_1331_13,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_13,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_14,d_subquest_1331,Choice,,,Locale_SubScenario:d_subquest_1331_14,False,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,d_subquest_1331_16
d_subquest_1331_15,d_subquest_1331,Choice,,,Locale_SubScenario:d_subquest_1331_15,False,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,d_subquest_1331_20
d_subquest_1331_16,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_16,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_17,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_17,False,,4,idle,,12,void,,2,idle,,14,idle,,40,4,1.0,,,,
d_subquest_1331_18,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_18,False,,4,idle,,12,void,,2,idle,,14,idle,,4,4,1.0,,,,
d_subquest_1331_19,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_19,True,,4,idle,,12,void,,2,idle,,14,idle,,4,4,1.0,,,,d_subquest_1331_24
d_subquest_1331_20,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_20,True,,4,idle,,12,void,,2,idle,,14,idle,,40,4,1.0,,,,
d_subquest_1331_21,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_21,True,,4,idle,,12,void,,2,idle,,14,idle,,4,4,1.0,,,,
d_subquest_1331_22,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_22,True,,4,idle,,12,void,,2,idle,,14,idle,,4,4,1.0,,,,
d_subquest_1331_23,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_23,True,,4,idle,,12,void,,2,idle,,14,idle,,4,4,1.0,,,,d_subquest_1331_24
d_subquest_1331_24,d_subquest_1331,Self,,,Locale_SubScenario:d_subquest_1331_24,False,,4,idle,,12,void,,2,idle,,14,idle,,4,4,1.0,,,,
d_subquest_1331_25,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_25,True,,4,idle,,12,void,,2,idle,,14,idle,,4,40,1.0,,,,
d_subquest_1331_26,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_26,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_27,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_27,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_28,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_28,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_29,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_29,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_30,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_30,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_31,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_31,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_32,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_32,True,,4,idle,,12,void,,2,idle,,14,idle,,40,40,1.0,,,,
d_subquest_1331_33,d_subquest_1331,Speech,neon,neon,Locale_SubScenario:d_subquest_1331_33,True,,4,idle,,12,void,,2,surprise,,14,idle,,1,1,1.0,,,,
d_subquest_1331_34,d_subquest_1331,Speech,neon,neon,Locale_SubScenario:d_subquest_1331_34,True,,4,idle,,12,void,,2,surprise,,14,idle,,1,1,1.0,,,,
d_subquest_1331_35,d_subquest_1331,Speech,anis,anis,Locale_SubScenario:d_subquest_1331_35,True,,4,idle,,12,void,,2,surprise,,14,idle,,1,1,1.0,,,,
d_subquest_1331_36,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_36,False,,4,idle,,12,void,,2,surprise,,14,idle,,1,4,1.0,,,,
d_subquest_1331_37,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_37,True,,4,idle,,12,void,,2,surprise,,14,idle,,4,4,1.0,,,,
d_subquest_1331_38,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_38,True,,4,idle,,12,void,,2,surprise,,14,idle,,4,4,1.0,,,,
d_subquest_1331_39,d_subquest_1331,Speech,pseudo,pseudo,Locale_SubScenario:d_subquest_1331_39,True,,4,idle,,12,void,,2,surprise,,14,idle,,4,4,1.0,,,,
d_subquest_1331_40,d_subquest_1331,Self,,,Locale_SubScenario:d_subquest_1331_40,False,,4,idle,,12,void,,2,surprise,,14,idle,,4,4,1.0,,,,
d_subquest_1331_41,d_subquest_1331,Speech,rapi,rapi,Locale_SubScenario:d_subquest_1331_41,True,,4,idle,,12,void,,2,idle,,14,idle,,140,140,1.0,,,,
