id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/9/show_char_id,characters/9/set_char_position,characters/9/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/9/hide_char_id,jump_target
d_main_05_03_1,d_main_05_03,Speech,shifty,shifty,Locale_MainScenario:d_main_05_03_1,True,neon,3,idle,anis,1,idle,rapi,13,idle,shifty,OP_leftup,idle,IceLand_03,13,13,1.0,bgm_secondhand,,
d_main_05_03_2,d_main_05_03,Speech,shifty,shifty,Locale_MainScenario:d_main_05_03_2,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,13,13,1.0,,,
d_main_05_03_3,d_main_05_03,Speech,rapi,rapi,Locale_MainScenario:d_main_05_03_3,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,13,13,1.0,,,
d_main_05_03_4,d_main_05_03,Speech,shifty,shifty,Locale_MainScenario:d_main_05_03_4,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,13,13,1.0,,,
d_main_05_03_5,d_main_05_03,Speech,rapi,rapi,Locale_MainScenario:d_main_05_03_5,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,13,130,1.0,,,
d_main_05_03_6,d_main_05_03,Speech,shifty,shifty,Locale_MainScenario:d_main_05_03_6,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,130,130,1.0,,,
d_main_05_03_7,d_main_05_03,Speech,rapi,rapi,Locale_MainScenario:d_main_05_03_7,True,,3,idle,,1,idle,,13,idle,,OP_leftup,idle,,130,13,1.0,,shifty,
d_main_05_03_8,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_8,True,,3,idle,,1,worry,,13,idle,,,,,10,10,1.0,,,
d_main_05_03_9,d_main_05_03,Choice,Choice,,Locale_MainScenario:d_main_05_03_9,True,,3,idle,,1,worry,,13,idle,,,,,10,10,1.0,,,d_main_05_03_11
d_main_05_03_10,d_main_05_03,Choice,Choice,,Locale_MainScenario:d_main_05_03_10,True,,3,idle,,1,worry,,13,idle,,,,,10,10,1.0,,,d_main_05_03_11
d_main_05_03_11,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_11,True,,3,idle,,1,worry,,13,idle,,,,,10,10,1.0,,,
d_main_05_03_12,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_12,True,,3,idle,,1,worry,,13,idle,,,,,10,10,1.0,,,
d_main_05_03_13,d_main_05_03,Speech,neon,neon,Locale_MainScenario:d_main_05_03_13,True,,3,idle,,1,worry,,13,idle,,,,,S_30,S_30,1.0,,,
d_main_05_03_14,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_14,True,,3,idle,,1,idle,,13,idle,,,,,10,100,1.0,,,
d_main_05_03_15,d_main_05_03,Speech,neon,neon,Locale_MainScenario:d_main_05_03_15,False,,3,no,,1,idle,,13,idle,,,,,S_30,S_30,1.0,,,
d_main_05_03_16,d_main_05_03,Speech,neon,neon,Locale_MainScenario:d_main_05_03_16,True,,3,surprise,,1,idle,,13,idle,,,,,S_30,S_300,1.0,,,
d_main_05_03_17,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_17,True,,3,surprise,,1,idle,,13,idle,,,,,S_300,100,1.0,,,
d_main_05_03_18,d_main_05_03,Speech,rapi,rapi,Locale_MainScenario:d_main_05_03_18,True,,3,surprise,,1,idle,,13,idle,,,,,100,100,1.0,,,
d_main_05_03_19,d_main_05_03,Speech,neon,neon,Locale_MainScenario:d_main_05_03_19,True,,3,angry,,1,idle,,13,idle,,,,,S_300,S_300,1.0,,,
d_main_05_03_20,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_20,True,,3,angry,,1,idle,,13,idle,,,,,100,100,1.0,,,
d_main_05_03_21,d_main_05_03,Speech,neon,neon,Locale_MainScenario:d_main_05_03_21,True,,3,angry,,1,idle,,13,idle,,,,,S_300,S_300,1.0,,,
d_main_05_03_22,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_22,True,,3,angry,,1,angry,,13,idle,,,,,S_300,100,0.2,,,
d_main_05_03_23,d_main_05_03,Speech,neon,neon,Locale_MainScenario:d_main_05_03_23,True,,3,angry,,1,angry,,13,idle,,,,,100,S_300,0.2,,,
d_main_05_03_24,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_24,True,,3,angry,,1,angry,,13,idle,,,,,S_300,100,0.2,,,
d_main_05_03_25,d_main_05_03,Speech,neon,neon,Locale_MainScenario:d_main_05_03_25,True,,3,angry,,1,angry,,13,idle,,,,,100,S_300,0.2,,,
d_main_05_03_26,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_26,True,,3,angry,,1,angry,,13,idle,,,,,S_300,100,0.2,,,
d_main_05_03_27,d_main_05_03,Speech,anis,anis,Locale_MainScenario:d_main_05_03_27,False,,3,idle,,1,void,,13,idle,,,,,100,31,1.0,,,
d_main_05_03_28,d_main_05_03,Speech,neon,neon,Locale_MainScenario:d_main_05_03_28,False,,3,idle,,1,void,,13,idle,,,,,31,31,1.0,,,
d_main_05_03_29,d_main_05_03,Self,Self,Self,Locale_MainScenario:d_main_05_03_29,True,,3,idle,,1,void,,13,idle,,,,,31,31,1.0,,,
d_main_05_03_30,d_main_05_03,Speech,rapi,rapi,Locale_MainScenario:d_main_05_03_30,True,,3,idle,,1,void,,13,idle,,,,,31,13,1.0,,,
