id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,jump_target,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_ex_hotel_03_1,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_1,False,Office,1,1,1.0,bgm_story_leisuretime,,,,,,,,,,,,,,
d_ex_hotel_03_2,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_2,False,,1,1,1.0,,,,,,,,,,,,,,,
d_ex_hotel_03_3,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_3,False,,1,1,1.0,,,,,,,,,,,,,,,
d_ex_hotel_03_4,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_4,False,,1,1,1.0,,,,,,,,,,,,,,,
d_ex_hotel_03_5,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_5,False,,1,1,1.0,,,,,,,,,,,,,,,
d_ex_hotel_03_6,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_6,True,,1,5,0.5,,unknown,unknown,sfx_scn_violin,,,,,,,,,,,
d_ex_hotel_03_7,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_7,False,,5,1,1.0,,,,,,,,,,,,,,,
d_ex_hotel_03_8,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_8,True,,1,5,0.5,none,unknown,unknown,sfx_scn_violin,,,,,,,,,,,
d_ex_hotel_03_9,d_ex_hotel_03,Choice,Locale_SuddenStory:d_ex_hotel_03_9,False,,5,5,1.0,,,,,d_ex_hotel_03_11,,,,,,,,,,
d_ex_hotel_03_10,d_ex_hotel_03,Choice,Locale_SuddenStory:d_ex_hotel_03_10,False,,5,5,1.0,,,,,d_ex_hotel_03_17,,,,,,,,,,
d_ex_hotel_03_11,d_ex_hotel_03,Narration,Locale_SuddenStory:d_ex_hotel_03_11,False,,5,9,0.5,,,Narration,sfx_scn_heavyknock,,Low_2,,,,,,,,,
d_ex_hotel_03_12,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_12,False,,9,9,1.0,,unknown,unknown,,,,,,,,,,,,
d_ex_hotel_03_13,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_13,True,,9,9,1.0,,unknown,unknown,sfx_scn_violin,,,,,,,,,,,
d_ex_hotel_03_14,d_ex_hotel_03,Speech,Locale_SuddenStory:d_ex_hotel_03_14,True,,9,9,1.0,,unknown,unknown,sfx_scn_violin,,,,,,,,,,,
d_ex_hotel_03_15,d_ex_hotel_03,Monologue,Locale_SuddenStory:d_ex_hotel_03_15,False,,9,9,1.0,,,,,,,,,,,,,,,
d_ex_hotel_03_16,d_ex_hotel_03,Self,Locale_SuddenStory:d_ex_hotel_03_16,False,,9,9,1.0,,,Self,,,,,,,,,,,,
