id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_main_22_06_1,d_main_22_06,Narration,Locale_MainScenario:d_main_22_06_1,False,OuterRim,black,black,1.0,bgm_story_conflict,,,,,rosanna,1,angry
d_main_22_06_2,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_2,True,,1,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_3,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_3,True,,10,10,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_4,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_4,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_5,d_main_22_06,Narration,Locale_MainScenario:d_main_22_06_5,False,,10,100,0.5,,,,sfx_scn_bonescrew,Low_2,,1,angry
d_main_22_06_6,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_6,True,,100,100,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_7,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_7,True,,100,10,2.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_8,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_8,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_9,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_9,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_10,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_10,True,,10,1,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_11,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_11,True,,1,1,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_12,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_12,True,,1,10,2.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_13,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_13,True,,10,10,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_14,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_14,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_15,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_15,True,,10,10,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_16,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_16,False,,10,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_17,d_main_22_06,Narration,Locale_MainScenario:d_main_22_06_17,False,,10,100,0.5,,,,sfx_scn_bonescrew,Low_2,,1,angry
d_main_22_06_18,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_18,True,,100,100,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_19,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_19,True,,100,100,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_20,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_20,True,,100,100,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_21,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_21,True,,100,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_22,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_22,True,,10,10,1.0,,ehmember,ehmember,,,,1,angry
d_main_22_06_23,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_23,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_24,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_24,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_25,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_25,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_26,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_26,True,,10,1,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_27,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_27,True,,1,1,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_28,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_28,True,,1,1,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_29,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_29,True,,1,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_30,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_30,True,,10,10,1.0,,ehmember,ehmember,,,,1,idle
d_main_22_06_31,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_31,False,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_32,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_32,True,,10,10,1.0,,ehmember,ehmember,,,,1,idle
d_main_22_06_33,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_33,True,,10,100,0.5,,rosanna,rosanna,,,,1,angry
d_main_22_06_34,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_34,False,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_35,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_35,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_36,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_36,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_37,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_37,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_38,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_38,True,,100,100,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_39,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_39,True,,100,10,2.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_40,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_40,True,,10,10,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_41,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_41,True,,10,10,1.0,,ehmember,ehmember,,,,1,idle
d_main_22_06_42,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_42,True,,10,10,1.0,,rosanna,rosanna,,,,1,angry
d_main_22_06_43,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_43,True,,10,10,1.0,,rosanna,rosanna,,,,1,delight
d_main_22_06_44,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_44,True,,10,10,1.0,,rosanna,rosanna,,,,1,delight
d_main_22_06_45,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_45,True,,10,100,0.5,,rosanna,rosanna,,,,1,delight
d_main_22_06_46,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_46,False,,100,100,1.0,,ehmember,ehmember,,,,1,delight
d_main_22_06_47,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_47,True,,100,100,1.0,,rosanna,rosanna,,,,1,idle
d_main_22_06_48,d_main_22_06,Speech,Locale_MainScenario:d_main_22_06_48,True,,100,100,1.0,,rosanna,rosanna,,,,1,idle
