id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,effects/0/stop_effect_id,fade,jump_target,characters/0/hide_char_id,characters/1/hide_char_id,play_sound,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01
d_ex_library_01_1,d_ex_library_01,Narration,Narration,Locale_SuddenStory:d_ex_library_01_1,True,Library,black,black,1.0,none,,,,,,,,,,,,,,,,,,,,,
d_ex_library_01_2,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_2,True,,15,15,1.0,bgm_story_shopperholic,rupee,rupee,15,idle,fx_Eventscene_camera_recording,rec,True,,,,,,,,,,,,,,
d_ex_library_01_3,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_3,True,,15,15,1.0,,rupee,,15,idle,,,,,,,,,,,,,,,,,
d_ex_library_01_4,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_4,True,,15,L_150,0.5,,rupee,,15,delight,,,,,,,,,,,,,,,,,
d_ex_library_01_5,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_5,True,,L_150,L_150,1.0,,rupee,,15,delight,,,,,,,,,,,,,,,,,
d_ex_library_01_6,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_6,True,,L_150,L_150,1.0,,rupee,,15,idle,,,,,,,,,,,,,,,,,
d_ex_library_01_7,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_7,True,,L_150,15,2.0,,rupee,,15,idle,,,,,,,,,,,,,,,,,
d_ex_library_01_8,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_8,True,,15,15,1.0,,rupee,,15,idle,,,,,,,,,,,,,,,,,
d_ex_library_01_9,d_ex_library_01,Self,Self,Locale_SuddenStory:d_ex_library_01_9,True,,15,15,1.0,,rupee,,15,idle,,,,,,,,,,,,,,,,,
d_ex_library_01_10,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_10,True,,15,16,0.5,,rupee,,15,delight,,,,drake,17,idle,,,,,,,,,,,
d_ex_library_01_11,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_11,True,,16,16,1.0,,drake,,15,delight,,,,,17,idle,,,,,,,,,,,
d_ex_library_01_12,d_ex_library_01,Speech,drake,Locale_SuddenStory:d_ex_library_01_12,True,,16,170,1.0,,drake,,15,delight,,,,,17,delight,,,,,,,,,,,
d_ex_library_01_13,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_13,True,,170,L_150,1.0,,rupee,,15,surprise,,,,,17,idle,,,,,,,,,,,
d_ex_library_01_14,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_14,True,,L_150,16,0.5,,rupee,,15,idle,,,,,17,idle,,,,,,,,,,,
d_ex_library_01_15,d_ex_library_01,Speech,rupee,Locale_SuddenStory:d_ex_library_01_15,False,,16,15,1.0,,rupee,,15,"expression_0,idle",,,,,17,idle,,,,,,,,,,,
