id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,characters/4/hide_char_id,characters/5/set_char_position,characters/5/set_char_anim,set_filter_01,play_sound,characters/5/show_char_id
d_main_04_04_s_1,d_main_04_04_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_04_s_1,True,rapi,1,idle,anis,3,idle,neon,13,idle,mihara,17,idle,yuni,19,idle,CityForest_01,19,S_190,1.0,bgm_enemyclose,,,,,,,,,,,
d_main_04_04_s_2,d_main_04_04_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_04_s_2,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,S_190,S_190,1.0,,,,,,,,,,,,
d_main_04_04_s_3,d_main_04_04_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_04_s_3,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,S_190,S_190,1.0,,,,,,,,,,,,
d_main_04_04_s_4,d_main_04_04_s,Speech,mihara,mihara,Locale_MainScenario:d_main_04_04_s_4,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,S_190,1700,1.0,,,,,,,,,,,,
d_main_04_04_s_5,d_main_04_04_s,Self,mihara,Self,Locale_MainScenario:d_main_04_04_s_5,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,1700,1700,1.0,,,,,,,,,,,,
d_main_04_04_s_6,d_main_04_04_s,Speech,rapi,rapi,Locale_MainScenario:d_main_04_04_s_6,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,1700,1700,1.0,,,,,,,,,,,,
d_main_04_04_s_7,d_main_04_04_s,Self,rapi,Self,Locale_MainScenario:d_main_04_04_s_7,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,1700,1700,1.0,,,,,,,,,,,,
d_main_04_04_s_8,d_main_04_04_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_04_s_8,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,1700,S_190,1.0,,,,,,,,,,,,
d_main_04_04_s_9,d_main_04_04_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_04_s_9,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,S_190,S_190,1.0,,,,,,,,,,,,
d_main_04_04_s_10,d_main_04_04_s,Self,yuni,Self,Locale_MainScenario:d_main_04_04_s_10,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,idle,,S_190,S_190,1.0,,,,,,,,,,,,
d_main_04_04_s_11,d_main_04_04_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_04_s_11,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,shy,,S_190,S_190,1.0,,,,,,,,,,,,
d_main_04_04_s_12,d_main_04_04_s,Self,yuni,Self,Locale_MainScenario:d_main_04_04_s_12,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,shy,,S_190,S_190,1.0,,,,,,,,,,,,
d_main_04_04_s_13,d_main_04_04_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_04_s_13,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,shy,,S_190,S_1900,1.0,,,,,,,,,,,,
d_main_04_04_s_14,d_main_04_04_s,Monologue,yuni,,Locale_MainScenario:d_main_04_04_s_14,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,shy,,S_1900,S_1900,1.0,,,,,,,,,,,,
d_main_04_04_s_15,d_main_04_04_s,Monologue,yuni,,Locale_MainScenario:d_main_04_04_s_15,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,shy,,S_1900,S_1900,1.0,,Low_2,,,,,,,,,,
d_main_04_04_s_16,d_main_04_04_s,Speech,yuni,yuni,Locale_MainScenario:d_main_04_04_s_16,True,,1,idle,,3,idle,,13,idle,,17,idle,,19,shy,,S_1900,S_1900,1.0,,,,,,,,,,,,
