id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim
d_main_09af_01_1,d_main_09af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_09af_01_1,True,ElevatorOut,S_10,S_10,1.0,bgm_story_stormbreakers,privaty,1,idle,,rapi,3,idle,yulha,13,idle,,admi,15,idle,,anis,5,idle,neon,7,idle
d_main_09af_01_2,d_main_09af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_09af_01_2,True,,S_10,31,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_3,d_main_09af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_09af_01_3,True,,31,31,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_4,d_main_09af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_09af_01_4,True,,31,31,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_5,d_main_09af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_09af_01_5,True,,31,31,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_6,d_main_09af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_09af_01_6,True,,31,31,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_7,d_main_09af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_09af_01_7,True,,31,31,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_8,d_main_09af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_09af_01_8,True,,31,31,1.0,,,1,angry,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_9,d_main_09af_01,Speech,privaty,privaty,Locale_MainScenario:d_main_09af_01_9,True,,31,31,1.0,,,1,angry,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_10,d_main_09af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_09af_01_10,True,,31,31,1.0,,,1,angry,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_11,d_main_09af_01,Speech,rapi,rapi,Locale_MainScenario:d_main_09af_01_11,True,,31,30,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_12,d_main_09af_01,Self,rapi,Self,Locale_MainScenario:d_main_09af_01_12,False,,30,30,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
d_main_09af_01_13,d_main_09af_01,Speech,anis,anis,Locale_MainScenario:d_main_09af_01_13,True,,50,50,1.0,,,1,idle,,,3,idle,,13,idle,,,15,idle,,,5,idle,,7,idle
