id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/2/hide_char_id,characters/0/hide_char_id
d_main_25_04_1,d_main_25_04,Narration,Locale_MainScenario:d_main_25_04_1,False,burningum,3,idle,andersen,1,idle,doban,13,idle,BriefingRoom,black,black,1.0,bgm_story_fairytalesend_a,,,,
d_main_25_04_2,d_main_25_04,Narration,Locale_MainScenario:d_main_25_04_2,False,,3,idle,,1,idle,,13,idle,,black,black,1.0,,,,,
d_main_25_04_3,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_3,True,,3,idle,,1,idle,,13,angry,,XL_130,XL_130,1.0,,doban,doban,,
d_main_25_04_4,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_4,True,,3,idle,,1,idle,,13,idle,,L_10,L_10,1.0,,andersen,andersen,,
d_main_25_04_5,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_5,True,,3,idle,,1,idle,,13,idle,,L_10,12,1.0,,doban,doban,,
d_main_25_04_6,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_6,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,andersen,andersen,,
d_main_25_04_7,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_7,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,doban,doban,,
d_main_25_04_8,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_8,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,doban,doban,,
d_main_25_04_9,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_9,True,,3,idle,,1,idle,,13,angry,,12,12,1.0,,andersen,andersen,,
d_main_25_04_10,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_10,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,doban,doban,,
d_main_25_04_11,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_11,True,,3,idle,,1,idle,,13,idle,,12,12,1.0,,andersen,andersen,,
d_main_25_04_12,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_12,False,,3,idle,,1,idle,,13,idle,,12,12,1.0,,doban,doban,,
d_main_25_04_13,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_13,True,,3,idle,,1,idle,,13,idle,,12,L_10,1.0,,andersen,andersen,,
d_main_25_04_14,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_14,True,,3,idle,,1,idle,,13,idle,,L_10,L_10,1.0,,andersen,andersen,,
d_main_25_04_15,d_main_25_04,Speech,Locale_MainScenario:d_main_25_04_15,True,,3,think,,1,idle,,13,idle,,L_10,30,1.0,,burningum,burningum,,
